measurement_key,sequence,target_index,left_index,right_index,segment_length,normalized_time,used_by_schedules,schedule_count,selected_half,payload_bytes,stage184_selected_psnr,psnr,psnr_delta_vs_stage184,ssim,ms_ssim,lpips,status,error
residual::bike-packing:00001:00000:00002,bike-packing,1,0,2,2,0.5,uniform_gap2,1,right,144931,26.191719825558614,26.192307194825467,0.0005873692668529884,0.841898500919342,0.984575092792511,0.1916462481021881,ok,
residual::bike-packing:00001:00000:00004,bike-packing,1,0,4,4,0.25,uniform_gap4,1,left,134579,26.104804335599894,26.104808047083775,3.711483881119193e-06,0.8335299491882324,0.9830378293991089,0.2026222199201584,ok,
residual::bike-packing:00001:00000:00006,bike-packing,1,0,6,6,0.16666666666666666,uniform_gap6,1,left,131729,26.17786942953464,26.178963319588178,0.0010938900535393259,0.8392868041992188,0.9837765693664551,0.20064572989940643,ok,
residual::bike-packing:00001:00000:00008,bike-packing,1,0,8,8,0.125,stage165_adaptive uniform_gap8,2,left,130987,26.16490092230885,26.164889214597995,-1.1707710854125253e-05,0.8378531336784363,0.9837216734886169,0.20051072537899017,ok,
residual::bike-packing:00001:00000:00016,bike-packing,1,0,16,16,0.0625,uniform_gap16,1,left,136342,26.198852730479004,26.198726729299278,-0.00012600117972638714,0.841053307056427,0.9840078353881836,0.19904091954231262,ok,
residual::bike-packing:00002:00000:00004,bike-packing,2,0,4,4,0.5,uniform_gap4,1,left,148492,26.005752313012465,26.010518619447353,0.004766306434888179,0.831237256526947,0.9823808670043945,0.20613345503807068,ok,
residual::bike-packing:00002:00000:00006,bike-packing,2,0,6,6,0.3333333333333333,uniform_gap6,1,left,149785,26.13060012893098,26.133352243940998,0.0027521150100184855,0.839672863483429,0.9834278225898743,0.1976667195558548,ok,
residual::bike-packing:00002:00000:00008,bike-packing,2,0,8,8,0.25,stage165_adaptive uniform_gap8,2,left,146323,26.05055160000412,26.04812618570415,-0.002425414299970896,0.8307545781135559,0.9823958277702332,0.19930528104305267,ok,
residual::bike-packing:00003:00000:00004,bike-packing,3,0,4,4,0.75,uniform_gap4,1,right,130271,26.18642698881919,26.186133691626168,-0.00029329719302140234,0.842186450958252,0.9833748936653137,0.20019030570983887,ok,
residual::bike-packing:00003:00000:00008,bike-packing,3,0,8,8,0.375,stage165_adaptive uniform_gap8,2,left,148745,26.051985010385312,26.051984602983524,-4.0740178874898447e-07,0.8358702659606934,0.9826945662498474,0.2054961621761322,ok,
