sequence,frame_index,chosen_schedule,final_type,measurement_key,psnr,ssim,ms_ssim,lpips
bike-packing,0,uniform_gap2,q12_keyframe,keyframe::bike-packing:00000,26.079283846778374,0.8400600552558899,0.9858327507972717,0.18571901321411133
bike-packing,1,uniform_gap16,stage158_residual_recovery,residual::bike-packing:00001:00000:00016,26.198726729299278,0.841053307056427,0.9840078353881836,0.19904091954231262
bike-packing,10,uniform_gap2,q12_keyframe,keyframe::bike-packing:00010,26.64035650914893,0.854788064956665,0.9870686531066895,0.17449705302715302
bike-packing,11,uniform_gap6,stage158_residual_recovery,residual::bike-packing:00011:00006:00012,26.229901618117935,0.8425810933113098,0.9838352799415588,0.1943197101354599
bike-packing,12,uniform_gap2,q12_keyframe,keyframe::bike-packing:00012,26.370589071153965,0.851966917514801,0.9868340492248535,0.17273931205272675
bike-packing,13,uniform_gap4,stage158_residual_recovery,residual::bike-packing:00013:00012:00016,26.449531303418006,0.8471041321754456,0.9846382141113281,0.18846720457077026
bike-packing,14,uniform_gap2,q12_keyframe,keyframe::bike-packing:00014,26.893108470896436,0.8558729290962219,0.9871460795402527,0.17654360830783844
bike-packing,15,uniform_gap16,stage158_residual_recovery,residual::bike-packing:00015:00000:00016,27.220530167168683,0.852320671081543,0.9848270416259766,0.19332098960876465
bike-packing,16,uniform_gap2,q12_keyframe,keyframe::bike-packing:00016,27.405523730322216,0.8591346740722656,0.987363874912262,0.17478793859481812
bike-packing,17,uniform_gap16,stage158_residual_recovery,residual::bike-packing:00017:00016:00032,27.25563792422737,0.8525850772857666,0.9849339127540588,0.19852039217948914
bike-packing,18,uniform_gap2,q12_keyframe,keyframe::bike-packing:00018,27.201092238712796,0.8592743277549744,0.9873775839805603,0.18062852323055267
bike-packing,19,uniform_gap6,stage158_residual_recovery,residual::bike-packing:00019:00018:00024,26.73868504072848,0.8463077545166016,0.9839476943016052,0.19518646597862244
bike-packing,2,uniform_gap2,q12_keyframe,keyframe::bike-packing:00002,26.253660760444593,0.8476635813713074,0.9862802028656006,0.18079394102096558
bike-packing,20,uniform_gap2,q12_keyframe,keyframe::bike-packing:00020,26.567272080467824,0.8608012795448303,0.9876415729522705,0.17014195024967194
bike-packing,21,uniform_gap4,stage158_residual_recovery,residual::bike-packing:00021:00020:00024,25.664103224854642,0.8308742642402649,0.9824730157852173,0.2050885558128357
bike-packing,22,uniform_gap2,q12_keyframe,keyframe::bike-packing:00022,25.410683945209005,0.8464797139167786,0.9862368702888489,0.17287872731685638
bike-packing,23,uniform_gap8,stage158_residual_recovery,residual::bike-packing:00023:00016:00024,25.305903439566908,0.8380805850028992,0.9835197329521179,0.19341692328453064
bike-packing,24,uniform_gap2,q12_keyframe,keyframe::bike-packing:00024,25.50536865204191,0.8474324345588684,0.9862033128738403,0.17434729635715485
bike-packing,25,uniform_gap8,stage158_residual_recovery,residual::bike-packing:00025:00024:00032,25.414684503614712,0.8411113619804382,0.9835902452468872,0.18988582491874695
bike-packing,26,uniform_gap2,q12_keyframe,keyframe::bike-packing:00026,25.22533159798886,0.8445329666137695,0.9858877062797546,0.17601166665554047
bike-packing,27,uniform_gap2,stage158_residual_recovery,residual::bike-packing:00027:00026:00028,25.13916650126415,0.8391619324684143,0.9838709235191345,0.18744316697120667
bike-packing,28,uniform_gap2,q12_keyframe,keyframe::bike-packing:00028,25.04689704461814,0.8408592343330383,0.9856444597244263,0.17758719623088837
bike-packing,29,uniform_gap2,stage158_residual_recovery,residual::bike-packing:00029:00028:00030,25.058328949837648,0.8399724364280701,0.9843878149986267,0.18309253454208374
bike-packing,3,uniform_gap4,stage158_residual_recovery,residual::bike-packing:00003:00000:00004,26.186133691626168,0.842186450958252,0.9833748936653137,0.20019030570983887
bike-packing,30,uniform_gap2,q12_keyframe,keyframe::bike-packing:00030,25.04453550839765,0.8416983485221863,0.985533595085144,0.1816052794456482
bike-packing,31,uniform_gap2,stage158_residual_recovery,residual::bike-packing:00031:00030:00032,25.1185631512994,0.8401498794555664,0.9836564064025879,0.19212807714939117
bike-packing,32,uniform_gap2,q12_keyframe,keyframe::bike-packing:00032,25.098256923792167,0.8434996008872986,0.9858001470565796,0.1775827705860138
bike-packing,33,uniform_gap2,stage158_residual_recovery,residual::bike-packing:00033:00032:00034,25.19511953959941,0.846055269241333,0.9849367737770081,0.17920172214508057
bike-packing,34,uniform_gap2,q12_keyframe,keyframe::bike-packing:00034,25.18779549032079,0.8479841351509094,0.9861426949501038,0.17562972009181976
bike-packing,35,uniform_gap4,stage158_residual_recovery,residual::bike-packing:00035:00032:00036,25.28222556406614,0.8470645546913147,0.9845380187034607,0.18284165859222412
bike-packing,36,uniform_gap2,q12_keyframe,keyframe::bike-packing:00036,25.11886614028116,0.8446011543273926,0.9857200980186462,0.17262989282608032
bike-packing,37,uniform_gap4,stage158_residual_recovery,residual::bike-packing:00037:00036:00040,25.176877984820855,0.8441876769065857,0.9843937158584595,0.1841251701116562
bike-packing,38,uniform_gap2,q12_keyframe,keyframe::bike-packing:00038,25.22594729151279,0.8466212749481201,0.9859616756439209,0.17476364970207214
bike-packing,39,uniform_gap2,stage158_residual_recovery,residual::bike-packing:00039:00038:00040,25.704306347827355,0.856723964214325,0.9850069880485535,0.17695128917694092
bike-packing,4,uniform_gap2,q12_keyframe,keyframe::bike-packing:00004,26.419333409621636,0.8502992987632751,0.986646294593811,0.1807929277420044
bike-packing,40,uniform_gap2,q12_keyframe,keyframe::bike-packing:00040,25.887959987649253,0.8634281158447266,0.9872960448265076,0.16271242499351501
bike-packing,41,stage165_adaptive,stage158_residual_recovery,residual::bike-packing:00041:00040:00046,25.779157517075188,0.8606632351875305,0.985346257686615,0.17377376556396484
bike-packing,42,uniform_gap2,q12_keyframe,keyframe::bike-packing:00042,25.717241310899116,0.8621459007263184,0.9872214198112488,0.1586865931749344
bike-packing,43,uniform_gap2,stage158_residual_recovery,residual::bike-packing:00043:00042:00044,25.36635254649749,0.8471067547798157,0.9848273992538452,0.1841135323047638
bike-packing,44,uniform_gap2,q12_keyframe,keyframe::bike-packing:00044,25.291922532080378,0.8522111773490906,0.9866876602172852,0.1673891246318817
bike-packing,45,stage165_adaptive,stage158_residual_recovery,residual::bike-packing:00045:00040:00046,25.60878161201564,0.8471741080284119,0.9836443662643433,0.1819048523902893
bike-packing,46,uniform_gap2,q12_keyframe,keyframe::bike-packing:00046,26.201655199688936,0.8600264191627502,0.9874252676963806,0.16041170060634613
bike-packing,47,uniform_gap16,stage158_residual_recovery,residual::bike-packing:00047:00032:00048,27.177611778692643,0.8780662417411804,0.9869933724403381,0.16268274188041687
bike-packing,48,uniform_gap2,q12_keyframe,keyframe::bike-packing:00048,27.524661932305484,0.8790588974952698,0.9892271161079407,0.15668916702270508
bike-packing,49,uniform_gap16,stage158_residual_recovery,residual::bike-packing:00049:00048:00064,27.409162076287892,0.8686712384223938,0.986089289188385,0.1828279048204422
bike-packing,5,uniform_gap6,stage158_residual_recovery,residual::bike-packing:00005:00000:00006,26.53949634814534,0.8452627062797546,0.9839322566986084,0.19941043853759766
bike-packing,50,uniform_gap2,q12_keyframe,keyframe::bike-packing:00050,27.49485610447816,0.8742737770080566,0.9888255000114441,0.1639704555273056
bike-packing,51,uniform_gap4,stage158_residual_recovery,residual::bike-packing:00051:00048:00052,27.001594331508198,0.8487810492515564,0.9838392734527588,0.1933876872062683
bike-packing,52,uniform_gap2,q12_keyframe,keyframe::bike-packing:00052,27.031621915684823,0.8616609573364258,0.9877426624298096,0.1773114800453186
bike-packing,53,uniform_gap4,stage158_residual_recovery,residual::bike-packing:00053:00052:00056,26.596105739227305,0.8457867503166199,0.9834855794906616,0.20397552847862244
bike-packing,54,uniform_gap2,q12_keyframe,keyframe::bike-packing:00054,26.58681313197061,0.8552802205085754,0.9869371056556702,0.18211817741394043
bike-packing,55,uniform_gap6,stage158_residual_recovery,residual::bike-packing:00055:00054:00060,26.387574795683154,0.8453316688537598,0.9837853312492371,0.19976064562797546
bike-packing,56,uniform_gap2,q12_keyframe,keyframe::bike-packing:00056,26.178435634236408,0.8483428955078125,0.9863247871398926,0.18359634280204773
bike-packing,57,uniform_gap8,stage158_residual_recovery,residual::bike-packing:00057:00056:00064,26.428700200505272,0.8469316363334656,0.9845094084739685,0.19273513555526733
bike-packing,58,uniform_gap2,q12_keyframe,keyframe::bike-packing:00058,26.420127542328153,0.853302538394928,0.9869384765625,0.1813085526227951
bike-packing,59,uniform_gap6,stage158_residual_recovery,residual::bike-packing:00059:00054:00060,26.32279550910153,0.8364071846008301,0.9829694032669067,0.20128650963306427
bike-packing,6,uniform_gap2,q12_keyframe,keyframe::bike-packing:00006,26.683049248231292,0.850507915019989,0.9864611029624939,0.1816236674785614
bike-packing,60,uniform_gap2,q12_keyframe,keyframe::bike-packing:00060,26.448226065490033,0.850659191608429,0.9865126013755798,0.17834696173667908
bike-packing,61,uniform_gap6,stage158_residual_recovery,residual::bike-packing:00061:00060:00066,26.182731547406384,0.8364677429199219,0.983272910118103,0.1994406282901764
bike-packing,62,uniform_gap2,q12_keyframe,keyframe::bike-packing:00062,26.22334432969819,0.8484976887702942,0.9862348437309265,0.18212883174419403
bike-packing,63,uniform_gap16,stage158_residual_recovery,residual::bike-packing:00063:00048:00064,26.168394156288105,0.8456798195838928,0.9845054149627686,0.19041027128696442
