schedule,sequence,keyframe_count,first_frame_index,last_frame_index,bits,compression,payload_encoding,bitstream_bytes,bitstream_mib,status,error
uniform_gap1,bike-packing,69,0,68,12,none,bitpack,49645910,47.34602928161621,ok,
uniform_gap1,blackswan,50,0,49,12,none,bitpack,35975379,34.30879497528076,ok,
uniform_gap1,bmx-trees,80,0,79,12,none,bitpack,57560458,54.893930435180664,ok,
uniform_gap1,breakdance,84,0,83,12,none,bitpack,60438642,57.63878059387207,ok,
uniform_gap1,camel,90,0,89,12,none,bitpack,64755403,61.75556468963623,ok,
uniform_gap1,car-roundabout,75,0,74,12,none,bitpack,53963060,51.46318435668945,ok,
uniform_gap1,car-shadow,40,0,39,12,none,bitpack,28780292,27.447025299072266,ok,
uniform_gap1,cows,104,0,103,12,none,bitpack,74828536,71.36205291748047,ok,
uniform_gap1,dance-twirl,90,0,89,12,none,bitpack,64755752,61.755897521972656,ok,
uniform_gap1,dog,60,0,59,12,none,bitpack,43170128,41.17024230957031,ok,
uniform_gap1,dogs-jump,66,0,65,12,none,bitpack,47487523,45.287631034851074,ok,
uniform_gap1,drift-chicane,52,0,51,12,none,bitpack,37413796,35.68057632446289,ok,
uniform_gap1,drift-straight,50,0,49,12,none,bitpack,35975215,34.30863857269287,ok,
uniform_gap1,goat,90,0,89,12,none,bitpack,64755276,61.75544357299805,ok,
uniform_gap1,gold-fish,78,0,77,12,none,bitpack,56121120,53.521270751953125,ok,
uniform_gap1,horsejump-high,50,0,49,12,none,bitpack,35975302,34.3087215423584,ok,
uniform_gap1,india,81,0,80,12,none,bitpack,58279591,55.57974910736084,ok,
uniform_gap1,judo,34,0,33,12,none,bitpack,24463278,23.329999923706055,ok,
uniform_gap1,kite-surf,50,0,49,12,none,bitpack,35975259,34.30868053436279,ok,
uniform_gap1,lab-coat,47,0,46,12,none,bitpack,33816468,32.24989700317383,ok,
uniform_gap1,libby,49,0,48,12,none,bitpack,35255856,33.62260437011719,ok,
uniform_gap1,loading,50,0,49,12,none,bitpack,35975400,34.308815002441406,ok,
uniform_gap1,mbike-trick,79,0,78,12,none,bitpack,56841020,54.207820892333984,ok,
uniform_gap1,motocross-jump,40,0,39,12,none,bitpack,28780189,27.446927070617676,ok,
uniform_gap1,paragliding-launch,80,0,79,12,none,bitpack,57560224,54.893707275390625,ok,
uniform_gap1,parkour,100,0,99,12,none,bitpack,71950381,68.61723041534424,ok,
uniform_gap1,pigs,79,0,78,12,none,bitpack,56840375,54.2072057723999,ok,
uniform_gap1,scooter-black,43,0,42,12,none,bitpack,30938831,29.505568504333496,ok,
uniform_gap1,shooting,40,0,39,12,none,bitpack,28780342,27.447072982788086,ok,
uniform_gap1,soapbox,99,0,98,12,none,bitpack,71231185,67.93135166168213,ok,
