measurement_key,sequence,frame_index,used_by_schedules,schedule_count,bits,compression,payload_encoding,anchor_values,bitstream_bytes,bitstream_mib,status,error
keyframe::bike-packing:00000,bike-packing,0,uniform_gap1,1,12,none,bitpack,479232,719648,0.686309814453125,ok,
keyframe::bike-packing:00001,bike-packing,1,uniform_gap1,1,12,none,bitpack,479232,719646,0.6863079071044922,ok,
keyframe::bike-packing:00002,bike-packing,2,uniform_gap1,1,12,none,bitpack,479232,719640,0.6863021850585938,ok,
keyframe::bike-packing:00003,bike-packing,3,uniform_gap1,1,12,none,bitpack,479232,719647,0.6863088607788086,ok,
keyframe::bike-packing:00004,bike-packing,4,uniform_gap1,1,12,none,bitpack,479232,719651,0.6863126754760742,ok,
keyframe::bike-packing:00005,bike-packing,5,uniform_gap1,1,12,none,bitpack,479232,719640,0.6863021850585938,ok,
keyframe::bike-packing:00006,bike-packing,6,uniform_gap1,1,12,none,bitpack,479232,719649,0.6863107681274414,ok,
keyframe::bike-packing:00007,bike-packing,7,uniform_gap1,1,12,none,bitpack,479232,719648,0.686309814453125,ok,
keyframe::bike-packing:00008,bike-packing,8,uniform_gap1,1,12,none,bitpack,479232,719646,0.6863079071044922,ok,
keyframe::bike-packing:00009,bike-packing,9,uniform_gap1,1,12,none,bitpack,479232,719642,0.6863040924072266,ok,
keyframe::bike-packing:00010,bike-packing,10,uniform_gap1,1,12,none,bitpack,479232,719647,0.6863088607788086,ok,
keyframe::bike-packing:00012,bike-packing,12,uniform_gap1,1,12,none,bitpack,479232,719649,0.6863107681274414,ok,
keyframe::bike-packing:00014,bike-packing,14,uniform_gap1,1,12,none,bitpack,479232,719653,0.686314582824707,ok,
keyframe::bike-packing:00016,bike-packing,16,uniform_gap1,1,12,none,bitpack,479232,719646,0.6863079071044922,ok,
keyframe::bike-packing:00018,bike-packing,18,uniform_gap1,1,12,none,bitpack,479232,719646,0.6863079071044922,ok,
keyframe::bike-packing:00020,bike-packing,20,uniform_gap1,1,12,none,bitpack,479232,719651,0.6863126754760742,ok,
keyframe::bike-packing:00022,bike-packing,22,uniform_gap1,1,12,none,bitpack,479232,719650,0.6863117218017578,ok,
keyframe::bike-packing:00024,bike-packing,24,uniform_gap1,1,12,none,bitpack,479232,719651,0.6863126754760742,ok,
keyframe::bike-packing:00026,bike-packing,26,uniform_gap1,1,12,none,bitpack,479232,719652,0.6863136291503906,ok,
keyframe::bike-packing:00028,bike-packing,28,uniform_gap1,1,12,none,bitpack,479232,719652,0.6863136291503906,ok,
keyframe::bike-packing:00030,bike-packing,30,uniform_gap1,1,12,none,bitpack,479232,719649,0.6863107681274414,ok,
keyframe::bike-packing:00032,bike-packing,32,uniform_gap1,1,12,none,bitpack,479232,719646,0.6863079071044922,ok,
keyframe::bike-packing:00034,bike-packing,34,uniform_gap1,1,12,none,bitpack,479232,719642,0.6863040924072266,ok,
keyframe::bike-packing:00036,bike-packing,36,uniform_gap1,1,12,none,bitpack,479232,719648,0.686309814453125,ok,
keyframe::bike-packing:00038,bike-packing,38,uniform_gap1,1,12,none,bitpack,479232,719648,0.686309814453125,ok,
keyframe::bike-packing:00040,bike-packing,40,uniform_gap1,1,12,none,bitpack,479232,719650,0.6863117218017578,ok,
keyframe::bike-packing:00042,bike-packing,42,uniform_gap1,1,12,none,bitpack,479232,719650,0.6863117218017578,ok,
keyframe::bike-packing:00044,bike-packing,44,uniform_gap1,1,12,none,bitpack,479232,719655,0.6863164901733398,ok,
keyframe::bike-packing:00046,bike-packing,46,uniform_gap1,1,12,none,bitpack,479232,719650,0.6863117218017578,ok,
keyframe::bike-packing:00048,bike-packing,48,uniform_gap1,1,12,none,bitpack,479232,719645,0.6863069534301758,ok,
keyframe::bike-packing:00050,bike-packing,50,uniform_gap1,1,12,none,bitpack,479232,719646,0.6863079071044922,ok,
keyframe::bike-packing:00052,bike-packing,52,uniform_gap1,1,12,none,bitpack,479232,719646,0.6863079071044922,ok,
keyframe::bike-packing:00054,bike-packing,54,uniform_gap1,1,12,none,bitpack,479232,719654,0.6863155364990234,ok,
keyframe::bike-packing:00056,bike-packing,56,uniform_gap1,1,12,none,bitpack,479232,719650,0.6863117218017578,ok,
keyframe::bike-packing:00058,bike-packing,58,uniform_gap1,1,12,none,bitpack,479232,719650,0.6863117218017578,ok,
keyframe::bike-packing:00060,bike-packing,60,uniform_gap1,1,12,none,bitpack,479232,719638,0.6863002777099609,ok,
keyframe::bike-packing:00062,bike-packing,62,uniform_gap1,1,12,none,bitpack,479232,719643,0.686305046081543,ok,
keyframe::bike-packing:00064,bike-packing,64,uniform_gap1,1,12,none,bitpack,479232,719655,0.6863164901733398,ok,
keyframe::bike-packing:00066,bike-packing,66,uniform_gap1,1,12,none,bitpack,479232,719639,0.6863012313842773,ok,
keyframe::bike-packing:00068,bike-packing,68,uniform_gap1,1,12,none,bitpack,479232,719651,0.6863126754760742,ok,
keyframe::blackswan:00000,blackswan,0,uniform_gap1,1,12,none,bitpack,479232,719642,0.6863040924072266,ok,
keyframe::blackswan:00002,blackswan,2,uniform_gap1,1,12,none,bitpack,479232,719647,0.6863088607788086,ok,
keyframe::blackswan:00004,blackswan,4,uniform_gap1,1,12,none,bitpack,479232,719645,0.6863069534301758,ok,
keyframe::blackswan:00006,blackswan,6,uniform_gap1,1,12,none,bitpack,479232,719652,0.6863136291503906,ok,
keyframe::blackswan:00008,blackswan,8,uniform_gap1,1,12,none,bitpack,479232,719644,0.6863059997558594,ok,
keyframe::blackswan:00010,blackswan,10,uniform_gap1,1,12,none,bitpack,479232,719647,0.6863088607788086,ok,
