schedule,sequence,keyframe_count,first_frame_index,last_frame_index,bits,compression,payload_encoding,bitstream_bytes,bitstream_mib,status,error
uniform_gap1_q16,bike-packing,69,0,68,16,none,bitpack,66179713,63.113892555236816,ok,
uniform_gap1_q16,blackswan,50,0,49,16,none,bitpack,47956383,45.73477077484131,ok,
uniform_gap1_q16,bmx-trees,80,0,79,16,none,bitpack,76730124,73.1755485534668,ok,
uniform_gap1_q16,breakdance,84,0,83,16,none,bitpack,80566734,76.83442497253418,ok,
uniform_gap1_q16,camel,90,0,89,16,none,bitpack,86321284,82.32239151000977,ok,
uniform_gap1_q16,car-roundabout,75,0,74,16,none,bitpack,71934587,68.60216808319092,ok,
uniform_gap1_q16,car-shadow,40,0,39,16,none,bitpack,38365109,36.58781909942627,ok,
uniform_gap1_q16,cows,104,0,103,16,none,bitpack,99749020,95.12807846069336,ok,
uniform_gap1_q16,dance-twirl,90,0,89,16,none,bitpack,86321590,82.32268333435059,ok,
uniform_gap1_q16,dog,60,0,59,16,none,bitpack,57547357,54.881436347961426,ok,
uniform_gap1_q16,dogs-jump,66,0,65,16,none,bitpack,63302476,60.36994552612305,ok,
uniform_gap1_q16,drift-chicane,52,0,51,16,none,bitpack,49874029,47.56358051300049,ok,
uniform_gap1_q16,drift-straight,50,0,49,16,none,bitpack,47956219,45.73461437225342,ok,
uniform_gap1_q16,goat,90,0,89,16,none,bitpack,86321119,82.32223415374756,ok,
uniform_gap1_q16,gold-fish,78,0,77,16,none,bitpack,74811533,71.34583759307861,ok,
uniform_gap1_q16,horsejump-high,50,0,49,16,none,bitpack,47956328,45.734718322753906,ok,
uniform_gap1_q16,india,81,0,80,16,none,bitpack,77688871,74.08988094329834,ok,
uniform_gap1_q16,judo,34,0,33,16,none,bitpack,32610408,31.099708557128906,ok,
uniform_gap1_q16,kite-surf,50,0,49,16,none,bitpack,47956276,45.73466873168945,ok,
uniform_gap1_q16,lab-coat,47,0,46,16,none,bitpack,45078655,42.990355491638184,ok,
uniform_gap1_q16,libby,49,0,48,16,none,bitpack,46997276,44.82009506225586,ok,
uniform_gap1_q16,loading,50,0,49,16,none,bitpack,47956426,45.734811782836914,ok,
uniform_gap1_q16,mbike-trick,79,0,78,16,none,bitpack,75771028,72.26088333129883,ok,
uniform_gap1_q16,motocross-jump,40,0,39,16,none,bitpack,38365045,36.58775806427002,ok,
uniform_gap1_q16,paragliding-launch,80,0,79,16,none,bitpack,76729890,73.17532539367676,ok,
uniform_gap1_q16,parkour,100,0,99,16,none,bitpack,95912413,91.46920490264893,ok,
uniform_gap1_q16,pigs,79,0,78,16,none,bitpack,75770380,72.2602653503418,ok,
uniform_gap1_q16,scooter-black,43,0,42,16,none,bitpack,41242514,39.331926345825195,ok,
uniform_gap1_q16,shooting,40,0,39,16,none,bitpack,38365148,36.58785629272461,ok,
uniform_gap1_q16,soapbox,99,0,98,16,none,bitpack,94953646,90.55485343933105,ok,
