task_split,keyframe_codec,reference_gap,sequence_count,segment_count,task_count,target_label_count,mean_tasks_per_sequence,min_normalized_time,max_normalized_time
eval,q12,2,30,974,974,974,32.46666666666667,0.5,0.5
eval,q12,4,30,495,1463,1463,48.766666666666666,0.25,0.75
eval,q12,6,30,334,1627,1627,54.233333333333334,0.16666666666666666,0.8333333333333334
eval,q12,8,30,252,1707,1707,56.9,0.125,0.875
eval,q12,12,30,176,1788,1788,59.6,0.08333333333333333,0.9166666666666666
eval,q12,16,30,132,1830,1830,61.0,0.0625,0.9375
train,q12,2,60,2055,2055,2055,34.25,0.5,0.5
train,q12,4,60,1048,3087,3087,51.45,0.25,0.75
train,q12,6,60,703,3430,3430,57.166666666666664,0.16666666666666666,0.8333333333333334
train,q12,8,60,540,3604,3604,60.06666666666667,0.125,0.875
train,q12,12,60,369,3776,3776,62.93333333333333,0.08333333333333333,0.9166666666666666
train,q12,16,60,283,3863,3863,64.38333333333334,0.0625,0.9375
