dataset,split,task_split,sequence,total_frames,first_index,last_index,gap1_pair_count,contiguous,source_frame_count,missing_source_count,missing_source_indices
DAVIS,train,train,bear,82,0,81,81,True,82,0,
DAVIS,train,train,bmx-bumps,90,0,89,89,True,90,0,
DAVIS,train,train,boat,75,0,74,74,True,75,0,
DAVIS,train,train,boxing-fisheye,87,0,86,86,True,87,0,
DAVIS,train,train,breakdance-flare,71,0,70,70,True,71,0,
DAVIS,train,train,bus,80,0,79,79,True,80,0,
DAVIS,train,train,car-turn,80,0,79,79,True,80,0,
DAVIS,train,train,cat-girl,89,0,88,88,True,89,0,
DAVIS,train,train,classic-car,63,0,62,62,True,63,0,
DAVIS,train,train,color-run,84,0,83,83,True,84,0,
DAVIS,train,train,crossing,52,0,51,51,True,52,0,
DAVIS,train,train,dance-jump,60,0,59,59,True,60,0,
DAVIS,train,train,dancing,62,0,61,61,True,62,0,
DAVIS,train,train,disc-jockey,76,0,75,75,True,76,0,
DAVIS,train,train,dog-agility,25,0,24,24,True,25,0,
DAVIS,train,train,dog-gooses,86,0,85,85,True,86,0,
DAVIS,train,train,dogs-scale,83,0,82,82,True,83,0,
DAVIS,train,train,drift-turn,64,0,63,63,True,64,0,
DAVIS,train,train,drone,91,0,90,90,True,91,0,
DAVIS,train,train,elephant,80,0,79,79,True,80,0,
DAVIS,train,train,flamingo,80,0,79,79,True,80,0,
DAVIS,train,train,hike,80,0,79,79,True,80,0,
DAVIS,train,train,hockey,75,0,74,74,True,75,0,
DAVIS,train,train,horsejump-low,60,0,59,59,True,60,0,
DAVIS,train,train,kid-football,68,0,67,67,True,68,0,
DAVIS,train,train,kite-walk,80,0,79,79,True,80,0,
DAVIS,train,train,koala,100,0,99,99,True,100,0,
DAVIS,train,train,lady-running,65,0,64,64,True,65,0,
DAVIS,train,train,lindy-hop,73,0,72,72,True,73,0,
DAVIS,train,train,longboard,52,0,51,51,True,52,0,
DAVIS,train,train,lucia,70,0,69,69,True,70,0,
DAVIS,train,train,mallard-fly,70,0,69,69,True,70,0,
DAVIS,train,train,mallard-water,80,0,79,79,True,80,0,
DAVIS,train,train,miami-surf,70,0,69,69,True,70,0,
DAVIS,train,train,motocross-bumps,60,0,59,59,True,60,0,
DAVIS,train,train,motorbike,43,0,42,42,True,43,0,
DAVIS,train,train,night-race,46,0,45,45,True,46,0,
DAVIS,train,train,paragliding,70,0,69,69,True,70,0,
DAVIS,train,train,planes-water,38,0,37,37,True,38,0,
DAVIS,train,train,rallye,50,0,49,49,True,50,0,
DAVIS,train,train,rhino,90,0,89,89,True,90,0,
DAVIS,train,train,rollerblade,35,0,34,34,True,35,0,
DAVIS,train,train,schoolgirls,80,0,79,79,True,80,0,
DAVIS,train,train,scooter-board,91,0,90,90,True,91,0,
DAVIS,train,train,scooter-gray,75,0,74,74,True,75,0,
DAVIS,train,train,sheep,68,0,67,67,True,68,0,
DAVIS,train,train,skate-park,80,0,79,79,True,80,0,
DAVIS,train,train,snowboard,66,0,65,65,True,66,0,
DAVIS,train,train,soccerball,48,0,47,47,True,48,0,
DAVIS,train,train,stroller,91,0,90,90,True,91,0,
DAVIS,train,train,stunt,71,0,70,70,True,71,0,
DAVIS,train,train,surf,55,0,54,54,True,55,0,
DAVIS,train,train,swing,60,0,59,59,True,60,0,
DAVIS,train,train,tennis,70,0,69,69,True,70,0,
DAVIS,train,train,tractor-sand,76,0,75,75,True,76,0,
DAVIS,train,train,train,80,0,79,79,True,80,0,
DAVIS,train,train,tuk-tuk,59,0,58,58,True,59,0,
DAVIS,train,train,upside-down,65,0,64,64,True,65,0,
DAVIS,train,train,varanus-cage,67,0,66,66,True,67,0,
DAVIS,train,train,walking,72,0,71,71,True,72,0,
DAVIS,val,eval,bike-packing,69,0,68,68,True,69,0,
DAVIS,val,eval,blackswan,50,0,49,49,True,50,0,
DAVIS,val,eval,bmx-trees,80,0,79,79,True,80,0,
DAVIS,val,eval,breakdance,84,0,83,83,True,84,0,
DAVIS,val,eval,camel,90,0,89,89,True,90,0,
DAVIS,val,eval,car-roundabout,75,0,74,74,True,75,0,
DAVIS,val,eval,car-shadow,40,0,39,39,True,40,0,
DAVIS,val,eval,cows,104,0,103,103,True,104,0,
DAVIS,val,eval,dance-twirl,90,0,89,89,True,90,0,
DAVIS,val,eval,dog,60,0,59,59,True,60,0,
DAVIS,val,eval,dogs-jump,66,0,65,65,True,66,0,
DAVIS,val,eval,drift-chicane,52,0,51,51,True,52,0,
DAVIS,val,eval,drift-straight,50,0,49,49,True,50,0,
DAVIS,val,eval,goat,90,0,89,89,True,90,0,
DAVIS,val,eval,gold-fish,78,0,77,77,True,78,0,
DAVIS,val,eval,horsejump-high,50,0,49,49,True,50,0,
DAVIS,val,eval,india,81,0,80,80,True,81,0,
DAVIS,val,eval,judo,34,0,33,33,True,34,0,
DAVIS,val,eval,kite-surf,50,0,49,49,True,50,0,
DAVIS,val,eval,lab-coat,47,0,46,46,True,47,0,
DAVIS,val,eval,libby,49,0,48,48,True,49,0,
