phase,task_split,task_id,sequence,reference_gap,target_index,normalized_time,anchor_mse,render_mse,psnr,status,error
linear,train,stage199_00006813,elephant,8,61,0.625,0.007876284420490265,0.010747618041932583,19.68687776294377,ok,
linear,train,stage199_00000434,bmx-bumps,4,6,0.5,0.010141192004084587,0.018713783472776413,17.27838399820333,ok,
linear,train,stage199_00018031,tractor-sand,8,42,0.25,0.0057967351749539375,0.005536284763365984,22.567815796824625,ok,
linear,train,stage199_00015750,snowboard,4,63,0.75,0.01095563918352127,0.01854165457189083,17.318515140221503,ok,
linear,train,stage199_00010819,mallard-fly,4,34,0.5,0.00944482907652855,0.017718153074383736,17.515815505871053,ok,
linear,train,stage199_00009709,lady-running,8,46,0.75,0.01188876386731863,0.03129956126213074,15.044617500820202,ok,
linear,train,stage199_00006644,elephant,4,11,0.75,0.0037146653048694134,0.0033913147635757923,24.696318994758236,ok,
linear,train,stage199_00001776,breakdance-flare,8,65,0.16666666666666666,0.006401796825230122,0.008026853203773499,20.95454679389502,ok,
linear,eval,stage199_00024701,gold-fish,8,30,0.75,0.002656463533639908,0.0045723640359938145,23.398591998582265,ok,
linear,eval,stage199_00024913,horsejump-high,4,7,0.75,0.010721201077103615,0.018202856183052063,17.398604621678295,ok,
linear,eval,stage199_00025693,kite-surf,4,21,0.25,0.004471455235034227,0.004128576721996069,23.84199640429838,ok,
linear,eval,stage199_00026614,mbike-trick,4,11,0.75,0.0035673256497830153,0.003261679783463478,24.86558678213321,ok,
linear,eval,stage199_00022007,car-shadow,8,4,0.5,0.009711281396448612,0.02204846404492855,16.566216592594497,ok,
linear,eval,stage199_00024584,gold-fish,4,41,0.25,0.0013794071273878217,0.0019442670745775104,27.112440783765763,ok,
linear,eval,stage199_00028389,scooter-black,4,23,0.75,0.02097846381366253,0.05170822888612747,12.864403374581489,ok,
linear,eval,stage199_00021948,car-shadow,4,7,0.75,0.008158820681273937,0.01528245210647583,18.15806956567193,ok,
predictor_initial,eval,stage199_00024701,gold-fish,8,30,0.75,0.002656463533639908,0.0045723640359938145,23.398591998582265,ok,
predictor_initial,eval,stage199_00024913,horsejump-high,4,7,0.75,0.010721201077103615,0.018202856183052063,17.398604621678295,ok,
predictor_initial,eval,stage199_00025693,kite-surf,4,21,0.25,0.004471455235034227,0.004128576721996069,23.84199640429838,ok,
predictor_initial,eval,stage199_00026614,mbike-trick,4,11,0.75,0.0035673256497830153,0.003261679783463478,24.86558678213321,ok,
predictor_initial,eval,stage199_00022007,car-shadow,8,4,0.5,0.009711281396448612,0.02204846404492855,16.566216592594497,ok,
predictor_initial,eval,stage199_00024584,gold-fish,4,41,0.25,0.0013794071273878217,0.0019442670745775104,27.112440783765763,ok,
predictor_initial,eval,stage199_00028389,scooter-black,4,23,0.75,0.02097846381366253,0.05170822888612747,12.864403374581489,ok,
predictor_initial,eval,stage199_00021948,car-shadow,4,7,0.75,0.008158820681273937,0.01528245210647583,18.15806956567193,ok,
predictor_final,train,stage199_00006813,elephant,8,61,0.625,0.007876242510974407,0.010729443281888962,19.694228116664902,ok,
predictor_final,train,stage199_00000434,bmx-bumps,4,6,0.5,0.010141130536794662,0.018688222393393517,17.28432006350179,ok,
predictor_final,train,stage199_00018031,tractor-sand,8,42,0.25,0.005796744488179684,0.005586451385170221,22.528639762310302,ok,
predictor_final,train,stage199_00015750,snowboard,4,63,0.75,0.010955638252198696,0.018496163189411163,17.329183515149648,ok,
predictor_final,train,stage199_00010819,mallard-fly,4,34,0.5,0.00944451056420803,0.017647843807935715,17.533083486058235,ok,
predictor_final,train,stage199_00009709,lady-running,8,46,0.75,0.011888494715094566,0.031262993812561035,15.049694353373596,ok,
predictor_final,train,stage199_00006644,elephant,4,11,0.75,0.0037146462127566338,0.003406030358746648,24.677514853876904,ok,
predictor_final,train,stage199_00001776,breakdance-flare,8,65,0.16666666666666666,0.006401797756552696,0.008010883815586567,20.96319566929774,ok,
predictor_final,eval,stage199_00024701,gold-fish,8,30,0.75,0.0026564588770270348,0.004591487813740969,23.380465640056087,ok,
predictor_final,eval,stage199_00024913,horsejump-high,4,7,0.75,0.010721086524426937,0.01814783178269863,17.411752549837335,ok,
