step,task_id,sequence,reference_gap,anchor_loss,render_loss,total_loss,train_psnr
1,stage199_00006813,elephant,8,0.0039381422102451324,0.010747618041932583,0.004153094720095396,19.68687776294377
2,stage199_00000434,bmx-bumps,4,0.005070625338703394,0.018709758296608925,0.005444820504635572,17.279318229290137
3,stage199_00018031,tractor-sand,8,0.002898361999541521,0.00555169815197587,0.003009395906701684,22.55574154674045
4,stage199_00015750,snowboard,4,0.0054778167977929115,0.018527686595916748,0.0058483704924583435,17.32178804175409
5,stage199_00010819,mallard-fly,4,0.004722455982118845,0.017692944034934044,0.00507631478831172,17.52199896217165
6,stage199_00009709,lady-running,8,0.005944385193288326,0.031285353004932404,0.006570092402398586,15.046589403435062
7,stage199_00006644,elephant,4,0.0018573326524347067,0.0034031542018055916,0.001925395685248077,24.681183719514976
8,stage199_00001776,breakdance-flare,8,0.003200897481292486,0.008022105321288109,0.003361339680850506,20.957116405151808
9,stage199_00006813,elephant,8,0.003938131034374237,0.010734748095273972,0.0041528260335326195,19.69208142388989
10,stage199_00000434,bmx-bumps,4,0.005070587620139122,0.018695218488574028,0.0054444922134280205,17.282694549372778
11,stage199_00018031,tractor-sand,8,0.002898366656154394,0.005570313427597284,0.0030097728595137596,22.541203674750427
12,stage199_00015750,snowboard,4,0.00547781540080905,0.018507380038499832,0.005847963038831949,17.32655056955157
13,stage199_00010819,mallard-fly,4,0.004722336772829294,0.01766209304332733,0.005075578577816486,17.529578317151298
14,stage199_00009709,lady-running,8,0.005944297183305025,0.031269870698451996,0.0065696947276592255,15.048739145698233
15,stage199_00006644,elephant,4,0.0018573254346847534,0.003406287170946598,0.0019254512153565884,24.677187411355646
16,stage199_00001776,breakdance-flare,8,0.0032008986454457045,0.008012788370251656,0.0033611543476581573,20.962163274755675
