edge_id,task_id,sequence,reference_gap,left_index,right_index,target_index,normalized_time,setting_label,keep_fraction,side_bits,payload_bytes,base_anchor_mse,corrected_anchor_mse,anchor_mse_reduction,base_render_mse,corrected_render_mse,base_psnr,corrected_psnr,delta_psnr_vs_base,status,error
dogs-jump:00056:00060:gap4,stage199_00023383,dogs-jump,4,56,60,57,0.25,topk_keep0p05_q6,0.05,6,15861,0.002027091570198536,0.00039801886305212975,0.8036502795908982,0.0018184743821620941,0.0010199272073805332,27.402928127088057,29.91430822905791,2.511380101969852,ok,
dogs-jump:00056:00060:gap4,stage199_00023383,dogs-jump,4,56,60,57,0.25,topk_keep0p1_q6,0.1,6,28874,0.002027091570198536,0.0001881455391412601,0.9071844893899722,0.0018184743821620941,0.0007348066428676248,27.402928127088057,31.338269261989552,3.9353411349014955,ok,
dogs-jump:00056:00060:gap4,stage199_00023383,dogs-jump,4,56,60,57,0.25,topk_keep0p2_q6,0.2,6,52381,0.002027091570198536,5.657768633682281e-05,0.972089230122307,0.0018184743821620941,0.0006007279152981937,27.402928127088057,32.21322186300891,4.810293735920855,ok,
dogs-jump:00056:00060:gap4,stage199_00023384,dogs-jump,4,56,60,58,0.5,topk_keep0p05_q6,0.05,6,15470,0.0022564432583749294,0.0005911052576266229,0.7380367286291383,0.0026474609039723873,0.0011607527267187834,25.771704445592594,29.352602874614604,3.5808984290220103,ok,
dogs-jump:00056:00060:gap4,stage199_00023384,dogs-jump,4,56,60,58,0.5,topk_keep0p1_q6,0.1,6,29520,0.0022564432583749294,0.0002446318685542792,0.891585189369902,0.0026474609039723873,0.0007903757505118847,25.771704445592594,31.02166392788385,5.249959482291256,ok,
dogs-jump:00056:00060:gap4,stage199_00023384,dogs-jump,4,56,60,58,0.5,topk_keep0p2_q6,0.2,6,54055,0.0022564432583749294,7.791652024025097e-05,0.9654693199347872,0.0026474609039723873,0.0006330811302177608,25.771704445592594,31.985406309808692,6.213701864216098,ok,
dogs-jump:00056:00060:gap4,stage199_00023385,dogs-jump,4,56,60,59,0.75,topk_keep0p05_q6,0.05,6,15683,0.0020646213088184595,0.00037065468495711684,0.8204732832244016,0.002304981928318739,0.0009757691295817494,26.373324752470953,30.106529257855218,3.733204505384265,ok,
dogs-jump:00056:00060:gap4,stage199_00023385,dogs-jump,4,56,60,59,0.75,topk_keep0p1_q6,0.1,6,28860,0.0020646213088184595,0.00016567573766224086,0.9197549027734032,0.002304981928318739,0.0007314719259738922,26.373324752470953,31.35802337520343,4.984698622732477,ok,
dogs-jump:00056:00060:gap4,stage199_00023385,dogs-jump,4,56,60,59,0.75,topk_keep0p2_q6,0.2,6,52194,0.0020646213088184595,5.113577572046779e-05,0.9752323704584199,0.002304981928318739,0.0006032910314388573,26.373324752470953,32.19473130883772,5.821406556366764,ok,
parkour:00056:00060:gap4,stage199_00027595,parkour,4,56,60,57,0.25,topk_keep0p05_q6,0.05,6,15661,0.012145628221333027,0.008052096702158451,0.33703744627919263,0.0224737748503685,0.015165834687650204,16.483239743545628,18.1913368226958,1.7080970791501713,ok,
parkour:00056:00060:gap4,stage199_00027595,parkour,4,56,60,57,0.25,topk_keep0p1_q6,0.1,6,30127,0.012145628221333027,0.005786173511296511,0.5236003106752878,0.0224737748503685,0.011303466744720936,16.483239743545628,19.467883390653565,2.984643647107937,ok,
parkour:00056:00060:gap4,stage199_00027595,parkour,4,56,60,57,0.25,topk_keep0p2_q6,0.2,6,57586,0.012145628221333027,0.0031705559231340885,0.7389549667290813,0.0224737748503685,0.006780573166906834,16.483239743545628,21.687335933447777,5.204096189902149,ok,
parkour:00056:00060:gap4,stage199_00027596,parkour,4,56,60,58,0.5,topk_keep0p05_q6,0.05,6,15532,0.013777541927993298,0.009624524042010307,0.30143387751518014,0.02785496786236763,0.019181014969944954,15.55097338270934,17.171284157167758,1.6203107744584173,ok,
parkour:00056:00060:gap4,stage199_00027596,parkour,4,56,60,58,0.5,topk_keep0p1_q6,0.1,6,29858,0.013777541927993298,0.007312625180929899,0.4692358608561328,0.02785496786236763,0.014892077073454857,15.55097338270934,18.270447247710287,2.7194738650009462,ok,
