edge_id,sequence,reference_gap,left_index,right_index,target_count,expected_intermediate_count,complete_intermediate_coverage
bike-packing:00000:00004:gap4,bike-packing,4,0,4,3,3,1
bike-packing:00004:00008:gap4,bike-packing,4,4,8,3,3,1
bike-packing:00008:00012:gap4,bike-packing,4,8,12,3,3,1
bike-packing:00012:00016:gap4,bike-packing,4,12,16,3,3,1
bike-packing:00016:00020:gap4,bike-packing,4,16,20,3,3,1
bike-packing:00020:00024:gap4,bike-packing,4,20,24,3,3,1
parkour:00000:00004:gap4,parkour,4,0,4,3,3,1
parkour:00004:00008:gap4,parkour,4,4,8,3,3,1
parkour:00008:00012:gap4,parkour,4,8,12,3,3,1
parkour:00012:00016:gap4,parkour,4,12,16,3,3,1
parkour:00016:00020:gap4,parkour,4,16,20,3,3,1
parkour:00020:00024:gap4,parkour,4,20,24,3,3,1
bike-packing:00000:00008:gap8,bike-packing,8,0,8,7,7,1
bike-packing:00008:00016:gap8,bike-packing,8,8,16,7,7,1
bike-packing:00016:00024:gap8,bike-packing,8,16,24,7,7,1
parkour:00000:00008:gap8,parkour,8,0,8,7,7,1
parkour:00008:00016:gap8,parkour,8,8,16,7,7,1
parkour:00016:00024:gap8,parkour,8,16,24,7,7,1
bike-packing:00000:00012:gap12,bike-packing,12,0,12,11,11,1
bike-packing:00012:00024:gap12,bike-packing,12,12,24,11,11,1
parkour:00000:00012:gap12,parkour,12,0,12,11,11,1
parkour:00012:00024:gap12,parkour,12,12,24,11,11,1
