frontier_index,cost_bytes,cost_mib,target_count,mean_corrected_psnr,score_sum_psnr,chosen_settings
1,4905660,4.678401947021484,37,22.519469828354364,833.2203836491115,bike-packing:00048:00056:gap8=topk_keep0p05_q6;dog:00036:00048:gap12=topk_keep0p05_q6;dogs-jump:00056:00060:gap4=topk_keep0p05_q6;paragliding-launch:00060:00072:gap12=topk_keep0p05_q6;parkour:00056:00060:gap4=topk_keep0p05_q6;parkour:00096:00099:gap8=topk_keep0p05_q6
2,4934841,4.706231117248535,37,22.56599765507404,834.9419132377394,bike-packing:00048:00056:gap8=topk_keep0p05_q6;dog:00036:00048:gap12=topk_keep0p05_q6;dogs-jump:00056:00060:gap4=topk_keep0p05_q6;paragliding-launch:00060:00072:gap12=topk_keep0p05_q6;parkour:00056:00060:gap4=topk_keep0p05_q6;parkour:00096:00099:gap8=topk_keep0p1_q6
3,4945900,4.716777801513672,37,22.636889185207043,837.5648998526606,bike-packing:00048:00056:gap8=topk_keep0p05_q6;dog:00036:00048:gap12=topk_keep0p05_q6;dogs-jump:00056:00060:gap4=topk_keep0p1_q6;paragliding-launch:00060:00072:gap12=topk_keep0p05_q6;parkour:00056:00060:gap4=topk_keep0p05_q6;parkour:00096:00099:gap8=topk_keep0p05_q6
4,4975081,4.744606971740723,37,22.683417011926718,839.2864294412885,bike-packing:00048:00056:gap8=topk_keep0p05_q6;dog:00036:00048:gap12=topk_keep0p05_q6;dogs-jump:00056:00060:gap4=topk_keep0p1_q6;paragliding-launch:00060:00072:gap12=topk_keep0p05_q6;parkour:00056:00060:gap4=topk_keep0p05_q6;parkour:00096:00099:gap8=topk_keep0p1_q6
5,4989071,4.757948875427246,37,22.736064198483998,841.2343753439079,bike-packing:00048:00056:gap8=topk_keep0p05_q6;dog:00036:00048:gap12=topk_keep0p05_q6;dogs-jump:00056:00060:gap4=topk_keep0p1_q6;paragliding-launch:00060:00072:gap12=topk_keep0p05_q6;parkour:00056:00060:gap4=topk_keep0p1_q6;parkour:00096:00099:gap8=topk_keep0p05_q6
6,5008796,4.776760101318359,37,22.748851259029728,841.7074965840999,bike-packing:00048:00056:gap8=topk_keep0p1_q6;dog:00036:00048:gap12=topk_keep0p05_q6;dogs-jump:00056:00060:gap4=topk_keep0p05_q6;paragliding-launch:00060:00072:gap12=topk_keep0p05_q6;parkour:00056:00060:gap4=topk_keep0p05_q6;parkour:00096:00099:gap8=topk_keep0p05_q6
7,5018252,4.785778045654297,37,22.782592025203673,842.9559049325359,bike-packing:00048:00056:gap8=topk_keep0p05_q6;dog:00036:00048:gap12=topk_keep0p05_q6;dogs-jump:00056:00060:gap4=topk_keep0p1_q6;paragliding-launch:00060:00072:gap12=topk_keep0p05_q6;parkour:00056:00060:gap4=topk_keep0p1_q6;parkour:00096:00099:gap8=topk_keep0p1_q6
8,5031136,4.798065185546875,37,22.7897899398925,843.2222277760226,bike-packing:00048:00056:gap8=topk_keep0p05_q6;dog:00036:00048:gap12=topk_keep0p05_q6;dogs-jump:00056:00060:gap4=topk_keep0p05_q6;paragliding-launch:00060:00072:gap12=topk_keep0p05_q6;parkour:00056:00060:gap4=topk_keep0p2_q6;parkour:00096:00099:gap8=topk_keep0p05_q6
9,5037977,4.80458927154541,37,22.795379085749403,843.4290261727278,bike-packing:00048:00056:gap8=topk_keep0p1_q6;dog:00036:00048:gap12=topk_keep0p05_q6;dogs-jump:00056:00060:gap4=topk_keep0p05_q6;paragliding-launch:00060:00072:gap12=topk_keep0p05_q6;parkour:00056:00060:gap4=topk_keep0p05_q6;parkour:00096:00099:gap8=topk_keep0p1_q6
10,5049036,4.815135955810547,37,22.866270615882407,846.052012787649,bike-packing:00048:00056:gap8=topk_keep0p1_q6;dog:00036:00048:gap12=topk_keep0p05_q6;dogs-jump:00056:00060:gap4=topk_keep0p1_q6;paragliding-launch:00060:00072:gap12=topk_keep0p05_q6;parkour:00056:00060:gap4=topk_keep0p05_q6;parkour:00096:00099:gap8=topk_keep0p05_q6
11,5059953,4.825547218322754,37,22.87333462906178,846.3133812752859,bike-packing:00048:00056:gap8=topk_keep0p05_q6;dog:00036:00048:gap12=topk_keep0p1_q6;dogs-jump:00056:00060:gap4=topk_keep0p05_q6;paragliding-launch:00060:00072:gap12=topk_keep0p05_q6;parkour:00056:00060:gap4=topk_keep0p05_q6;parkour:00096:00099:gap8=topk_keep0p05_q6
12,5071376,4.8364410400390625,37,22.90720929674518,847.5667439795717,bike-packing:00048:00056:gap8=topk_keep0p05_q6;dog:00036:00048:gap12=topk_keep0p05_q6;dogs-jump:00056:00060:gap4=topk_keep0p1_q6;paragliding-launch:00060:00072:gap12=topk_keep0p05_q6;parkour:00056:00060:gap4=topk_keep0p2_q6;parkour:00096:00099:gap8=topk_keep0p05_q6
13,5078217,4.842965126037598,37,22.91279844260208,847.773542376277,bike-packing:00048:00056:gap8=topk_keep0p1_q6;dog:00036:00048:gap12=topk_keep0p05_q6;dogs-jump:00056:00060:gap4=topk_keep0p1_q6;paragliding-launch:00060:00072:gap12=topk_keep0p05_q6;parkour:00056:00060:gap4=topk_keep0p05_q6;parkour:00096:00099:gap8=topk_keep0p1_q6
14,5089134,4.853376388549805,37,22.919862455781455,848.0349108639139,bike-packing:00048:00056:gap8=topk_keep0p05_q6;dog:00036:00048:gap12=topk_keep0p1_q6;dogs-jump:00056:00060:gap4=topk_keep0p05_q6;paragliding-launch:00060:00072:gap12=topk_keep0p05_q6;parkour:00056:00060:gap4=topk_keep0p05_q6;parkour:00096:00099:gap8=topk_keep0p1_q6
15,5092207,4.856307029724121,37,22.96544562915936,849.7214882788962,bike-packing:00048:00056:gap8=topk_keep0p1_q6;dog:00036:00048:gap12=topk_keep0p05_q6;dogs-jump:00056:00060:gap4=topk_keep0p1_q6;paragliding-launch:00060:00072:gap12=topk_keep0p05_q6;parkour:00056:00060:gap4=topk_keep0p1_q6;parkour:00096:00099:gap8=topk_keep0p05_q6
16,5100193,4.863923072814941,37,22.99075398591446,850.657897478835,bike-packing:00048:00056:gap8=topk_keep0p05_q6;dog:00036:00048:gap12=topk_keep0p1_q6;dogs-jump:00056:00060:gap4=topk_keep0p1_q6;paragliding-launch:00060:00072:gap12=topk_keep0p05_q6;parkour:00056:00060:gap4=topk_keep0p05_q6;parkour:00096:00099:gap8=topk_keep0p05_q6
17,5121388,4.884136199951172,37,23.011973455879033,851.4430178675242,bike-packing:00048:00056:gap8=topk_keep0p1_q6;dog:00036:00048:gap12=topk_keep0p05_q6;dogs-jump:00056:00060:gap4=topk_keep0p1_q6;paragliding-launch:00060:00072:gap12=topk_keep0p05_q6;parkour:00056:00060:gap4=topk_keep0p1_q6;parkour:00096:00099:gap8=topk_keep0p1_q6
18,5129374,4.891752243041992,37,23.037281812634134,852.379427067463,bike-packing:00048:00056:gap8=topk_keep0p05_q6;dog:00036:00048:gap12=topk_keep0p1_q6;dogs-jump:00056:00060:gap4=topk_keep0p1_q6;paragliding-launch:00060:00072:gap12=topk_keep0p05_q6;parkour:00056:00060:gap4=topk_keep0p05_q6;parkour:00096:00099:gap8=topk_keep0p1_q6
19,5143364,4.905094146728516,37,23.08992899919141,854.3273729700823,bike-packing:00048:00056:gap8=topk_keep0p05_q6;dog:00036:00048:gap12=topk_keep0p1_q6;dogs-jump:00056:00060:gap4=topk_keep0p1_q6;paragliding-launch:00060:00072:gap12=topk_keep0p05_q6;parkour:00056:00060:gap4=topk_keep0p1_q6;parkour:00096:00099:gap8=topk_keep0p05_q6
20,5163089,4.923905372619629,37,23.102716059737144,854.8004942102743,bike-packing:00048:00056:gap8=topk_keep0p1_q6;dog:00036:00048:gap12=topk_keep0p1_q6;dogs-jump:00056:00060:gap4=topk_keep0p05_q6;paragliding-launch:00060:00072:gap12=topk_keep0p05_q6;parkour:00056:00060:gap4=topk_keep0p05_q6;parkour:00096:00099:gap8=topk_keep0p05_q6
21,5172545,4.932923316955566,37,23.136456825911086,856.0489025587102,bike-packing:00048:00056:gap8=topk_keep0p05_q6;dog:00036:00048:gap12=topk_keep0p1_q6;dogs-jump:00056:00060:gap4=topk_keep0p1_q6;paragliding-launch:00060:00072:gap12=topk_keep0p05_q6;parkour:00056:00060:gap4=topk_keep0p1_q6;parkour:00096:00099:gap8=topk_keep0p1_q6
22,5174512,4.9347991943359375,37,23.136590727420543,856.0538569145601,bike-packing:00048:00056:gap8=topk_keep0p1_q6;dog:00036:00048:gap12=topk_keep0p05_q6;dogs-jump:00056:00060:gap4=topk_keep0p1_q6;paragliding-launch:00060:00072:gap12=topk_keep0p05_q6;parkour:00056:00060:gap4=topk_keep0p2_q6;parkour:00096:00099:gap8=topk_keep0p05_q6
23,5185429,4.9452104568481445,37,23.14365474059992,856.315225402197,bike-packing:00048:00056:gap8=topk_keep0p05_q6;dog:00036:00048:gap12=topk_keep0p1_q6;dogs-jump:00056:00060:gap4=topk_keep0p05_q6;paragliding-launch:00060:00072:gap12=topk_keep0p05_q6;parkour:00056:00060:gap4=topk_keep0p2_q6;parkour:00096:00099:gap8=topk_keep0p05_q6
24,5192270,4.95173454284668,37,23.14924388645682,856.5220237989023,bike-packing:00048:00056:gap8=topk_keep0p1_q6;dog:00036:00048:gap12=topk_keep0p1_q6;dogs-jump:00056:00060:gap4=topk_keep0p05_q6;paragliding-launch:00060:00072:gap12=topk_keep0p05_q6;parkour:00056:00060:gap4=topk_keep0p05_q6;parkour:00096:00099:gap8=topk_keep0p1_q6
25,5203329,4.962281227111816,37,23.220135416589823,859.1450104138235,bike-packing:00048:00056:gap8=topk_keep0p1_q6;dog:00036:00048:gap12=topk_keep0p1_q6;dogs-jump:00056:00060:gap4=topk_keep0p1_q6;paragliding-launch:00060:00072:gap12=topk_keep0p05_q6;parkour:00056:00060:gap4=topk_keep0p05_q6;parkour:00096:00099:gap8=topk_keep0p05_q6
26,5225669,4.983586311340332,37,23.2610740974526,860.6597416057461,bike-packing:00048:00056:gap8=topk_keep0p05_q6;dog:00036:00048:gap12=topk_keep0p1_q6;dogs-jump:00056:00060:gap4=topk_keep0p1_q6;paragliding-launch:00060:00072:gap12=topk_keep0p05_q6;parkour:00056:00060:gap4=topk_keep0p2_q6;parkour:00096:00099:gap8=topk_keep0p05_q6
27,5232510,4.990110397338867,37,23.266663243309498,860.8665400024514,bike-packing:00048:00056:gap8=topk_keep0p1_q6;dog:00036:00048:gap12=topk_keep0p1_q6;dogs-jump:00056:00060:gap4=topk_keep0p1_q6;paragliding-launch:00060:00072:gap12=topk_keep0p05_q6;parkour:00056:00060:gap4=topk_keep0p05_q6;parkour:00096:00099:gap8=topk_keep0p1_q6
28,5246500,5.003452301025391,37,23.31931042986678,862.8144859050708,bike-packing:00048:00056:gap8=topk_keep0p1_q6;dog:00036:00048:gap12=topk_keep0p1_q6;dogs-jump:00056:00060:gap4=topk_keep0p1_q6;paragliding-launch:00060:00072:gap12=topk_keep0p05_q6;parkour:00056:00060:gap4=topk_keep0p1_q6;parkour:00096:00099:gap8=topk_keep0p05_q6
29,5275681,5.031281471252441,37,23.365838256586454,864.5360154936988,bike-packing:00048:00056:gap8=topk_keep0p1_q6;dog:00036:00048:gap12=topk_keep0p1_q6;dogs-jump:00056:00060:gap4=topk_keep0p1_q6;paragliding-launch:00060:00072:gap12=topk_keep0p05_q6;parkour:00056:00060:gap4=topk_keep0p1_q6;parkour:00096:00099:gap8=topk_keep0p1_q6
30,5288565,5.0435686111450195,37,23.37303617127528,864.8023383371855,bike-packing:00048:00056:gap8=topk_keep0p1_q6;dog:00036:00048:gap12=topk_keep0p1_q6;dogs-jump:00056:00060:gap4=topk_keep0p05_q6;paragliding-launch:00060:00072:gap12=topk_keep0p05_q6;parkour:00056:00060:gap4=topk_keep0p2_q6;parkour:00096:00099:gap8=topk_keep0p05_q6
31,5309835,5.0638532638549805,37,23.384482477263138,865.2258516587361,bike-packing:00048:00056:gap8=topk_keep0p05_q6;dog:00036:00048:gap12=topk_keep0p1_q6;dogs-jump:00056:00060:gap4=topk_keep0p1_q6;paragliding-launch:00060:00072:gap12=topk_keep0p05_q6;parkour:00056:00060:gap4=topk_keep0p2_q6;parkour:00096:00099:gap8=topk_keep0p2_q6
32,5317746,5.07139778137207,37,23.419563997994956,866.5238679258134,bike-packing:00048:00056:gap8=topk_keep0p1_q6;dog:00036:00048:gap12=topk_keep0p1_q6;dogs-jump:00056:00060:gap4=topk_keep0p05_q6;paragliding-launch:00060:00072:gap12=topk_keep0p05_q6;parkour:00056:00060:gap4=topk_keep0p2_q6;parkour:00096:00099:gap8=topk_keep0p1_q6
33,5328805,5.081944465637207,37,23.49045552812796,869.1468545407346,bike-packing:00048:00056:gap8=topk_keep0p1_q6;dog:00036:00048:gap12=topk_keep0p1_q6;dogs-jump:00056:00060:gap4=topk_keep0p1_q6;paragliding-launch:00060:00072:gap12=topk_keep0p05_q6;parkour:00056:00060:gap4=topk_keep0p2_q6;parkour:00096:00099:gap8=topk_keep0p05_q6
34,5357986,5.109773635864258,37,23.536983354847635,870.8683841293625,bike-packing:00048:00056:gap8=topk_keep0p1_q6;dog:00036:00048:gap12=topk_keep0p1_q6;dogs-jump:00056:00060:gap4=topk_keep0p1_q6;paragliding-launch:00060:00072:gap12=topk_keep0p05_q6;parkour:00056:00060:gap4=topk_keep0p2_q6;parkour:00096:00099:gap8=topk_keep0p1_q6
