edge_id,sequence,left_index,right_index,reference_gap,setting_label,keep_fraction,target_count,cost_bytes,residual_payload_bytes,mean_corrected_psnr,mean_delta_psnr_vs_base,score_sum_psnr
dogs-jump:00056:00060:gap4,dogs-jump,56,60,4,topk_keep0p05_q6,0.05,3,766665,47014.0,29.791146787175908,3.2751610121253756,89.37344036152773
dogs-jump:00056:00060:gap4,dogs-jump,56,60,4,topk_keep0p1_q6,0.1,3,806905,87254.0,31.239318855025612,4.723333079975077,93.71795656507683
dogs-jump:00056:00060:gap4,dogs-jump,56,60,4,topk_keep0p2_q6,0.2,3,878281,158630.0,32.13111982721844,5.615134052167906,96.39335948165532
parkour:00056:00060:gap4,parkour,56,60,4,topk_keep0p05_q6,0.05,3,766489,46836.0,17.728368840445295,1.653786057330097,53.18510652133588
parkour:00056:00060:gap4,parkour,56,60,4,topk_keep0p1_q6,0.1,3,809660,90007.0,18.951527337527732,2.8769445544125367,56.854582012583194
parkour:00056:00060:gap4,parkour,56,60,4,topk_keep0p2_q6,0.2,3,891965,172312.0,21.062316882749,4.9877340996338,63.18695064824699
bike-packing:00048:00056:gap8,bike-packing,48,56,8,topk_keep0p05_q6,0.05,7,833086,113434.0,20.10208987395435,2.0411534772707074,140.71462911768043
bike-packing:00048:00056:gap8,bike-packing,48,56,8,topk_keep0p1_q6,0.1,7,936222,216570.0,21.314534578952703,3.2535981822690574,149.20174205266892
bike-packing:00048:00056:gap8,bike-packing,48,56,8,topk_keep0p2_q6,0.2,7,1127859,408207.0,23.19017142474085,5.129235028057209,162.33119997318596
parkour:00096:00099:gap8,parkour,96,99,8,topk_keep0p05_q6,0.05,2,751974,32320.0,19.529080510067637,1.1229759583306507,39.05816102013527
parkour:00096:00099:gap8,parkour,96,99,8,topk_keep0p1_q6,0.1,2,781155,61501.0,20.389845304381573,1.9837407526445894,40.77969060876315
parkour:00096:00099:gap8,parkour,96,99,8,topk_keep0p2_q6,0.2,2,836140,116486.0,21.812135536562618,3.406030984825632,43.624271073125236
dog:00036:00048:gap12,dog,36,48,12,topk_keep0p05_q6,0.05,11,892176,172535.0,20.609566938368634,1.4748299410342935,226.70523632205496
dog:00036:00048:gap12,dog,36,48,12,topk_keep0p1_q6,0.1,11,1046469,326828.0,21.79983944983904,2.6651024525046987,239.79823394822944
dog:00036:00048:gap12,dog,36,48,12,topk_keep0p2_q6,0.2,11,1334546,614905.0,23.864306307922572,4.7295693105882295,262.5073693871483
paragliding-launch:00060:00072:gap12,paragliding-launch,60,72,12,topk_keep0p05_q6,0.05,11,895270,175626.0,25.834891846034285,1.1526334632931023,284.18381030637715
paragliding-launch:00060:00072:gap12,paragliding-launch,60,72,12,topk_keep0p1_q6,0.1,11,1050064,330420.0,26.734160083486326,2.0519017007451463,294.0757609183496
paragliding-launch:00060:00072:gap12,paragliding-launch,60,72,12,topk_keep0p2_q6,0.2,11,1330301,610657.0,28.28136204170107,3.599103658959883,311.09498245871174
