edge_id,sequence,left_index,right_index,reference_gap,setting_label,keep_fraction,target_count,cost_bytes,residual_payload_bytes,mean_corrected_psnr,mean_delta_psnr_vs_base,score_sum_psnr
bike-packing:00000:00004:gap4,bike-packing,0,4,4,topk_keep0p05_q6,0.05,3,766515,46862.0,25.5331985411318,1.6332037021592807,76.5995956233954
bike-packing:00000:00004:gap4,bike-packing,0,4,4,topk_keep0p1_q6,0.1,3,806313,86660.0,25.936249137946618,2.036254298974098,77.80874741383985
bike-packing:00000:00004:gap4,bike-packing,0,4,4,topk_keep0p2_q6,0.2,3,874257,154604.0,26.160188557917536,2.260193718945017,78.48056567375261
bike-packing:00004:00008:gap4,bike-packing,4,8,4,topk_keep0p05_q6,0.05,3,767258,47610.0,24.84332690824679,2.7301120439637194,74.52998072474037
bike-packing:00004:00008:gap4,bike-packing,4,8,4,topk_keep0p1_q6,0.1,3,808927,89279.0,25.836689914021147,3.7234750497380737,77.51006974206344
bike-packing:00004:00008:gap4,bike-packing,4,8,4,topk_keep0p2_q6,0.2,3,883080,163432.0,26.449643269019802,4.336428404736729,79.3489298070594
bike-packing:00008:00012:gap4,bike-packing,8,12,4,topk_keep0p05_q6,0.05,3,767889,48238.0,23.004381333694724,2.920815335099789,69.01314400108417
bike-packing:00008:00012:gap4,bike-packing,8,12,4,topk_keep0p1_q6,0.1,3,811380,91729.0,24.409926469313294,4.326360470718359,73.22977940793989
bike-packing:00008:00012:gap4,bike-packing,8,12,4,topk_keep0p2_q6,0.2,3,890627,170976.0,25.7365447164476,5.652978717852668,77.2096341493428
bike-packing:00012:00016:gap4,bike-packing,12,16,4,topk_keep0p05_q6,0.05,3,767903,48255.0,23.990820266966427,2.934060864209742,71.97246080089928
bike-packing:00012:00016:gap4,bike-packing,12,16,4,topk_keep0p1_q6,0.1,3,810521,90873.0,25.256215449036343,4.199456046279654,75.76864634710903
bike-packing:00012:00016:gap4,bike-packing,12,16,4,topk_keep0p2_q6,0.2,3,888364,168716.0,26.352011830039146,5.295252427282461,79.05603549011744
bike-packing:00016:00020:gap4,bike-packing,16,20,4,topk_keep0p05_q6,0.05,3,767725,48072.0,23.099057155019977,3.6081094516482204,69.29717146505993
bike-packing:00016:00020:gap4,bike-packing,16,20,4,topk_keep0p1_q6,0.1,3,810663,91010.0,24.780074349695482,5.289126646323727,74.34022304908645
bike-packing:00016:00020:gap4,bike-packing,16,20,4,topk_keep0p2_q6,0.2,3,888921,169268.0,26.505365152048075,7.014417448676322,79.51609545614423
bike-packing:00020:00024:gap4,bike-packing,20,24,4,topk_keep0p05_q6,0.05,3,767771,48118.0,22.444377584233347,2.8196292224287163,67.33313275270004
bike-packing:00020:00024:gap4,bike-packing,20,24,4,topk_keep0p1_q6,0.1,3,810729,91076.0,23.789601191495347,4.164852829690713,71.36880357448604
bike-packing:00020:00024:gap4,bike-packing,20,24,4,topk_keep0p2_q6,0.2,3,889363,169710.0,24.983829583487378,5.359081221682749,74.95148875046213
bike-packing:00000:00008:gap8,bike-packing,0,8,8,topk_keep0p05_q6,0.05,7,830870,111222.0,24.518605832395714,2.669071293190996,171.63024082677
bike-packing:00000:00008:gap8,bike-packing,0,8,8,topk_keep0p1_q6,0.1,7,928135,208487.0,25.47990131440506,3.630366775200337,178.3593092008354
bike-packing:00000:00008:gap8,bike-packing,0,8,8,topk_keep0p2_q6,0.2,7,1101221,381573.0,26.179005483197418,4.3294709439927015,183.25303838238193
bike-packing:00008:00016:gap8,bike-packing,8,16,8,topk_keep0p05_q6,0.05,7,832548,112900.0,22.69852368406188,3.1962345431247816,158.88966578843315
bike-packing:00008:00016:gap8,bike-packing,8,16,8,topk_keep0p1_q6,0.1,7,934829,215181.0,24.280308897571786,4.778019756634689,169.9621622830025
bike-packing:00008:00016:gap8,bike-packing,8,16,8,topk_keep0p2_q6,0.2,7,1122073,402425.0,25.733731551788733,6.231442410851635,180.13612086252112
bike-packing:00016:00024:gap8,bike-packing,16,24,8,topk_keep0p05_q6,0.05,7,832075,112422.0,22.37853188415057,3.297498434212365,156.649723189054
bike-packing:00016:00024:gap8,bike-packing,16,24,8,topk_keep0p1_q6,0.1,7,933592,213939.0,23.923671511168603,4.842638061230403,167.46570057818022
bike-packing:00016:00024:gap8,bike-packing,16,24,8,topk_keep0p2_q6,0.2,7,1117923,398270.0,25.550487875289146,6.469454425350947,178.85341512702402
bike-packing:00000:00012:gap12,bike-packing,0,12,12,topk_keep0p05_q6,0.05,11,895289,175638.0,22.99983919159164,2.6860866809503756,252.99823110750805
bike-packing:00000:00012:gap12,bike-packing,0,12,12,topk_keep0p1_q6,0.1,11,1050851,331200.0,24.369258148364533,4.0555056377232654,268.0618396320099
bike-packing:00000:00012:gap12,bike-packing,0,12,12,topk_keep0p2_q6,0.2,11,1334404,614753.0,25.671059963100102,5.357307452458835,282.3816595941011
bike-packing:00012:00024:gap12,bike-packing,12,24,12,topk_keep0p05_q6,0.05,11,897167,177514.0,21.861006540073593,2.906703036285729,240.4710719408095
bike-packing:00012:00024:gap12,bike-packing,12,24,12,topk_keep0p1_q6,0.1,11,1058594,338941.0,23.35008941863531,4.395785914847446,256.8509836049884
bike-packing:00012:00024:gap12,bike-packing,12,24,12,topk_keep0p2_q6,0.2,11,1354095,634442.0,25.133369963513033,6.179066459725175,276.4670695986434
