edge_id,sequence,left_index,right_index,reference_gap,setting_label,keep_fraction,target_count,cost_bytes,residual_payload_bytes,mean_corrected_psnr,mean_delta_psnr_vs_base,score_sum_psnr
bike-packing:00000:00004:gap4,bike-packing,0,4,4,topk_keep0p05_q6,0.05,3,766515,46862.0,25.5331985411318,1.6332037021592807,76.5995956233954
bike-packing:00000:00004:gap4,bike-packing,0,4,4,topk_keep0p1_q6,0.1,3,806313,86660.0,25.936249137946618,2.036254298974098,77.80874741383985
bike-packing:00000:00004:gap4,bike-packing,0,4,4,topk_keep0p2_q6,0.2,3,874257,154604.0,26.160188557917536,2.260193718945017,78.48056567375261
bike-packing:00004:00008:gap4,bike-packing,4,8,4,topk_keep0p05_q6,0.05,3,767258,47610.0,24.84332690824679,2.7301120439637194,74.52998072474037
bike-packing:00004:00008:gap4,bike-packing,4,8,4,topk_keep0p1_q6,0.1,3,808927,89279.0,25.836689914021147,3.7234750497380737,77.51006974206344
bike-packing:00004:00008:gap4,bike-packing,4,8,4,topk_keep0p2_q6,0.2,3,883080,163432.0,26.449643269019802,4.336428404736729,79.3489298070594
bike-packing:00008:00012:gap4,bike-packing,8,12,4,topk_keep0p05_q6,0.05,3,767889,48238.0,23.004381333694724,2.920815335099789,69.01314400108417
bike-packing:00008:00012:gap4,bike-packing,8,12,4,topk_keep0p1_q6,0.1,3,811380,91729.0,24.409926469313294,4.326360470718359,73.22977940793989
bike-packing:00008:00012:gap4,bike-packing,8,12,4,topk_keep0p2_q6,0.2,3,890627,170976.0,25.7365447164476,5.652978717852668,77.2096341493428
bike-packing:00012:00016:gap4,bike-packing,12,16,4,topk_keep0p05_q6,0.05,3,767903,48255.0,23.990820266966427,2.934060864209742,71.97246080089928
bike-packing:00012:00016:gap4,bike-packing,12,16,4,topk_keep0p1_q6,0.1,3,810521,90873.0,25.256215449036343,4.199456046279654,75.76864634710903
bike-packing:00012:00016:gap4,bike-packing,12,16,4,topk_keep0p2_q6,0.2,3,888364,168716.0,26.352011830039146,5.295252427282461,79.05603549011744
bike-packing:00016:00020:gap4,bike-packing,16,20,4,topk_keep0p05_q6,0.05,3,767725,48072.0,23.099057155019977,3.6081094516482204,69.29717146505993
bike-packing:00016:00020:gap4,bike-packing,16,20,4,topk_keep0p1_q6,0.1,3,810663,91010.0,24.780074349695482,5.289126646323727,74.34022304908645
bike-packing:00016:00020:gap4,bike-packing,16,20,4,topk_keep0p2_q6,0.2,3,888921,169268.0,26.505365152048075,7.014417448676322,79.51609545614423
bike-packing:00020:00024:gap4,bike-packing,20,24,4,topk_keep0p05_q6,0.05,3,767771,48118.0,22.444377584233347,2.8196292224287163,67.33313275270004
bike-packing:00020:00024:gap4,bike-packing,20,24,4,topk_keep0p1_q6,0.1,3,810729,91076.0,23.789601191495347,4.164852829690713,71.36880357448604
bike-packing:00020:00024:gap4,bike-packing,20,24,4,topk_keep0p2_q6,0.2,3,889363,169710.0,24.983829583487378,5.359081221682749,74.95148875046213
parkour:00000:00004:gap4,parkour,0,4,4,topk_keep0p05_q6,0.05,3,767375,47725.0,22.13733288690922,1.8196983754995841,66.41199866072766
parkour:00000:00004:gap4,parkour,0,4,4,topk_keep0p1_q6,0.1,3,810230,90580.0,23.355287366003893,3.0376528545942576,70.06586209801168
parkour:00000:00004:gap4,parkour,0,4,4,topk_keep0p2_q6,0.2,3,889395,169745.0,25.189351093589153,4.871716582179519,75.56805328076746
parkour:00004:00008:gap4,parkour,4,8,4,topk_keep0p05_q6,0.05,3,767484,47837.0,21.62470940647123,1.7677279217445871,64.87412821941369
parkour:00004:00008:gap4,parkour,4,8,4,topk_keep0p1_q6,0.1,3,810685,91038.0,22.89681374400101,3.039832259274372,68.69044123200304
parkour:00004:00008:gap4,parkour,4,8,4,topk_keep0p2_q6,0.2,3,890582,170935.0,24.895935569999054,5.038954085272412,74.68780670999716
parkour:00008:00012:gap4,parkour,8,12,4,topk_keep0p05_q6,0.05,3,767339,47700.0,21.018639461715388,1.8790199528334088,63.055918385146164
parkour:00008:00012:gap4,parkour,8,12,4,topk_keep0p1_q6,0.1,3,810576,90937.0,22.413196094008935,3.2735765851269547,67.2395882820268
