step,sample,frame_gap,target_frame_index,normalized_time,rgb_mse,rgb_psnr
1,n3dv,4,1,0.25,0.0014225206105038524,28.469414325158453
2,n3dv,4,2,0.5,0.001482838881202042,28.28906034950193
3,n3dv,4,3,0.75,0.0010877109598368406,29.634864954695846
4,meetroom,4,1,0.25,0.0009992008563131094,30.003472024442704
5,meetroom,4,2,0.5,0.0015559722669422626,28.07998147976971
6,meetroom,4,3,0.75,0.0012458802666515112,29.045236928543247
7,driving,4,1,0.25,0.006180881522595882,22.089495810443147
8,driving,4,2,0.5,0.005390245467424393,22.683914569430375
9,driving,4,3,0.75,0.004176656249910593,23.791712668728366
10,n3dv,4,5,0.25,0.0011179607827216387,29.515734309275174
11,n3dv,4,6,0.5,0.0011329009430482984,29.458080616884285
12,n3dv,4,7,0.75,0.0009512535179965198,30.217037240782428
13,meetroom,4,5,0.25,0.0013559919316321611,28.677428945825657
14,meetroom,4,6,0.5,0.0015719067305326462,28.035732265006228
15,meetroom,4,7,0.75,0.0011502854758873582,29.391943638058006
16,driving,4,5,0.25,0.002838867250829935,25.468549151810684
17,driving,4,6,0.5,0.0044889869168400764,23.478516603485012
18,driving,4,7,0.75,0.002520150039345026,25.98573602345496
19,n3dv,4,9,0.25,0.0009248899878002703,30.339099218908707
20,n3dv,4,10,0.5,0.0009596993331797421,30.17864806953508
21,n3dv,4,11,0.75,0.0009029936627484858,30.443152975746678
22,meetroom,4,9,0.25,0.0011111180065199733,29.542398142734704
23,meetroom,4,10,0.5,0.0013125136028975248,28.81896186868505
24,meetroom,4,11,0.75,0.0010075891623273492,29.96716512439051
