step,sample,frame_gap,target_frame_index,normalized_time,rgb_mse,rgb_psnr
1,n3dv,2,1,0.5,0.0012247831327840686,29.119408031958542
2,meetroom,2,1,0.5,0.0009087758371606469,30.415432286481344
3,driving,2,1,0.5,0.0035346548538655043,24.516529870664527
4,n3dv,2,3,0.5,0.0010205336147919297,29.911726857267315
5,meetroom,2,3,0.5,0.001050935941748321,29.78423754945188
6,driving,2,3,0.5,0.003359475638717413,24.737285038550798
7,n3dv,4,1,0.25,0.0014188422355800867,28.480658920873516
8,n3dv,4,3,0.75,0.001084626535885036,29.64719774557149
9,meetroom,4,1,0.25,0.0009966082870960236,30.014755058614195
10,meetroom,4,3,0.75,0.0012440214632079005,29.05172126661001
11,driving,4,1,0.25,0.0061797876842319965,22.090264454856843
12,driving,4,3,0.75,0.004174785688519478,23.79365813996506
13,n3dv,4,5,0.25,0.0011164045426994562,29.521784050163582
14,n3dv,4,7,0.75,0.0009503139881417155,30.221328780929284
15,meetroom,4,5,0.25,0.0013552727177739143,28.679733041202986
16,meetroom,4,7,0.75,0.0011500617256388068,29.39278849746455
17,driving,4,5,0.25,0.002838860498741269,25.468559481276905
18,driving,4,7,0.75,0.0025208797305822372,25.98447873716827
19,n3dv,8,1,0.125,0.0015095692360773683,28.211469633584798
20,n3dv,8,7,0.875,0.0009313522605225444,30.308860270034454
21,meetroom,8,1,0.125,0.0009998376481235027,30.000705142483042
22,meetroom,8,7,0.875,0.0011406061239540577,29.42864301002434
23,driving,8,1,0.125,0.00740843964740634,21.30273252733119
24,driving,8,7,0.875,0.002431206637993455,26.141781271597715
25,n3dv,8,9,0.125,0.0009456883417442441,30.242519648257744
26,n3dv,8,15,0.875,0.000884543580468744,30.532807650257826
27,meetroom,8,9,0.125,0.0012232012813910842,29.125020726408756
28,meetroom,8,15,0.875,0.0009103302145376801,30.40801042472345
29,driving,8,9,0.125,0.005162823013961315,22.871127626880945
30,driving,8,15,0.875,0.0032801833003759384,24.841018867402987
31,n3dv,16,1,0.0625,0.001555280527099967,28.08191265554525
32,n3dv,16,15,0.9375,0.0008946569869294763,30.483434420444553
33,meetroom,16,1,0.0625,0.0009795395890250802,30.089780068895713
34,meetroom,16,15,0.9375,0.0009058899013325572,30.429245817373875
35,driving,16,1,0.0625,0.00786046963185072,21.045515058144957
36,driving,16,15,0.9375,0.0034073542337864637,24.67582714162773
37,n3dv,16,17,0.0625,0.0009106114157475531,30.406669095241035
38,n3dv,16,31,0.9375,0.000880177307408303,30.554298325401682
39,meetroom,16,17,0.0625,0.0011726653901860118,29.308258923402377
40,meetroom,16,31,0.9375,0.001086672069504857,29.639014953722942
41,driving,16,17,0.0625,0.0016096578910946846,27.932664170100658
42,driving,16,31,0.9375,0.0013179172528907657,28.801118566168746
43,n3dv,2,1,0.5,0.0012046305928379297,29.191461116685204
44,meetroom,2,1,0.5,0.0008947911555878818,30.482783172646815
45,driving,2,1,0.5,0.0035060790833085775,24.55178292162026
46,n3dv,2,3,0.5,0.0010008501121774316,29.996309578137552
47,meetroom,2,3,0.5,0.0010375460842624307,29.839926043060963
48,driving,2,3,0.5,0.003331336658447981,24.773814761295373
49,n3dv,4,1,0.25,0.0013992154272273183,28.541154151340397
50,n3dv,4,3,0.75,0.001066646189428866,29.719796138092054
51,meetroom,4,1,0.25,0.000982954865321517,30.07466423359961
52,meetroom,4,3,0.75,0.001230851630680263,29.09794294640016
53,driving,4,1,0.25,0.006173128727823496,22.09494666625875
54,driving,4,3,0.75,0.004146759398281574,23.822911623765144
55,n3dv,4,5,0.25,0.0010976765770465136,29.595256029596055
56,n3dv,4,7,0.75,0.000933360424824059,30.299506174694002
57,meetroom,4,5,0.25,0.00134235096629709,28.72133920233739
58,meetroom,4,7,0.75,0.0011405121767893434,29.429000735752425
59,driving,4,5,0.25,0.002816199092194438,25.50336645842057
60,driving,4,7,0.75,0.002496213186532259,26.027183269299705
61,n3dv,8,1,0.125,0.0014924617717042565,28.260967841855415
62,n3dv,8,7,0.875,0.0009153381688520312,30.384184275361072
63,meetroom,8,1,0.125,0.0009878952987492085,30.05289081308115
64,meetroom,8,7,0.875,0.0011321757920086384,29.46086135363334
65,driving,8,1,0.125,0.0074075874872505665,21.30323210586246
66,driving,8,7,0.875,0.002403711201623082,26.191177126575674
67,n3dv,8,9,0.125,0.0009306597639806569,30.31209061910618
68,n3dv,8,15,0.875,0.0008703210623934865,30.60320506112764
