step,sample,frame_gap,target_frame_index,normalized_time,rgb_mse,rgb_psnr
1,driving,2,3,0.5,0.003364031435921788,24.7313995449613
2,driving,4,7,0.75,0.0025322893634438515,25.964866692050016
3,n3dv,4,3,0.75,0.0010877881431952119,29.634556792705776
4,driving,8,7,0.875,0.0024475837126374245,26.112624454636332
5,n3dv,4,1,0.25,0.00142007099930197,28.47689941649174
6,driving,2,5,0.5,0.0032544471323490143,24.87522779066201
7,n3dv,4,13,0.25,0.0009343039710074663,30.29511805296666
8,driving,8,15,0.875,0.0032924909610301256,24.8247540864564
9,driving,16,1,0.0625,0.007859528064727783,21.046035309374275
10,meetroom,16,15,0.9375,0.0009157563326880336,30.38220069396195
11,driving,4,13,0.25,0.003838517004624009,24.158365311290318
12,meetroom,8,25,0.125,0.0014154514065012336,28.49105035695291
13,meetroom,16,47,0.9375,0.0010745814070105553,29.687606781006348
14,n3dv,16,15,0.9375,0.0009045049664564431,30.43589044173204
15,n3dv,16,47,0.9375,0.0010529006831347942,29.77612592537918
16,meetroom,4,3,0.75,0.0012437336845323443,29.0527260334294
17,meetroom,8,31,0.875,0.0011473401682451367,29.403078015500512
18,driving,4,3,0.75,0.0041746352799236774,23.793814609793188
19,meetroom,2,3,0.5,0.0010469352127984166,29.800801928146786
20,meetroom,2,5,0.5,0.0010474564041942358,29.798640435997413
21,driving,4,9,0.25,0.004891080316156149,23.105952055947814
22,meetroom,4,1,0.25,0.0009933916153386235,30.02879509961428
23,n3dv,4,5,0.25,0.00111323909368366,29.53411550924973
24,meetroom,16,33,0.0625,0.0011925341095775366,29.23529190158332
25,meetroom,8,1,0.125,0.0010004312498494983,29.99812750942704
26,n3dv,4,15,0.75,0.000893404008820653,30.489521031236578
27,meetroom,4,15,0.75,0.0008789513958618045,30.560351398211463
28,n3dv,8,1,0.125,0.0015083893667906523,28.214865377623216
29,driving,8,17,0.125,0.0016073030419647694,27.93902233351504
30,meetroom,4,13,0.25,0.0010055698221549392,29.975877686039652
31,n3dv,8,31,0.875,0.0008844372350722551,30.533329817807875
32,n3dv,4,11,0.75,0.0009017560514621437,30.449109345568154
33,n3dv,16,33,0.0625,0.0009432260412722826,30.253842174287318
34,n3dv,8,9,0.125,0.0009451951482333243,30.244785163042714
35,meetroom,4,11,0.75,0.001006805570796132,29.970543901048764
36,n3dv,16,31,0.9375,0.0008836387423798442,30.537252511155366
37,meetroom,4,9,0.25,0.0011091816704720259,29.549973158689944
38,driving,4,15,0.75,0.003004509024322033,25.22226487204953
39,n3dv,8,17,0.125,0.0009046114282682538,30.435379299634263
40,driving,16,47,0.9375,0.0021241905633360147,26.728065248349644
41,n3dv,2,7,0.5,0.0009015718824230134,30.4499964121544
42,driving,16,17,0.0625,0.0016115051694214344,27.927682970100996
43,meetroom,16,1,0.0625,0.0009791606571525335,30.091460448766384
44,meetroom,16,31,0.9375,0.0010879281908273697,29.633997694876868
45,n3dv,16,17,0.0625,0.0009109050151892006,30.40526906813904
46,driving,4,1,0.25,0.006175875663757324,22.093014560479123
47,driving,8,31,0.875,0.0013314748648554087,28.756670276160516
48,meetroom,8,9,0.125,0.0012197175528854132,29.137407262308635
49,meetroom,4,5,0.25,0.0013466826640069485,28.707347305630098
50,n3dv,8,7,0.875,0.000923361221794039,30.34628368375412
51,meetroom,2,7,0.5,0.0009773744968697429,30.099389974269847
52,meetroom,8,17,0.125,0.0011594785610213876,29.357372771391358
53,driving,8,25,0.125,0.0027640776243060827,25.58449764722434
54,meetroom,8,23,0.875,0.001573817920871079,28.03045513740002
55,meetroom,2,1,0.5,0.000894796394277364,30.482757746297207
56,n3dv,4,9,0.25,0.0009146568481810391,30.387418096423268
57,n3dv,2,1,0.5,0.0012037013657391071,29.194812467150342
58,meetroom,8,7,0.875,0.0011354087619110942,29.448477586618154
59,meetroom,16,17,0.0625,0.0011710195103660226,29.314358690833014
60,driving,2,7,0.5,0.0024467806797474623,26.114049574337553
61,driving,16,31,0.9375,0.0013141474919393659,28.813558894636895
62,driving,8,9,0.125,0.0051614404655992985,22.87229077644482
63,driving,8,1,0.125,0.00740805035457015,21.302960742962043
64,driving,16,49,0.0625,0.002068058354780078,26.844372108385297
65,n3dv,8,25,0.125,0.0008615708211436868,30.647090177310453
66,driving,4,11,0.75,0.005129334516823292,22.899389768802255
67,n3dv,4,7,0.75,0.0009342404082417488,30.295413523159638
68,meetroom,16,49,0.0625,0.0012363638961687684,29.07853685526893
69,meetroom,16,63,0.9375,0.0015950723318383098,27.972196181829865
70,driving,16,33,0.0625,0.0021477334666997194,26.680196154882076
71,driving,2,1,0.5,0.003500586375594139,24.558592018340324
72,n3dv,8,15,0.875,0.0008736229501664639,30.58675965527921
73,n3dv,2,3,0.5,0.0009963094489648938,30.016057508283403
74,n3dv,16,63,0.9375,0.0009679487557150424,30.141476341164832
75,driving,4,5,0.25,0.0028166009578853846,25.50274677353636
76,n3dv,8,23,0.875,0.000861273321788758,30.648590049832634
77,meetroom,8,15,0.875,0.0009011569782160223,30.45199549936857
78,n3dv,2,5,0.5,0.0009849488269537687,30.065863326992606
79,meetroom,4,7,0.75,0.0011396678164601326,29.43221715769772
80,driving,16,63,0.9375,0.0021662581712007523,26.642897861011292
81,driving,8,23,0.875,0.00297365034930408,25.267100984553057
82,driving,16,15,0.9375,0.003393962513655424,24.692929587780668
83,n3dv,16,1,0.0625,0.0015423726290464401,28.118106903652386
84,n3dv,16,49,0.0625,0.0009819994447752833,30.078887577640675
85,driving,8,9,0.125,0.0051576318219304085,22.875496632471318
86,driving,4,7,0.75,0.0024924161843955517,26.033794373358845
87,driving,2,1,0.5,0.0034928966779261827,24.568142608754325
88,driving,4,1,0.25,0.006173302419483662,22.094824471709302
89,meetroom,2,5,0.5,0.0010338921565562487,29.855247593611534
90,meetroom,4,7,0.75,0.001138227293267846,29.437710047639758
91,n3dv,4,13,0.25,0.0009108821977861226,30.405377856609817
92,driving,4,5,0.25,0.002809955971315503,25.513004849221538
93,n3dv,2,7,0.5,0.0008883135742507875,30.514337014200596
94,n3dv,8,9,0.125,0.000928595953155309,30.32173213332076
95,driving,8,1,0.125,0.007408777717500925,21.302534349801654
96,driving,16,49,0.0625,0.0020610804203897715,26.859050623449416
97,n3dv,4,7,0.75,0.000927733548451215,30.325767382782416
98,n3dv,8,17,0.125,0.0008922620327211916,30.495075865954128
99,meetroom,2,3,0.5,0.0010315014515072107,29.865301565603126
