sample,frame_gap,estimated_q8_static_mib_per_frame,total_frames,keyframe_count,middle_count,linear_all_psnr,adapter_all_psnr,delta_all_psnr,linear_middle_psnr,adapter_middle_psnr,delta_middle_psnr,linear_given_psnr,adapter_given_psnr,delta_given_psnr,linear_all_ssim,adapter_all_ssim,linear_middle_ssim,adapter_middle_ssim
n3dv,2,0.23133680555555555,81,41,40,30.508679074632155,30.629691480620625,0.12101240598846985,30.42136042860855,30.666410550735208,0.24505012212665633,30.59386799758202,30.59386799758202,0.0,0.9027119484948524,0.9089876435421131,0.9016240507364273,0.9143323332071305
n3dv,4,0.11848958333333333,81,21,60,30.262746842193057,30.433338876385193,0.1705920341921363,30.151122621306758,30.381421867466152,0.2302992461593938,30.58167318758247,30.58167318758247,0.0,0.8998951654375336,0.9092782662238603,0.8986019253730774,0.9112691114346186
n3dv,8,0.062065972222222224,81,11,70,29.760235986151162,29.943230340797292,0.18299435464613012,29.630924284776412,29.842674895152655,0.21175061037624232,30.58312863126316,30.58312863126316,0.0,0.8947301028687277,0.9056822458902994,0.893331162418638,0.9060043564864567
n3dv,16,0.033854166666666664,81,6,75,28.97164461220008,29.1339733410253,0.16232872882521932,28.843296950587646,29.01861197771889,0.17531502713124425,30.575990382355414,30.575990382355414,0.0,0.8866400174152704,0.8983208662197913,0.8852978642781576,0.8979131809870402
meetroom,2,0.23133680555555555,81,41,40,30.80944977044778,30.89567366591625,0.08622389546846776,30.111075582584174,30.285678970907828,0.17460338832365352,31.490790441534234,31.490790441534234,0.0,0.9089541435241699,0.9175809393694372,0.9029430076479912,0.9204122692346572
meetroom,4,0.11848958333333333,81,21,60,29.545271806231266,29.645102902246254,0.09983109601498796,28.87550156728862,29.010273546908863,0.13477197962024334,31.4589010603531,31.4589010603531,0.0,0.8983131845792135,0.9111717078420851,0.8927158534526825,0.9100748598575592
meetroom,8,0.062065972222222224,81,11,70,27.836690878644642,27.92265173617625,0.08596085753160665,27.2662964291608,27.365765421447374,0.09946899228657458,31.466473738996346,31.466473738996346,0.0,0.8845076340216177,0.8993902250572487,0.8798252837998527,0.8970465677125113
meetroom,16,0.033854166666666664,81,6,75,25.93109917220034,25.99195815088074,0.060858978680400355,25.488520285000458,25.554247981975298,0.06572769697483949,31.46333526219885,31.46333526219885,0.0,0.8686569156470122,0.8843558651429636,0.8649849319458007,0.8819397974014282
driving,2,0.23133680555555555,81,41,40,30.21224053846697,30.31535222026487,0.10311168179790187,27.905598030393833,28.114399186034586,0.20880115564075297,32.46262347317247,32.46262347317247,0.0,0.83679524174443,0.8423746161990695,0.7781873360276222,0.7894855692982674
driving,4,0.11848958333333333,81,21,60,27.918186053702325,28.023854321394463,0.10566826769213833,26.337118289805513,26.479770451189903,0.1426521613843903,32.43552252197891,32.43552252197891,0.0,0.7710229254063264,0.7790667841463913,0.7283047705888748,0.7391639798879623
driving,8,0.062065972222222224,81,11,70,25.72229271347723,25.80106948112563,0.07877676764839947,24.672483535818916,24.763639509812062,0.09115597399314623,32.40289657130288,32.40289657130288,0.0,0.7012455529636807,0.7101026280426684,0.6711270715509142,0.681375972713743
driving,16,0.033854166666666664,81,6,75,23.768742135243652,23.815281085037995,0.0465389497943427,23.079596781403634,23.129858847181524,0.05026206577788983,32.38305905824392,32.38305905824392,0.0,0.6309826741983862,0.6395639839731617,0.6100991384188335,0.6193669529755911
robot,2,0.2314833603896104,77,39,38,27.92403842939931,27.958972736839325,0.03493430744001458,23.942222105388915,24.013010044148956,0.07078793876004141,31.803756898947903,31.803756898947903,0.0,0.8366177205915575,0.8440160085628559,0.7829072083297529,0.7978984760610681
robot,4,0.11870941558441558,77,20,57,25.154367560029165,25.19099172008088,0.03662416005171565,22.824303007556022,22.873777750082017,0.049474742525994486,31.79505153457764,31.79505153457764,0.0,0.7914328977659151,0.8025607621514952,0.7572286672759474,0.7722610454810294
robot,8,0.06529017857142858,77,11,66,22.962147586893312,22.98273588905873,0.02058830216541807,21.48821990655111,21.512239592410758,0.024019685859649087,31.805713668946552,31.805713668946552,0.0,0.7515525639831245,0.7635477703887147,0.7284961604710781,0.7424905679442666
robot,16,0.03561282467532467,77,6,71,21.422466563553254,21.425733270204347,0.0032667066510931875,20.550232700200223,20.553775466568315,0.003542766368092032,31.743900613230764,31.743900613230764,0.0,0.7221683859825134,0.7349900881965439,0.7080350165635767,0.7219402429083703
