step,sample,frame_gap,target_frame_index,normalized_time,rgb_mse,rgb_psnr
1,meetroom,16,49,0.0625,0.0012456580298021436,29.046011680733486
2,meetroom,4,11,0.75,0.0010168658336624503,29.927363445638203
3,n3dv,16,33,0.0625,0.0009553682175464928,30.19829210586441
4,meetroom,4,7,0.75,0.0011546033201739192,29.375671979796543
5,meetroom,4,15,0.75,0.0008843178511597216,30.533916080710224
6,n3dv,16,1,0.0625,0.0015689291758462787,28.043966607683103
7,n3dv,16,17,0.0625,0.0009239688515663147,30.343426692786867
8,n3dv,16,49,0.0625,0.0010054175509139895,29.97653537848177
9,meetroom,4,9,0.25,0.0011169834760949016,29.51953251498432
10,robot,4,11,0.75,0.011291052214801311,19.472655842230637
11,n3dv,8,15,0.875,0.000893035379704088,30.491313351698093
12,n3dv,8,23,0.875,0.0008804640965536237,30.552883489375404
13,robot,16,33,0.0625,0.00507487403228879,22.945747332691013
14,robot,16,75,0.9166666666666666,0.010052710771560669,19.97716812433843
15,meetroom,8,7,0.875,0.001143746543675661,29.41670205331927
16,n3dv,4,9,0.25,0.0009284515981562436,30.322407318828116
17,meetroom,8,9,0.125,0.0012277384521439672,29.108941420619573
18,robot,2,7,0.5,0.005515790544450283,22.58392233996655
19,meetroom,2,1,0.5,0.0009034042013809085,30.441178940355258
20,n3dv,16,47,0.9375,0.0010526892729103565,29.776998025798697
21,n3dv,4,5,0.25,0.0011150271166116,29.527145707758336
22,robot,16,31,0.9375,0.005926659796386957,22.271900015263498
23,n3dv,4,1,0.25,0.0014131759526208043,28.498037613680623
24,n3dv,16,15,0.9375,0.0009012932423502207,30.451338851423447
25,meetroom,16,33,0.0625,0.0011909222230315208,29.241166005753243
26,robot,16,17,0.0625,0.0057976506650447845,22.36747956420489
27,meetroom,4,13,0.25,0.001005247118882835,29.977271629453494
28,robot,8,75,0.75,0.009682937525212765,20.139928702269707
29,meetroom,8,25,0.125,0.0014132296200841665,28.49787268700893
30,n3dv,4,3,0.75,0.0010776229901239276,29.675331519013902
31,meetroom,16,1,0.0625,0.0009833677904680371,30.072840208283303
32,n3dv,8,31,0.875,0.0008844367694109678,30.533332104393878
33,robot,4,7,0.75,0.009156083688139915,20.3829024645498
34,n3dv,8,1,0.125,0.0015060631558299065,28.22156815882113
35,n3dv,4,11,0.75,0.0009005271131172776,30.455032068866945
36,n3dv,8,17,0.125,0.000906367611605674,30.42695622068149
37,meetroom,16,15,0.9375,0.0009066908969543874,30.425407445020348
38,meetroom,2,5,0.5,0.0010430495021864772,29.816950798608413
39,robot,16,65,0.08333333333333333,0.0021492287050932646,26.67717367628583
40,n3dv,2,1,0.5,0.0012094874400645494,29.173986372144466
41,n3dv,16,31,0.9375,0.00088295410387218,30.54061870548241
42,robot,2,5,0.5,0.0032342527993023396,24.902260372894865
43,robot,8,1,0.125,0.009088205173611641,20.415218769717953
44,robot,4,1,0.25,0.008054858073592186,20.93942107435797
45,meetroom,4,3,0.75,0.001234501600265503,29.085083427624035
46,robot,2,1,0.5,0.006300864275544882,22.00599875251841
47,n3dv,4,15,0.75,0.0008875042549334466,30.51829556143643
48,meetroom,8,15,0.875,0.0009064320474863052,30.42664748113307
49,meetroom,16,17,0.0625,0.001171771204099059,29.31157178844753
50,meetroom,8,31,0.875,0.0011395516339689493,29.4326599181774
51,n3dv,2,5,0.5,0.0009934905683621764,30.02836251480895
52,meetroom,16,31,0.9375,0.0010873107239603996,29.63646328574565
53,n3dv,4,13,0.25,0.0009209171403199434,30.357794437669657
54,robot,4,5,0.25,0.0046228813007473946,23.350872575660766
55,meetroom,8,1,0.125,0.000993714900687337,30.027381979148586
56,meetroom,8,17,0.125,0.0011579598067328334,29.363065148893117
57,robot,8,73,0.25,0.002127396408468485,26.72151578282549
58,meetroom,2,3,0.5,0.0010371076641604304,29.841761563171566
59,robot,8,9,0.125,0.009184174239635468,20.36959885552112
60,n3dv,8,9,0.125,0.0009363260469399393,30.2857289514011
61,meetroom,2,7,0.5,0.0009742396068759263,30.113342185355396
62,robot,8,15,0.875,0.004585732705891132,23.38591263112324
63,robot,4,13,0.25,0.006111740134656429,22.138351198256952
64,robot,2,3,0.5,0.006583050359040499,21.815728226278438
65,robot,8,23,0.875,0.013934517279267311,18.559080715564683
66,meetroom,16,63,0.9375,0.0015959939919412136,27.969687478673002
67,n3dv,16,63,0.9375,0.0009717089124023914,30.12463813952852
68,robot,8,7,0.875,0.012359092012047768,19.080134344771583
69,n3dv,4,7,0.75,0.0009356680093333125,30.28878218880061
70,n3dv,2,3,0.5,0.0009983538184314966,30.007155166683035
