step,sample,frame_gap,target_frame_index,normalized_time,rgb_mse,rgb_psnr
1,n3dv,8,25,0.125,0.0008838842622935772,30.536045987176486
2,n3dv,2,3,0.5,0.001024609082378447,29.894417987530993
3,driving,2,1,0.5,0.0035361014306545258,24.514752860396865
4,driving,2,3,0.5,0.0033637869637459517,24.731715168572652
5,n3dv,4,7,0.75,0.0009596170857548714,30.179020281250057
6,robot,4,11,0.75,0.011288600042462349,19.473599138351886
7,n3dv,2,1,0.5,0.001225815387442708,29.11574931328243
8,n3dv,16,1,0.0625,0.0015722127864137292,28.034886760374413
9,robot,4,1,0.25,0.008050331845879555,20.94186217040342
10,robot,16,1,0.0625,0.009709108620882034,20.12820640205505
11,n3dv,4,13,0.25,0.0009380540577694774,30.277721335670826
12,n3dv,4,1,0.25,0.0014220346929505467,28.470898081258092
13,n3dv,4,3,0.75,0.0010890428675338626,29.629550249577278
14,robot,4,15,0.75,0.00424408633261919,23.722157903223525
15,driving,4,11,0.75,0.00514457281678915,22.886506813512177
16,driving,2,7,0.5,0.0024680125061422586,26.076526439358737
17,n3dv,16,63,0.9375,0.0009914783295243979,30.037167736128133
18,robot,16,65,0.08333333333333333,0.002162860706448555,26.64971449293553
19,driving,16,15,0.9375,0.0034192590974271297,24.6606798890231
20,n3dv,4,11,0.75,0.0009119293536059558,30.4003880479384
21,driving,8,1,0.125,0.007417842745780945,21.297223777158866
22,driving,16,1,0.0625,0.007866280153393745,21.042305904833057
23,n3dv,8,23,0.875,0.0008822928066365421,30.54387261576613
24,n3dv,4,5,0.25,0.0011191919911652803,29.510954062763876
25,robot,8,9,0.125,0.009180689230561256,20.37124713374648
26,robot,4,3,0.75,0.0068778689019382,21.625461064592567
27,n3dv,16,33,0.0625,0.0009505926864221692,30.220055313611777
28,driving,16,63,0.9375,0.0021897347178310156,26.596084959181585
29,driving,8,17,0.125,0.0016083985101431608,27.936063378551896
30,driving,16,31,0.9375,0.001334375818260014,28.74721836978667
31,n3dv,16,47,0.9375,0.0010535940527915955,29.773266894956674
32,robot,8,15,0.875,0.004595079924911261,23.377069302743763
33,robot,4,13,0.25,0.006116996053606272,22.134617996881666
34,driving,2,5,0.5,0.0032450975850224495,24.887722387713055
35,driving,4,1,0.25,0.006183727644383907,22.087496467006563
36,robot,4,7,0.75,0.009156369604170322,20.382766850001246
37,robot,8,17,0.125,0.005612176842987537,22.50868652553941
38,robot,2,5,0.5,0.0032349179964512587,24.90136724003041
39,n3dv,4,9,0.25,0.0009272698662243783,30.327938533898077
40,robot,2,7,0.5,0.00551041541621089,22.58815659557022
41,n3dv,8,17,0.125,0.0009112874395214021,30.403446156632302
42,n3dv,16,15,0.9375,0.0009022923768498003,30.44652711817813
43,n3dv,8,15,0.875,0.0008880668319761753,30.515543499124995
44,robot,16,31,0.9375,0.005923112388700247,22.274500267159247
45,robot,8,1,0.125,0.00908687710762024,20.41585345375819
46,driving,8,9,0.125,0.005163318943232298,22.87071047331699
47,robot,8,73,0.25,0.0021335347555577755,26.70900278033629
48,robot,16,47,0.9375,0.002470661886036396,26.071866844141496
49,driving,4,13,0.25,0.003837795229628682,24.159182013084113
50,driving,4,5,0.25,0.002833340549841523,25.47701222857478
51,n3dv,16,17,0.0625,0.000916980323381722,30.376399833467996
52,n3dv,8,7,0.875,0.000930554757360369,30.312580662519014
53,driving,8,23,0.875,0.0029865684919059277,25.24827520992009
54,robot,8,75,0.75,0.00968223251402378,20.140244922027723
55,n3dv,2,7,0.5,0.0009046353516168892,30.435264447659208
56,driving,16,33,0.0625,0.0021585847716778517,26.658308911128845
57,driving,16,47,0.9375,0.0021214745938777924,26.73362164842333
58,driving,4,15,0.75,0.0030002130661159754,25.228479018961217
59,robot,16,15,0.9375,0.004604316782206297,23.368348040623733
60,n3dv,8,1,0.125,0.0015048285713419318,28.225129716719618
61,robot,4,5,0.25,0.004621079191565514,23.35256588900637
62,robot,4,9,0.25,0.009086286649107933,20.41613566424967
63,robot,8,7,0.875,0.012361225672066212,19.079384648277866
64,driving,8,7,0.875,0.002422802150249481,26.156820495699584
65,robot,2,1,0.5,0.00629980256780982,22.006730608724993
66,robot,16,17,0.0625,0.005788110196590424,22.374632091847253
67,driving,8,31,0.875,0.0013290565693750978,28.76456533545909
68,robot,8,23,0.875,0.013939601369202137,18.557496455802767
69,driving,4,3,0.75,0.0041580284014344215,23.81112548543722
70,n3dv,4,15,0.75,0.0008885152055881917,30.513351355046684
71,driving,4,9,0.25,0.004883679561316967,23.112528396733715
72,robot,16,33,0.0625,0.005062595475465059,22.95626773342383
73,n3dv,2,5,0.5,0.0009948996594175696,30.02220717805715
74,robot,2,3,0.5,0.006585827562958002,21.813896446286982
75,driving,8,25,0.125,0.002766137244179845,25.581262758133697
76,n3dv,16,31,0.9375,0.0008821124793030322,30.54476033886214
77,n3dv,8,31,0.875,0.0008807003614492714,30.551718254174382
78,robot,16,75,0.9166666666666666,0.010058249346911907,19.9747760229576
79,driving,16,17,0.0625,0.001611401909030974,27.927961261821483
80,driving,16,49,0.0625,0.0020692110992968082,26.841952006909327
81,driving,8,15,0.875,0.003270394867286086,24.85399807483369
82,n3dv,16,49,0.0625,0.0009909041691571474,30.039683443226664
83,n3dv,8,9,0.125,0.000937598932068795,30.27982895989907
84,driving,4,7,0.75,0.0025054034776985645,26.01122324077108
85,robot,16,1,0.0625,0.009726304560899734,20.120521354415757
86,driving,8,9,0.125,0.005159545689821243,22.87388537343721
87,n3dv,16,31,0.9375,0.000880404666531831,30.553176641608832
88,n3dv,2,3,0.5,0.0010012449929490685,29.994596427329515
89,robot,4,15,0.75,0.004221742507070303,23.745082587518898
90,driving,16,47,0.9375,0.0021135122515261173,26.749952303262017
91,n3dv,4,13,0.25,0.0009187782998196781,30.36789270747215
92,driving,2,7,0.5,0.0024483883753418922,26.11119691146733
93,robot,8,9,0.125,0.009182490408420563,20.370395166251622
