step,sample,frame_gap,target_frame_index,normalized_time,rgb_mse,rgb_psnr
1,meetroom,16,17,0.0625,0.001183242886327207,29.269260978366233
2,robot,16,65,0.08333333333333333,0.002170552732422948,26.634296587439117
3,robot,16,15,0.9375,0.004621576983481646,23.35209808347855
4,driving,16,49,0.0625,0.002084797015413642,26.809362233651406
5,robot,4,7,0.75,0.009158575907349586,20.381720507493494
6,meetroom,2,1,0.5,0.0009073097608052194,30.422444169734387
7,robot,4,11,0.75,0.011290020309388638,19.47305276830791
8,driving,2,3,0.5,0.003359721740707755,24.73696690312359
9,meetroom,8,9,0.125,0.0012308728182688355,29.09786818861965
10,meetroom,8,1,0.125,0.001005487865768373,29.976231661031775
11,meetroom,2,3,0.5,0.0010489870328456163,29.792298803463872
12,driving,16,47,0.9375,0.002136997180059552,26.70196050922212
13,driving,8,1,0.125,0.007409729529172182,21.301976444001394
14,robot,8,23,0.875,0.013923892751336098,18.5623933052437
15,meetroom,4,15,0.75,0.0008817140478640795,30.546722397779295
16,meetroom,16,31,0.9375,0.0010969518916681409,29.598124185886462
17,robot,8,9,0.125,0.009181798435747623,20.37072245353857
18,driving,16,15,0.9375,0.0034205587580800056,24.659029449000847
19,driving,16,33,0.0625,0.002168091246858239,26.63922443917269
20,meetroom,4,5,0.25,0.0013558254577219486,28.677962157987807
21,robot,4,3,0.75,0.0068785627372562885,21.6250229730029
22,driving,8,25,0.125,0.00277195917442441,25.57213170327462
23,meetroom,8,31,0.875,0.0011466183932498097,29.40581095857326
24,meetroom,8,17,0.125,0.0011660639429464936,29.332776337044514
25,robot,4,9,0.25,0.00908809807151556,20.415269950476436
26,robot,16,47,0.9375,0.002476606983691454,26.061429067595373
27,robot,8,75,0.75,0.009682564996182919,20.14009579042231
28,robot,2,7,0.5,0.005514755845069885,22.584737103291562
29,driving,2,5,0.5,0.0032481502275913954,24.883638927605425
30,meetroom,4,7,0.75,0.00114887033123523,29.397289857650627
31,robot,4,15,0.75,0.0042386045679450035,23.72777098168743
32,robot,4,13,0.25,0.006116980686783791,22.134628907031896
33,driving,16,1,0.0625,0.007859046570956707,21.046301376868
34,robot,8,7,0.875,0.012354222126305103,19.081845944050478
35,driving,8,15,0.875,0.00328529323451221,24.83425860671336
36,meetroom,4,1,0.25,0.0009916177950799465,30.036556882014317
37,driving,8,9,0.125,0.005166005343198776,22.868451489717327
38,meetroom,4,11,0.75,0.0010077303741127253,29.966556511233545
39,driving,4,3,0.75,0.004169483669102192,23.79917722854448
40,robot,16,75,0.9166666666666666,0.010054870508611202,19.976235180814346
41,robot,2,1,0.5,0.006301824934780598,22.00533665731173
42,driving,2,7,0.5,0.002459469949826598,26.091584793474695
43,meetroom,8,25,0.125,0.0014124936424195766,28.500134982471504
44,meetroom,16,63,0.9375,0.0015972862020134926,27.966172599298833
45,robot,8,1,0.125,0.009085346013307571,20.416585280357957
46,robot,4,1,0.25,0.00805224571377039,20.9408298111244
47,meetroom,16,1,0.0625,0.0009817284299060702,30.08008632075043
48,meetroom,8,23,0.875,0.001576617592945695,28.022736315999733
49,driving,16,31,0.9375,0.001329502440057695,28.763108612638774
50,driving,16,17,0.0625,0.0016137963393703103,27.921512739934524
51,driving,8,23,0.875,0.002989725908264518,25.24368625048345
52,meetroom,16,15,0.9375,0.0009056787821464241,30.4302580660268
53,meetroom,2,5,0.5,0.0010423259809613228,29.8199643689776
54,robot,2,3,0.5,0.006586645729839802,21.813356949482397
55,driving,4,13,0.25,0.003836436429992318,24.160719936921765
56,meetroom,16,33,0.0625,0.001187579007819295,29.253374877927488
57,driving,8,7,0.875,0.00243042828515172,26.143171891635507
58,meetroom,4,3,0.75,0.0012356260558590293,29.081129422316373
59,robot,16,31,0.9375,0.005921493750065565,22.275687247668987
60,robot,8,17,0.125,0.0056076874025166035,22.51216203876266
61,meetroom,2,7,0.5,0.0009773424826562405,30.099532231142973
62,robot,8,73,0.25,0.0021315650083124638,26.713014177337826
63,driving,4,5,0.25,0.0028337438125163317,25.476394151470135
64,driving,4,9,0.25,0.004887900780886412,23.10877618385566
65,driving,8,31,0.875,0.001334446482360363,28.74698838797896
66,robot,2,5,0.5,0.0032331119291484356,24.903792600126053
67,driving,4,1,0.25,0.006178009323775768,22.091514406021773
68,robot,16,17,0.0625,0.005790133029222488,22.373114581735013
69,driving,2,1,0.5,0.003513302654027939,24.54284436227731
70,meetroom,4,9,0.25,0.0011041797697544098,29.569602140556093
71,driving,8,17,0.125,0.0016063073417171836,27.941713556690004
72,driving,4,15,0.75,0.0029992510098963976,25.22987186240767
73,driving,16,63,0.9375,0.002178673166781664,26.618079154670916
74,meetroom,16,49,0.0625,0.0012364655267447233,29.07817987473525
75,robot,16,33,0.0625,0.005063571501523256,22.95543053069244
76,meetroom,8,15,0.875,0.0009027232299558818,30.44445381610439
77,driving,4,11,0.75,0.0051323468796908855,22.896839986640998
78,driving,4,7,0.75,0.0025064346846193075,26.009436082178983
79,robot,8,15,0.875,0.004582033026963472,23.389417847720473
80,meetroom,8,7,0.875,0.0011333832517266273,29.45623209319765
81,robot,4,5,0.25,0.004619357641786337,23.35418412327722
82,robot,16,1,0.0625,0.009726844727993011,20.120280168184685
83,meetroom,4,13,0.25,0.000997088267467916,30.012663939677516
84,meetroom,16,47,0.9375,0.0010553736938163638,29.76593735223114
85,meetroom,4,13,0.25,0.0009968217927962542,30.013824759139386
86,driving,8,17,0.125,0.0016043700743466616,27.94695447330706
87,driving,4,11,0.75,0.005129432305693626,22.89930697295064
88,driving,8,1,0.125,0.007408588659018278,21.302645175239437
89,meetroom,16,49,0.0625,0.0012349991593509912,29.083333380232222
90,robot,16,33,0.0625,0.00506097637116909,22.957656903329497
91,robot,16,17,0.0625,0.005782926455140114,22.378523308383595
92,robot,16,65,0.08333333333333333,0.002132955240085721,26.71018258093817
93,robot,4,9,0.25,0.009087448008358479,20.41558060836907
94,robot,2,5,0.5,0.003225679276511073,24.913788159197257
95,robot,8,7,0.875,0.01236532162874937,19.07794582919792
96,meetroom,4,11,0.75,0.0009963230695575476,30.015998136089333
97,driving,8,9,0.125,0.005159879103302956,22.87360473834707
98,meetroom,4,7,0.75,0.0011378669878467917,29.439085022822194
99,robot,16,31,0.9375,0.005915795918554068,22.27986816584307
100,meetroom,16,63,0.9375,0.0015943916514515877,27.974049883529773
101,driving,4,13,0.25,0.0038326375652104616,24.1650224802229
102,driving,8,23,0.875,0.002974508563056588,25.265847764842263
103,driving,2,7,0.5,0.0024456740356981754,26.116014270753503
104,meetroom,16,17,0.0625,0.0011660681338980794,29.33276072809024
105,meetroom,8,17,0.125,0.0011533631477504969,29.380339292770323
106,meetroom,16,31,0.9375,0.0010786375496536493,29.671244650755565
107,driving,16,47,0.9375,0.0021115303970873356,26.754026621944256
108,driving,4,7,0.75,0.0024997328873723745,26.021063960231526
109,robot,8,23,0.875,0.013944773934781551,18.55588521890777
110,robot,4,5,0.25,0.004613704513758421,23.35950223458947
111,meetroom,8,23,0.875,0.0015611229464411736,28.06562892672142
112,driving,16,49,0.0625,0.0020648350473493338,26.851146369312325
113,meetroom,16,47,0.9375,0.0010489680571481586,29.792377366067385
114,robot,2,3,0.5,0.006581984460353851,21.816431473820494
115,robot,2,1,0.5,0.006297667510807514,22.008202719359495
116,meetroom,4,9,0.25,0.0010957027552649379,29.603072462684203
117,robot,4,15,0.75,0.004217092879116535,23.749868337862765
118,driving,16,33,0.0625,0.002145081292837858,26.68556244569276
119,driving,2,5,0.5,0.0032219476997852325,24.918815135378512
120,meetroom,8,7,0.875,0.0011285372311249375,29.47484108712586
121,driving,8,15,0.875,0.003261736361309886,24.865511449068606
122,robot,4,1,0.25,0.008060778491199017,20.93623013020563
123,driving,4,1,0.25,0.006177667062729597,22.091755011358316
124,driving,4,3,0.75,0.004141271114349365,23.82866336845681
125,robot,4,11,0.75,0.011300220154225826,19.469130953808218
126,robot,4,13,0.25,0.006110521033406258,22.13921756650143
127,driving,4,15,0.75,0.0029849372804164886,25.25064789846235
128,meetroom,4,5,0.25,0.0013343251775950193,28.747383191259015
129,robot,16,75,0.9166666666666666,0.010065408423542976,19.97168598073662
130,driving,2,1,0.5,0.003497201483696699,24.562793460330585
131,meetroom,4,1,0.25,0.0009752436890266836,30.10886851403
132,meetroom,4,3,0.75,0.0012225194368511438,29.127442272962906
133,driving,8,25,0.125,0.00276054791174829,25.59004710893946
134,meetroom,8,31,0.875,0.0011259294115006924,29.484888360891908
135,meetroom,16,33,0.0625,0.0011771729914471507,29.29159710724674
136,meetroom,2,1,0.5,0.0008842197130434215,30.534398070386665
137,meetroom,16,1,0.0625,0.0009657642804086208,30.15128861379559
138,robot,4,7,0.75,0.009151295758783817,20.385174085512844
139,meetroom,8,1,0.125,0.0009821737185120583,30.07811691114512
140,driving,16,31,0.9375,0.0012994750868529081,28.862320422468652
