step,sample,frame_gap,target_frame_index,normalized_time,rgb_mse,rgb_psnr
1,meetroom,8,1,0.125,0.0010088873095810413,29.961573407604185
2,driving,4,5,0.25,0.002849159063771367,25.452833041512516
3,n3dv,8,7,0.875,0.0009426596225239336,30.256450949028793
4,driving,4,7,0.75,0.002531033242121339,25.967021508610827
5,meetroom,8,7,0.875,0.0011473156046122313,29.40317099546163
6,n3dv,16,31,0.9375,0.0008974893717095256,30.469706857415492
7,driving,16,49,0.0625,0.0020844072569161654,26.810174234955085
8,meetroom,4,5,0.25,0.0013587989378720522,28.668448012754325
9,meetroom,8,23,0.875,0.0015887949848547578,27.98932139728189
10,driving,4,3,0.75,0.004181042779237032,23.787153888496007
11,n3dv,16,63,0.9375,0.0009919789154082537,30.034975587119135
12,n3dv,8,15,0.875,0.0008957814425230026,30.477979388698294
13,n3dv,16,15,0.9375,0.000909919966943562,30.409968048693706
14,n3dv,16,17,0.0625,0.0009250290459021926,30.338446302047565
15,meetroom,16,33,0.0625,0.0011945198057219386,29.2280664503973
16,meetroom,16,63,0.9375,0.0015993502456694841,27.960564186146755
17,n3dv,16,49,0.0625,0.001006505684927106,29.971837677942045
18,n3dv,16,47,0.9375,0.0010545214172452688,29.769445953488834
19,n3dv,2,3,0.5,0.00101878319401294,29.919182278305698
20,driving,2,5,0.5,0.0032481749076396227,24.883605929230082
21,n3dv,4,15,0.75,0.0008996892138384283,30.459074861436083
22,meetroom,8,9,0.125,0.0012254095636308193,29.11718734567241
23,meetroom,4,1,0.25,0.000993954949080944,30.026332995151044
24,n3dv,2,5,0.5,0.0010062841465696692,29.972793693170736
25,meetroom,8,17,0.125,0.001165542984381318,29.334717053820306
26,driving,4,13,0.25,0.003835987765341997,24.161227866559443
27,n3dv,4,5,0.25,0.0011150384088978171,29.527101725395156
28,driving,16,47,0.9375,0.0021292101591825485,26.717814703283285
29,driving,8,7,0.875,0.0024325335398316383,26.139411629554445
30,driving,4,11,0.75,0.005140526685863733,22.889923819685357
31,meetroom,16,47,0.9375,0.0010688097681850195,29.71099585697996
32,n3dv,16,1,0.0625,0.0015619185287505388,28.063416231071514
33,driving,16,15,0.9375,0.0034121412318199873,24.6697300126457
34,driving,8,31,0.875,0.0013378435978665948,28.73594655292965
35,meetroom,4,9,0.25,0.0011093163629993796,29.54944580891931
36,meetroom,4,11,0.75,0.0010057397885248065,29.975143682121743
37,driving,8,17,0.125,0.0016057230532169342,27.943293574579606
38,meetroom,4,3,0.75,0.0012386522721499205,29.07050596353535
39,meetroom,8,25,0.125,0.0014125329907983541,28.50001400107207
40,meetroom,8,31,0.875,0.0011415369808673859,29.42510014680542
41,meetroom,2,3,0.5,0.0010420111939311028,29.821276155505096
42,meetroom,4,7,0.75,0.0011454828782007098,29.410113979268097
43,driving,16,31,0.9375,0.0013228913303464651,28.78475829712153
44,meetroom,16,31,0.9375,0.0010884018847718835,29.63210714829325
45,meetroom,16,15,0.9375,0.000906208180822432,30.427720215322438
46,meetroom,2,7,0.5,0.0009779102401807904,30.097010061358766
47,n3dv,4,13,0.25,0.0009244983084499836,30.340938791305625
48,driving,8,9,0.125,0.0051635513082146645,22.870515032051266
49,driving,8,15,0.875,0.0032755043357610703,24.8472182135924
50,n3dv,4,9,0.25,0.0009200123022310436,30.362063653116884
51,meetroom,16,1,0.0625,0.0009767439914867282,30.102192516897503
52,driving,4,15,0.75,0.0029971920885145664,25.23285422450222
53,n3dv,8,31,0.875,0.0008827666169963777,30.541540986281788
54,n3dv,8,1,0.125,0.0015021641738712788,28.232826000149437
55,driving,16,17,0.0625,0.0016108922427520156,27.929335098249716
56,driving,16,63,0.9375,0.0021751581225544214,26.625091666372743
57,driving,2,3,0.5,0.0033362149260938168,24.767459789546
58,n3dv,8,9,0.125,0.0009398354450240731,30.269481799897164
59,meetroom,2,5,0.5,0.0010379865998402238,29.83808253089692
60,n3dv,8,25,0.125,0.0008668501977808774,30.62055947389127
61,n3dv,4,7,0.75,0.0009393685613758862,30.27163978801958
