sample,frame_gap,estimated_q8_static_mib_per_frame,total_mib,total_frames,keyframe_count,keyframe_ratio,middle_count,linear_all_psnr,adapter_all_psnr,delta_all_psnr,linear_middle_psnr,adapter_middle_psnr,delta_middle_psnr,linear_given_psnr,adapter_given_psnr,delta_given_psnr,linear_all_ssim,adapter_all_ssim,linear_middle_ssim,adapter_middle_ssim,checkpoint
n3dv,2,0.23133680555555555,18.73828125,81,41,0.5061728395061729,40,30.508679074632155,30.62798407101681,0.11930499638465619,30.42136042860855,30.66295304628747,0.2415926176789185,30.59386799758202,30.59386799758202,0.0,0.9027119484948524,0.9077521444838724,0.9016240507364273,0.911830447614193,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors
n3dv,4,0.11848958333333333,9.59765625,81,21,0.25925925925925924,60,30.262746842193057,30.43016197026923,0.16741512807617198,30.151122621306758,30.377133044209593,0.22601042290283502,30.58167318758247,30.58167318758247,0.0,0.8998951654375336,0.9074258693942318,0.8986019253730774,0.90876837571462,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors
n3dv,8,0.062065972222222224,5.02734375,81,11,0.13580246913580246,70,29.760235986151162,29.938864050082863,0.1786280639317006,29.630924284776412,29.83762247304025,0.2066981882638359,30.58312863126316,30.58312863126316,0.0,0.8947301028687277,0.9035150577992569,0.893331162418638,0.9034966102668217,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors
n3dv,16,0.033854166666666664,2.7421875,81,6,0.07407407407407407,75,28.97164461220008,29.126479340846256,0.15483472864617553,28.843296950587646,29.010518457525517,0.16722150693787086,30.575990382355414,30.575990382355414,0.0,0.8866400174152704,0.8959624053519449,0.8852978642781576,0.895366043249766,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors
meetroom,2,0.23133680555555555,18.73828125,81,41,0.5061728395061729,40,30.80944977044778,30.894844910411546,0.08539513996376513,30.111075582584174,30.28400074101079,0.17292515842661516,31.490790441534234,31.490790441534234,0.0,0.9089541435241699,0.9163920467282519,0.9029430076479912,0.9180047616362572,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/meetroom/stage25_best_anchor_adapter.safetensors
meetroom,4,0.11848958333333333,9.59765625,81,21,0.25925925925925924,60,29.545271806231266,29.643361488861682,0.09808968263041606,28.87550156728862,29.007922638839677,0.13242107155105742,31.4589010603531,31.4589010603531,0.0,0.8983131845792135,0.9093666488741651,0.8927158534526825,0.9076380302508672,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/meetroom/stage25_best_anchor_adapter.safetensors
meetroom,8,0.062065972222222224,5.02734375,81,11,0.13580246913580246,70,27.836690878644642,27.920306664848763,0.08361578620412047,27.2662964291608,27.36305183891128,0.0967554097504788,31.466473738996346,31.466473738996346,0.0,0.8845076340216177,0.8972666690379013,0.8798252837998527,0.8945893100329808,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/meetroom/stage25_best_anchor_adapter.safetensors
meetroom,16,0.033854166666666664,2.7421875,81,6,0.07407407407407407,75,25.93109917220034,25.992687296753708,0.06158812455336715,25.488520285000458,25.5550354595181,0.06651517451764022,31.46333526219885,31.46333526219885,0.0,0.8686569156470122,0.8821222863079589,0.8649849319458007,0.8795275322596232,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/meetroom/stage25_best_anchor_adapter.safetensors
driving,2,0.23133680555555555,18.73828125,81,41,0.5061728395061729,40,30.21224053846697,30.284167575815744,0.07192703734877526,27.905598030393833,28.0512502810251,0.14565225063126874,32.46262347317247,32.46262347317247,0.0,0.83679524174443,0.8400190752229573,0.7781873360276222,0.78471559882164,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/driving/stage25_best_anchor_adapter.safetensors
driving,4,0.11848958333333333,9.59765625,81,21,0.25925925925925924,60,27.918186053702325,27.987380242575348,0.06919418887302342,26.337118289805513,26.4305304447841,0.09341215497858713,32.43552252197891,32.43552252197891,0.0,0.7710229254063264,0.775465785721202,0.7283047705888748,0.7343026320139567,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/driving/stage25_best_anchor_adapter.safetensors
driving,8,0.062065972222222224,5.02734375,81,11,0.13580246913580246,70,25.72229271347723,25.776327977130347,0.05403526365311606,24.672483535818916,24.73501005518895,0.06252651937003506,32.40289657130288,32.40289657130288,0.0,0.7012455529636807,0.7062946307806321,0.6711270715509142,0.676969575881958,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/driving/stage25_best_anchor_adapter.safetensors
driving,16,0.033854166666666664,2.7421875,81,6,0.07407407407407407,75,23.768742135243652,23.80466315736545,0.03592102212179782,23.079596781403634,23.118391485295174,0.03879470389153994,32.38305905824392,32.38305905824392,0.0,0.6309826741983862,0.6359680968302267,0.6100991384188335,0.6154833948612213,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/driving/stage25_best_anchor_adapter.safetensors
robot,2,0.2314833603896104,17.82421875,77,39,0.5064935064935064,38,27.92403842939931,27.959097139933412,0.03505871053410203,23.942222105388915,24.01326212410277,0.07104001871385535,31.803756898947903,31.803756898947903,0.0,0.8366177205915575,0.8440176651075288,0.7829072083297529,0.7979018327436949,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/robot/stage25_best_anchor_adapter.safetensors
robot,4,0.11870941558441558,9.140625,77,20,0.2597402597402597,57,25.154367560029165,25.191348180558062,0.03698062052889739,22.824303007556022,22.874259284410844,0.049956276854821624,31.79505153457764,31.79505153457764,0.0,0.7914328977659151,0.8025391248913555,0.7572286672759474,0.7722318161997879,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/robot/stage25_best_anchor_adapter.safetensors
robot,8,0.06529017857142858,5.02734375,77,11,0.14285714285714285,66,22.962147586893312,22.98304243524862,0.02089484835530797,21.48821990655111,21.5125972296323,0.024377323081189672,31.805713668946552,31.805713668946552,0.0,0.7515525639831245,0.7635156318738863,0.7284961604710781,0.7424530730103002,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/robot/stage25_best_anchor_adapter.safetensors
robot,16,0.03561282467532467,2.7421875,77,6,0.07792207792207792,71,21.422466563553254,21.426327081480736,0.003860517927481766,20.550232700200223,20.554419459079334,0.004186758879111352,31.743900613230764,31.743900613230764,0.0,0.7221683859825134,0.7349542510973943,0.7080350165635767,0.7219013773219686,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/robot/stage25_best_anchor_adapter.safetensors
