sample,method,reference_gap,total_frames,keyframe_count,keyframe_ratio,estimated_q8_static_mib_per_frame,max_segment_length,mean_segment_length,segment_lengths,indices,linear_all_psnr,adapter_all_psnr,delta_all_psnr,linear_middle_psnr,adapter_middle_psnr,delta_middle_psnr,linear_given_psnr,adapter_given_psnr,delta_given_psnr,linear_all_ssim,adapter_all_ssim,linear_middle_ssim,adapter_middle_ssim,checkpoint
n3dv,uniform,4,81,21,0.25925925925925924,0.11848958333333333,4,4.0,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80,30.261744255521265,30.42995205593874,0.16820780041747696,30.150164901210744,30.377245431774345,0.227080530563601,30.580542410694182,30.580542410694182,0.0,0.8998997881088728,0.9074384952768867,0.898605324824651,0.9087825795014699,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors
n3dv,anchor_segment_rd,4,81,21,0.25925925925925924,0.11848958333333333,6,4.0,2 2 2 4 6 4 6 4 6 4 4 2 4 4 6 4 6 2 4 4,0 2 4 6 10 16 20 26 30 36 40 44 46 50 54 60 64 70 72 76 80,30.268346353703095,30.437727068324932,0.16938071462183757,30.156304480109814,30.38496844484929,0.22866396473947503,30.588465992541057,30.588465992541057,0.0,0.900199830532074,0.9077513019243876,0.8989607214927673,0.9091552078723908,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors
n3dv,uniform,8,81,11,0.13580246913580246,0.062065972222222224,8,8.0,8 8 8 8 8 8 8 8 8 8,0 8 16 24 32 40 48 56 64 72 80,29.758504058457053,29.937633845392252,0.17912978693519932,29.629156835234784,29.836435588688385,0.20727875345360047,30.581622751689654,30.581622751689654,0.0,0.8947070962117042,0.9035009042716321,0.8933062195777893,0.9034819117614201,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors
n3dv,anchor_segment_rd,8,81,11,0.13580246913580246,0.062065972222222224,12,8.0,2 4 6 8 12 8 10 10 10 10,0 2 6 12 20 32 40 50 60 70 80,29.769620613316224,29.943094831897145,0.17347421858092105,29.64135811177931,29.84209256470866,0.20073445292934977,30.58583653218749,30.58583653218749,0.0,0.8948929295127774,0.9036063662281743,0.89352086186409,0.9036035529204778,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors
n3dv,uniform,16,81,6,0.07407407407407407,0.033854166666666664,16,16.0,16 16 16 16 16,0 16 32 48 64 80,28.96915448398737,29.123841344034442,0.15468686004707166,28.840881958277215,29.00794376712806,0.1670618088508462,30.572561055364275,30.572561055364275,0.0,0.8866252671053381,0.8959569680837938,0.8852812107404073,0.8953594477971395,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors
n3dv,anchor_segment_rd,16,81,6,0.07407407407407407,0.033854166666666664,26,16.0,6 8 26 20 20,0 6 14 40 60 80,29.106286146534472,29.278378243735816,0.1720920972013431,28.988202229562443,29.174061694539894,0.18585946497745098,30.582335108684855,30.582335108684855,0.0,0.8874466566391933,0.8969043603649846,0.8861488660176595,0.8963631860415141,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors
meetroom,uniform,4,81,21,0.25925925925925924,0.11848958333333333,4,4.0,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80,29.545367524764245,29.6434932695428,0.09812574477855662,28.875543541338118,29.00801329678916,0.13246975545104078,31.459150334553208,31.459150334553208,0.0,0.8983105502010863,0.9093637267748514,0.8927134583393733,0.9076352467139562,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/meetroom/stage25_best_anchor_adapter.safetensors
meetroom,anchor_segment_rd,4,81,21,0.25925925925925924,0.11848958333333333,6,4.0,4 2 4 6 4 4 2 4 6 4 4 6 6 4 2 2 2 4 4 6,0 4 6 10 16 20 24 26 30 36 40 44 50 56 60 62 64 66 70 74 80,29.440917346573467,29.53204311929575,0.0911257727222825,28.72603980873203,28.849059601907104,0.12301979317507516,31.483424597549,31.483424597549,0.0,0.898180024859346,0.9091674965104939,0.8923577835162481,0.9071908702452978,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/meetroom/stage25_best_anchor_adapter.safetensors
meetroom,uniform,8,81,11,0.13580246913580246,0.062065972222222224,8,8.0,8 8 8 8 8 8 8 8 8 8,0 8 16 24 32 40 48 56 64 72 80,27.836784933613817,27.920439244388305,0.08365431077448804,27.26636252099547,27.363162509177375,0.09679998818190327,31.466745741185125,31.466745741185125,0.0,0.8845013725904771,0.8972602795671534,0.8798184684344701,0.8945823465074811,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/meetroom/stage25_best_anchor_adapter.safetensors
meetroom,anchor_segment_rd,8,81,11,0.13580246913580246,0.062065972222222224,12,8.0,10 10 8 12 4 8 8 4 4 12,0 10 20 28 40 44 52 60 64 68 80,27.56969484617887,27.626549369075246,0.05685452289637638,26.9561993299045,27.021988134970304,0.06578880506580376,31.473757222470336,31.473757222470336,0.0,0.8821352587805854,0.8947063441629763,0.8770665637084416,0.8916131053652082,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/meetroom/stage25_best_anchor_adapter.safetensors
