source_stage,sample,method,reference_gap,total_frames,keyframe_count,indices,quality_adapter_all_psnr,quality_adapter_middle_psnr,primary_anchor_bytes,primary_anchor_mib_per_frame,qparam_bytes,index_bytes,timestamp_bytes,metadata_bytes,container_bytes,container_mib_per_frame,container_overhead_bytes,container_overhead_percent_vs_anchor,entropy_anchor_bytes,entropy_anchor_mib_per_frame,entropy_container_bytes,entropy_container_mib_per_frame,q8_zero_order_entropy_bits_per_value,entropy_savings_percent_vs_raw_q8_anchor
stage26,n3dv,uniform,2,81,41,0 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50 52 54 56 58 60 62 64 66 68 70 72 74 76 78 80,30.62798407101681,30.66295304628747,19648512,0.23133680555555555,4264,82,82,192,19653132,0.2313912003128617,4620,0.023513230925578485,15653226,0.18429727907534,15657846,0.1843516738326461,6.3732972756410255,20.33378405448718
stage26,n3dv,uniform,4,81,21,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80,30.43016197026923,30.377133044209593,10063872,0.11848958333333333,2184,42,42,192,10066332,0.1185185467755353,2460,0.0244438721001221,8017530,0.09439644990143953,8019990,0.09442541334364149,6.373316353785103,20.333545577686202
stage26,n3dv,uniform,8,81,11,0 8 16 24 32 40 48 56 64 72 80,29.938864050082863,29.83762247304025,5271552,0.062065972222222224,1144,22,22,192,5272932,0.06208222000687211,1380,0.026178248834498836,4199653,0.0494456938755365,4201033,0.049461941660186394,6.373307898698524,20.333651266268454
stage26,n3dv,uniform,16,81,6,0 16 32 48 64 80,29.126479340846256,29.010518457525517,2875392,0.033854166666666664,624,12,12,192,2876232,0.03386405662254051,840,0.02921340811965812,2290706,0.02697021578565056,2291546,0.0269801057415244,6.373269453347579,20.334131833155272
stage26,meetroom,uniform,2,81,41,0 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50 52 54 56 58 60 62 64 66 68 70 72 74 76 78 80,30.894844910411546,30.28400074101079,19648512,0.23133680555555555,4264,82,82,192,19653132,0.2313912003128617,4620,0.023513230925578485,15620062,0.18390681419843508,15624682,0.18396120895574122,6.359794370179278,20.502570372759017
stage26,meetroom,uniform,4,81,21,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80,29.643361488861682,29.007922638839677,10063872,0.11848958333333333,2184,42,42,192,10066332,0.1185185467755353,2460,0.0244438721001221,8001166,0.09420378414201147,8003626,0.09423274758421345,6.360308239214489,20.496147009818884
stage26,meetroom,uniform,8,81,11,0 8 16 24 32 40 48 56 64 72 80,27.920306664848763,27.36305183891128,5271552,0.062065972222222224,1144,22,22,192,5272932,0.06208222000687211,1380,0.026178248834498836,4191367,0.049348136525095246,4192747,0.04936438430974513,6.360733233780109,20.49083457774864
stage26,meetroom,uniform,16,81,6,0 16 32 48 64 80,25.992687296753708,25.5550354595181,2875392,0.033854166666666664,624,12,12,192,2876232,0.03386405662254051,840,0.02921340811965812,2286379,0.026919270739143276,2287219,0.02692916069501712,6.361230746972934,20.48461566283832
stage26,driving,uniform,2,81,41,0 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50 52 54 56 58 60 62 64 66 68 70 72 74 76 78 80,30.284167575815744,28.0512502810251,19648512,0.23133680555555555,4264,82,82,192,19653132,0.2313912003128617,4620,0.023513230925578485,15456070,0.18197601224169319,15460690,0.18203040699899933,6.293024123149885,21.337198460626432
stage26,driving,uniform,4,81,21,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80,27.987380242575348,26.4305304447841,10063872,0.11848958333333333,2184,42,42,192,10066332,0.1185185467755353,2460,0.0244438721001221,7917830,0.09322260632927035,7920290,0.09325156977147232,6.294062563593814,21.32421795507733
stage26,driving,uniform,8,81,11,0 8 16 24 32 40 48 56 64 72 80,25.776327977130347,24.73501005518895,5271552,0.062065972222222224,1144,22,22,192,5272932,0.06208222000687211,1380,0.026178248834498836,4148511,0.04884356039541739,4149891,0.04885980818006727,6.295695840617715,21.303801992278554
stage26,driving,uniform,16,81,6,0 16 32 48 64 80,23.80466315736545,23.118391485295174,2875392,0.033854166666666664,624,12,12,192,2876232,0.03386405662254051,840,0.02921340811965812,2263506,0.026649969595449942,2264346,0.026659859551323786,6.29759281517094,21.280089810363247
stage26,robot,uniform,2,77,39,0 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50 52 54 56 58 60 62 64 66 68 70 72 74 76,27.959097139933412,24.01326212410277,18690048,0.2314833603896104,4056,78,78,192,18694452,0.23153790560635654,4404,0.023563342373438528,14893053,0.18445613167502664,14897457,0.18451067689177278,6.374752167570677,20.315597905366534
stage26,robot,uniform,4,77,20,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76,25.191348180558062,22.874259284410844,9584640,0.11870941558441558,2080,40,40,192,9586992,0.11873854599989854,2352,0.02453926282051282,7637314,0.09459104166402445,7639666,0.0946201720795074,6.374627737713675,20.31715327857906
stage26,robot,uniform,8,77,11,0 8 16 24 32 40 48 56 64 72 76,22.98304243524862,21.5125972296323,5271552,0.06529017857142858,1144,22,22,192,5272932,0.06530727039683949,1380,0.026178248834498836,4200969,0.052030600510634385,4202349,0.0520476923360453,6.375305033508159,20.30868708114802
stage26,robot,uniform,16,77,6,0 16 32 48 64 76,21.426327081480736,20.554419459079334,2875392,0.03561282467532467,624,12,12,192,2876232,0.03562322839514002,840,0.02921340811965812,2291764,0.02838436968914874,2292604,0.028394773408964083,6.376213051994302,20.297336850071225
stage27,n3dv,uniform,4,81,21,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80,30.42995205593874,30.377245431774345,10063872,0.11848958333333333,2184,42,42,192,10066332,0.1185185467755353,2460,0.0244438721001221,8017530,0.09439644990143953,8019990,0.09442541334364149,6.373316353785103,20.333545577686202
stage27,n3dv,anchor_segment_rd,4,81,21,0 2 4 6 10 16 20 26 30 36 40 44 46 50 54 60 64 70 72 76 80,30.437727068324932,30.38496844484929,10063872,0.11848958333333333,2184,42,42,192,10066332,0.1185185467755353,2460,0.0244438721001221,8017317,0.09439394209120008,8019777,0.09442290553340206,6.373147035256411,20.335662059294872
stage27,n3dv,uniform,8,81,11,0 8 16 24 32 40 48 56 64 72 80,29.937633845392252,29.836435588688385,5271552,0.062065972222222224,1144,22,22,192,5272932,0.06208222000687211,1380,0.026178248834498836,4199653,0.0494456938755365,4201033,0.049461941660186394,6.373307898698524,20.333651266268454
stage27,n3dv,anchor_segment_rd,8,81,11,0 2 6 12 20 32 40 50 60 70 80,29.943094831897145,29.84209256470866,5271552,0.062065972222222224,1144,22,22,192,5272932,0.06208222000687211,1380,0.026178248834498836,4199525,0.04944418683464145,4200905,0.04946043461929133,6.373113648504273,20.336079393696583
stage27,n3dv,uniform,16,81,6,0 16 32 48 64 80,29.123841344034442,29.00794376712806,2875392,0.033854166666666664,624,12,12,192,2876232,0.03386405662254051,840,0.02921340811965812,2290706,0.02697021578565056,2291546,0.0269801057415244,6.373269453347579,20.334131833155272
stage27,n3dv,anchor_segment_rd,16,81,6,0 6 14 40 60 80,29.278378243735816,29.174061694539894,2875392,0.033854166666666664,624,12,12,192,2876232,0.03386405662254051,840,0.02921340811965812,2290684,0.02696995676299672,2291524,0.026979846718870562,6.373208244301995,20.334896946225072
stage27,meetroom,uniform,4,81,21,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80,29.6434932695428,29.00801329678916,10063872,0.11848958333333333,2184,42,42,192,10066332,0.1185185467755353,2460,0.0244438721001221,8001166,0.09420378414201147,8003626,0.09423274758421345,6.360308239214489,20.496147009818884
stage27,meetroom,anchor_segment_rd,4,81,21,0 4 6 10 16 20 24 26 30 36 40 44 50 56 60 62 64 66 70 74 80,29.53204311929575,28.849059601907104,10063872,0.11848958333333333,2184,42,42,192,10066332,0.1185185467755353,2460,0.0244438721001221,8001256,0.09420484378014082,8003716,0.09423380722234279,6.360379782254782,20.495252721815223
stage27,meetroom,uniform,8,81,11,0 8 16 24 32 40 48 56 64 72 80,27.920439244388305,27.363162509177375,5271552,0.062065972222222224,1144,22,22,192,5272932,0.06208222000687211,1380,0.026178248834498836,4191367,0.049348136525095246,4192747,0.04936438430974513,6.360733233780109,20.49083457774864
stage27,meetroom,anchor_segment_rd,8,81,11,0 10 20 28 40 44 52 60 64 68 80,27.626549369075246,27.021988134970304,5271552,0.062065972222222224,1144,22,22,192,5272932,0.06208222000687211,1380,0.026178248834498836,4191463,0.04934926680576654,4192843,0.04936551459041642,6.360878921425797,20.489013482177544
stage27,meetroom,uniform,16,81,6,0 16 32 48 64 80,25.99323726745736,25.555626219259906,2875392,0.033854166666666664,624,12,12,192,2876232,0.03386405662254051,840,0.02921340811965812,2286379,0.026919270739143276,2287219,0.02692916069501712,6.361230746972934,20.48461566283832
stage27,meetroom,anchor_segment_rd,16,81,6,0 20 40 60 68 80,25.54101572650186,25.067160614522177,2875392,0.033854166666666664,624,12,12,192,2876232,0.03386405662254051,840,0.02921340811965812,2286525,0.026920989707664208,2287365,0.02693087966353805,6.361636952457265,20.479538094284187
stage27,driving,uniform,4,81,21,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80,27.987381263755843,26.430545656168047,10063872,0.11848958333333333,2184,42,42,192,10066332,0.1185185467755353,2460,0.0244438721001221,7917830,0.09322260632927035,7920290,0.09325156977147232,6.294062563593814,21.32421795507733
stage27,driving,anchor_segment_rd,4,81,21,0 2 4 6 8 10 12 14 18 22 28 34 38 42 48 54 58 64 70 76 80,27.83541066050171,26.210277751963407,10063872,0.11848958333333333,2184,42,42,192,10066332,0.1185185467755353,2460,0.0244438721001221,7920496,0.09325399516541281,7922956,0.09328295860761478,6.296181827431828,21.297727157102155
stage27,driving,uniform,8,81,11,0 8 16 24 32 40 48 56 64 72 80,25.77631998434536,24.73502457743958,5271552,0.062065972222222224,1144,22,22,192,5272932,0.06208222000687211,1380,0.026178248834498836,4148511,0.04884356039541739,4149891,0.04885980818006727,6.295695840617715,21.303801992278554
stage27,driving,anchor_segment_rd,8,81,11,0 4 8 12 18 28 38 46 58 70 80,25.596039555553578,24.513809729447093,5271552,0.062065972222222224,1144,22,22,192,5272932,0.06208222000687211,1380,0.026178248834498836,4149115,0.048850671744640965,4150495,0.04886691952929085,6.2966124587218335,21.29234426597708
stage27,driving,uniform,16,81,6,0 16 32 48 64 80,23.804648425598188,23.118390444544385,2875392,0.033854166666666664,624,12,12,192,2876232,0.03386405662254051,840,0.02921340811965812,2263506,0.026649969595449942,2264346,0.026659859551323786,6.29759281517094,21.280089810363247
stage27,driving,anchor_segment_rd,16,81,6,0 8 16 38 58 80,23.517038747768073,22.803915186822096,2875392,0.033854166666666664,624,12,12,192,2876232,0.03386405662254051,840,0.02921340811965812,2263511,0.026650028464234907,2264351,0.026659918420108748,6.297606726317664,21.279915921029204
stage27,robot,uniform,4,77,20,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76,25.19121523230494,22.873993843009693,9584640,0.11870941558441558,2080,40,40,192,9586992,0.11873854599989854,2352,0.02453926282051282,7637314,0.09459104166402445,7639666,0.0946201720795074,6.374627737713675,20.31715327857906
stage27,robot,anchor_segment_rd,4,77,20,0 6 10 14 18 22 24 28 34 38 40 42 44 46 52 56 60 66 74 76,25.277672042122344,22.974416447813354,9584640,0.11870941558441558,2080,40,40,192,9586992,0.11873854599989854,2352,0.02453926282051282,7637382,0.09459188386991427,7639734,0.09462101428539722,6.374684495192308,20.316443810096153
stage27,robot,uniform,8,77,11,0 8 16 24 32 40 48 56 64 72 76,22.98300789935102,21.51250600039049,5271552,0.06529017857142858,1144,22,22,192,5272932,0.06530727039683949,1380,0.026178248834498836,4200969,0.052030600510634385,4202349,0.0520476923360453,6.375305033508159,20.30868708114802
stage27,robot,anchor_segment_rd,8,77,11,0 10 18 24 28 38 42 46 56 68 76,22.571216185720193,21.021777652098482,5271552,0.06529017857142858,1144,22,22,192,5272932,0.06530727039683949,1380,0.026178248834498836,4200380,0.052023305521382915,4201760,0.05204039734679383,6.374411179098679,20.319860261266513
stage27,robot,uniform,16,77,6,0 16 32 48 64 76,21.42610490500266,20.554339141994358,2875392,0.03561282467532467,624,12,12,192,2876232,0.03562322839514002,840,0.02921340811965812,2291764,0.02838436968914874,2292604,0.028394773408964083,6.376213051994302,20.297336850071225
stage27,robot,anchor_segment_rd,16,77,6,0 18 28 38 52 76,20.567524314710386,19.622336233724408,2875392,0.03561282467532467,624,12,12,192,2876232,0.03562322839514002,840,0.02921340811965812,2291104,0.02837619533786526,2291944,0.028386599057680602,6.374376780626781,20.320290242165242
