sample,method,reference_gap,total_frames,keyframe_count,keyframe_ratio,estimated_q8_static_mib_per_frame,max_segment_length,mean_segment_length,segment_lengths,indices,selector_anchor_mse_cost,linear_all_psnr,adapter_all_psnr,delta_all_psnr,linear_middle_psnr,adapter_middle_psnr,delta_middle_psnr,linear_given_psnr,adapter_given_psnr,delta_given_psnr,linear_all_ssim,adapter_all_ssim,linear_middle_ssim,adapter_middle_ssim,checkpoint
n3dv,uniform,4,81,21,0.25925925925925924,0.11848958333333333,4,4.0,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80,,30.261744255521265,30.42995205593874,0.16820780041747696,30.150164901210744,30.377245431774345,0.227080530563601,30.580542410694182,30.580542410694182,0.0,0.8998997881088728,0.9074384952768867,0.898605324824651,0.9087825795014699,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors
n3dv,anchor_attr_oracle,4,81,21,0.25925925925925924,0.11848958333333333,8,4.0,2 2 2 4 6 4 6 6 4 4 4 4 2 8 4 4 4 2 4 4,0 2 4 6 10 16 20 26 32 36 40 44 48 50 58 62 66 70 72 76 80,0.003232087903597858,30.291620766393464,30.460295211308473,0.16867444491500905,30.18710057160073,30.414811072235995,0.22771050063526488,30.590249894372693,30.590249894372693,0.0,0.9003924778950068,0.9079230751520322,0.8992269376913706,0.909393243988355,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors
n3dv,uniform,8,81,11,0.13580246913580246,0.062065972222222224,8,8.0,8 8 8 8 8 8 8 8 8 8,0 8 16 24 32 40 48 56 64 72 80,,29.758504058457053,29.937633845392252,0.17912978693519932,29.629156835234784,29.836435588688385,0.20727875345360047,30.581622751689654,30.581622751689654,0.0,0.8947070962117042,0.9035009042716321,0.8933062195777893,0.9034819117614201,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors
n3dv,anchor_attr_oracle,8,81,11,0.13580246913580246,0.062065972222222224,14,8.0,4 6 14 8 10 8 8 10 6 6,0 4 10 24 32 42 50 58 68 74 80,0.007693992018175777,29.868614687782134,30.045677119563518,0.17706243178138337,29.753820262990622,29.9587067911948,0.2048865282041774,30.599124663728116,30.599124663728116,0.0,0.8957225606765276,0.9044171932302876,0.8944392962115152,0.9045002281665802,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors
n3dv,uniform,16,81,6,0.07407407407407407,0.033854166666666664,16,16.0,16 16 16 16 16,0 16 32 48 64 80,,28.96915448398737,29.123841344034442,0.15468686004707166,28.840881958277215,29.00794376712806,0.1670618088508462,30.572561055364275,30.572561055364275,0.0,0.8866252671053381,0.8959569680837938,0.8852812107404073,0.8953594477971395,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors
n3dv,anchor_attr_oracle,16,81,6,0.07407407407407407,0.033854166666666664,22,16.0,8 14 16 22 20,0 8 22 38 60 80,0.012697083831881173,29.265249497574683,29.446535900369113,0.18128640279443076,29.159111317853743,29.354900632871736,0.19578931501799346,30.59197674408637,30.59197674408637,0.0,0.8892332521485694,0.8986946050031686,0.8880688452720642,0.8982871063550313,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors
meetroom,uniform,4,81,21,0.25925925925925924,0.11848958333333333,4,4.0,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80,,29.545367524764245,29.6434932695428,0.09812574477855662,28.875543541338118,29.00801329678916,0.13246975545104078,31.459150334553208,31.459150334553208,0.0,0.8983105502010863,0.9093637267748514,0.8927134583393733,0.9076352467139562,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/meetroom/stage25_best_anchor_adapter.safetensors
meetroom,anchor_attr_oracle,4,81,21,0.25925925925925924,0.11848958333333333,6,4.0,4 4 4 4 4 4 4 6 4 4 4 6 4 4 4 2 2 4 4 4,0 4 8 12 16 20 24 28 34 38 42 46 52 56 60 64 66 68 72 76 80,0.013768647389952093,29.566958970872594,29.66395681500549,0.09699784413289692,28.899882570798994,29.030829660378384,0.13094708957939005,31.472891542511487,31.472891542511487,0.0,0.8986332453327415,0.9096878318139064,0.8930184582869212,0.9079421500364939,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/meetroom/stage25_best_anchor_adapter.safetensors
meetroom,uniform,8,81,11,0.13580246913580246,0.062065972222222224,8,8.0,8 8 8 8 8 8 8 8 8 8,0 8 16 24 32 40 48 56 64 72 80,,27.836784933613817,27.920439244388305,0.08365431077448804,27.26636252099547,27.363162509177375,0.09679998818190327,31.466745741185125,31.466745741185125,0.0,0.8845013725904771,0.8972602795671534,0.8798184684344701,0.8945823465074811,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/meetroom/stage25_best_anchor_adapter.safetensors
meetroom,anchor_attr_oracle,8,81,11,0.13580246913580246,0.062065972222222224,10,8.0,6 8 8 8 8 10 8 6 8 10,0 6 14 22 30 38 48 56 62 70 80,0.028400101175066084,27.97349499097381,28.057141435482063,0.08364644450825409,27.416971353186288,27.513762238974408,0.09679088578812056,31.51500904962168,31.51500904962168,0.0,0.8853638760837508,0.898018017227267,0.8806566034044538,0.8952992524419512,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/meetroom/stage25_best_anchor_adapter.safetensors
