sample,reference_gap,rate_mib_per_frame,selector_delta_adapter_all_psnr,selector_delta_adapter_middle_psnr,selector_delta_linear_all_psnr,selector_delta_linear_middle_psnr
driving,4,0.11848958333333333,-0.11853250341916066,-0.1723524841032642,-0.1155458145595496,-0.1683204541427905
driving,8,0.062065972222222224,-0.05872209625836078,-0.06481953233621596,-0.05944288431909328,-0.06565358709221414
driving,16,0.033854166666666664,0.013726181865212794,0.013643069392585971,0.01125054370417189,0.010969380178661226
meetroom,4,0.11848958333333333,0.02046354546268958,0.02281636358922512,0.021591446108349288,0.02433902946087585
meetroom,8,0.062065972222222224,0.13670219109375736,0.15059972979703318,0.1367100573599913,0.1506088321908159
meetroom,16,0.033854166666666664,0.1622869984894848,0.17138314537946542,0.17002311873834586,0.17973815524823067
n3dv,4,0.11848958333333333,0.030343155369731534,0.03756564046165067,0.029876510872199447,0.0369356703899868
n3dv,8,0.062065972222222224,0.10804327417126558,0.12227120250641477,0.11011062932508153,0.12466342775583783
n3dv,16,0.033854166666666664,0.32269455633467103,0.34695686574367457,0.29609501358731194,0.3182293595765273
robot,4,0.11870941558441558,0.16593669099086839,0.22049183076908108,0.1705035227969347,0.22666105970008132
robot,8,0.06529017857142858,0.2550596166060153,0.28782964571153613,0.2609581246398207,0.29471123841763713
robot,16,0.03561282467532467,0.21464377511435018,0.2280732722458012,0.22440948425711227,0.2386642525837317
