sample,frame_gap,total_frames,keyframe_count,keyframe_ratio,profile,codec,opacity_threshold,gaussians_total,gaussians_kept,keep_ratio,total_bytes,total_mib,avg_mib_per_video_frame,note
n3dv,2,81,41,0.5061728395061729,static_anchor,float32,0.0,1511424,1511424,1.0,78594048,74.953125,0.9253472222222222,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
n3dv,2,81,41,0.5061728395061729,static_anchor,float16,0.0,1511424,1511424,1.0,39297024,37.4765625,0.4626736111111111,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
n3dv,2,81,41,0.5061728395061729,static_anchor,q8,0.0,1511424,1511424,1.0,19648512,18.73828125,0.23133680555555555,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
n3dv,2,81,41,0.5061728395061729,static_anchor,q6,0.0,1511424,1511424,1.0,14736384,14.0537109375,0.17350260416666666,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
n3dv,2,81,41,0.5061728395061729,static_anchor,q4,0.0,1511424,1511424,1.0,9824256,9.369140625,0.11566840277777778,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
n3dv,2,81,41,0.5061728395061729,static_anchor,float32,0.05,1511424,1511424,1.0,78594048,74.953125,0.9253472222222222,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
n3dv,2,81,41,0.5061728395061729,static_anchor,float16,0.05,1511424,1511424,1.0,39297024,37.4765625,0.4626736111111111,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
n3dv,2,81,41,0.5061728395061729,static_anchor,q8,0.05,1511424,1511424,1.0,19648512,18.73828125,0.23133680555555555,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
n3dv,2,81,41,0.5061728395061729,static_anchor,q6,0.05,1511424,1511424,1.0,14736384,14.0537109375,0.17350260416666666,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
n3dv,2,81,41,0.5061728395061729,static_anchor,q4,0.05,1511424,1511424,1.0,9824256,9.369140625,0.11566840277777778,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
n3dv,2,81,41,0.5061728395061729,static_anchor,float32,0.1,1511424,1511424,1.0,78594048,74.953125,0.9253472222222222,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
n3dv,2,81,41,0.5061728395061729,static_anchor,float16,0.1,1511424,1511424,1.0,39297024,37.4765625,0.4626736111111111,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
n3dv,2,81,41,0.5061728395061729,static_anchor,q8,0.1,1511424,1511424,1.0,19648512,18.73828125,0.23133680555555555,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
n3dv,2,81,41,0.5061728395061729,static_anchor,q6,0.1,1511424,1511424,1.0,14736384,14.0537109375,0.17350260416666666,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
n3dv,2,81,41,0.5061728395061729,static_anchor,q4,0.1,1511424,1511424,1.0,9824256,9.369140625,0.11566840277777778,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
n3dv,2,81,41,0.5061728395061729,static_anchor,float32,0.2,1511424,1509829,0.9989447038025068,78511108,74.87402725219727,0.9243707068172502,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
n3dv,2,81,41,0.5061728395061729,static_anchor,float16,0.2,1511424,1509829,0.9989447038025068,39255554,37.43701362609863,0.4621853534086251,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
n3dv,2,81,41,0.5061728395061729,static_anchor,q8,0.2,1511424,1509829,0.9989447038025068,19627777,18.718506813049316,0.23109267670431255,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
n3dv,2,81,41,0.5061728395061729,static_anchor,q6,0.2,1511424,1509829,0.9989447038025068,14720849,14.038895606994629,0.17331969885178555,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
n3dv,2,81,41,0.5061728395061729,static_anchor,q4,0.2,1511424,1509829,0.9989447038025068,9813899,9.35926342010498,0.1155464619766047,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
n3dv,2,81,41,0.5061728395061729,full_half_anchor,float32,0.0,1511424,1511424,1.0,133005312,126.84375,1.5659722222222223,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
n3dv,2,81,41,0.5061728395061729,full_half_anchor,float16,0.0,1511424,1511424,1.0,66502656,63.421875,0.7829861111111112,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
n3dv,2,81,41,0.5061728395061729,full_half_anchor,q8,0.0,1511424,1511424,1.0,33251328,31.7109375,0.3914930555555556,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
n3dv,2,81,41,0.5061728395061729,full_half_anchor,q6,0.0,1511424,1511424,1.0,24938496,23.783203125,0.2936197916666667,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
n3dv,2,81,41,0.5061728395061729,full_half_anchor,q4,0.0,1511424,1511424,1.0,16625664,15.85546875,0.1957465277777778,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
n3dv,2,81,41,0.5061728395061729,full_half_anchor,float32,0.05,1511424,1511424,1.0,133005312,126.84375,1.5659722222222223,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
n3dv,2,81,41,0.5061728395061729,full_half_anchor,float16,0.05,1511424,1511424,1.0,66502656,63.421875,0.7829861111111112,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
n3dv,2,81,41,0.5061728395061729,full_half_anchor,q8,0.05,1511424,1511424,1.0,33251328,31.7109375,0.3914930555555556,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
n3dv,2,81,41,0.5061728395061729,full_half_anchor,q6,0.05,1511424,1511424,1.0,24938496,23.783203125,0.2936197916666667,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
n3dv,2,81,41,0.5061728395061729,full_half_anchor,q4,0.05,1511424,1511424,1.0,16625664,15.85546875,0.1957465277777778,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
n3dv,2,81,41,0.5061728395061729,full_half_anchor,float32,0.1,1511424,1511424,1.0,133005312,126.84375,1.5659722222222223,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
n3dv,2,81,41,0.5061728395061729,full_half_anchor,float16,0.1,1511424,1511424,1.0,66502656,63.421875,0.7829861111111112,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
n3dv,2,81,41,0.5061728395061729,full_half_anchor,q8,0.1,1511424,1511424,1.0,33251328,31.7109375,0.3914930555555556,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
n3dv,2,81,41,0.5061728395061729,full_half_anchor,q6,0.1,1511424,1511424,1.0,24938496,23.783203125,0.2936197916666667,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
n3dv,2,81,41,0.5061728395061729,full_half_anchor,q4,0.1,1511424,1511424,1.0,16625664,15.85546875,0.1957465277777778,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
n3dv,2,81,41,0.5061728395061729,full_half_anchor,float32,0.2,1511424,1509829,0.9989447038025068,132864952,126.70989227294922,1.564319657690731,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
n3dv,2,81,41,0.5061728395061729,full_half_anchor,float16,0.2,1511424,1509829,0.9989447038025068,66432476,63.35494613647461,0.7821598288453655,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
n3dv,2,81,41,0.5061728395061729,full_half_anchor,q8,0.2,1511424,1509829,0.9989447038025068,33216238,31.677473068237305,0.39107991442268275,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
n3dv,2,81,41,0.5061728395061729,full_half_anchor,q6,0.2,1511424,1509829,0.9989447038025068,24912189,23.7581148147583,0.2933100594414605,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
n3dv,2,81,41,0.5061728395061729,full_half_anchor,q4,0.2,1511424,1509829,0.9989447038025068,16608119,15.838736534118652,0.19553995721134138,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
meetroom,2,81,41,0.5061728395061729,static_anchor,float32,0.0,1511424,1511424,1.0,78594048,74.953125,0.9253472222222222,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
meetroom,2,81,41,0.5061728395061729,static_anchor,float16,0.0,1511424,1511424,1.0,39297024,37.4765625,0.4626736111111111,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
meetroom,2,81,41,0.5061728395061729,static_anchor,q8,0.0,1511424,1511424,1.0,19648512,18.73828125,0.23133680555555555,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
meetroom,2,81,41,0.5061728395061729,static_anchor,q6,0.0,1511424,1511424,1.0,14736384,14.0537109375,0.17350260416666666,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
meetroom,2,81,41,0.5061728395061729,static_anchor,q4,0.0,1511424,1511424,1.0,9824256,9.369140625,0.11566840277777778,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
meetroom,2,81,41,0.5061728395061729,static_anchor,float32,0.05,1511424,1511424,1.0,78594048,74.953125,0.9253472222222222,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
meetroom,2,81,41,0.5061728395061729,static_anchor,float16,0.05,1511424,1511424,1.0,39297024,37.4765625,0.4626736111111111,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
meetroom,2,81,41,0.5061728395061729,static_anchor,q8,0.05,1511424,1511424,1.0,19648512,18.73828125,0.23133680555555555,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
meetroom,2,81,41,0.5061728395061729,static_anchor,q6,0.05,1511424,1511424,1.0,14736384,14.0537109375,0.17350260416666666,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
meetroom,2,81,41,0.5061728395061729,static_anchor,q4,0.05,1511424,1511424,1.0,9824256,9.369140625,0.11566840277777778,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
meetroom,2,81,41,0.5061728395061729,static_anchor,float32,0.1,1511424,1511424,1.0,78594048,74.953125,0.9253472222222222,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
meetroom,2,81,41,0.5061728395061729,static_anchor,float16,0.1,1511424,1511424,1.0,39297024,37.4765625,0.4626736111111111,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
meetroom,2,81,41,0.5061728395061729,static_anchor,q8,0.1,1511424,1511424,1.0,19648512,18.73828125,0.23133680555555555,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
meetroom,2,81,41,0.5061728395061729,static_anchor,q6,0.1,1511424,1511424,1.0,14736384,14.0537109375,0.17350260416666666,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
meetroom,2,81,41,0.5061728395061729,static_anchor,q4,0.1,1511424,1511424,1.0,9824256,9.369140625,0.11566840277777778,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
meetroom,2,81,41,0.5061728395061729,static_anchor,float32,0.2,1511424,1511089,0.9997783547171409,78576628,74.9365119934082,0.9251421233754099,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
meetroom,2,81,41,0.5061728395061729,static_anchor,float16,0.2,1511424,1511089,0.9997783547171409,39288314,37.4682559967041,0.46257106168770495,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
meetroom,2,81,41,0.5061728395061729,static_anchor,q8,0.2,1511424,1511089,0.9997783547171409,19644157,18.73412799835205,0.23128553084385248,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
meetroom,2,81,41,0.5061728395061729,static_anchor,q6,0.2,1511424,1511089,0.9997783547171409,14733133,14.050610542297363,0.1734643276826835,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
meetroom,2,81,41,0.5061728395061729,static_anchor,q4,0.2,1511424,1511089,0.9997783547171409,9822090,9.367074966430664,0.11564290082013165,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
meetroom,2,81,41,0.5061728395061729,full_half_anchor,float32,0.0,1511424,1511424,1.0,133005312,126.84375,1.5659722222222223,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
meetroom,2,81,41,0.5061728395061729,full_half_anchor,float16,0.0,1511424,1511424,1.0,66502656,63.421875,0.7829861111111112,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
meetroom,2,81,41,0.5061728395061729,full_half_anchor,q8,0.0,1511424,1511424,1.0,33251328,31.7109375,0.3914930555555556,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
meetroom,2,81,41,0.5061728395061729,full_half_anchor,q6,0.0,1511424,1511424,1.0,24938496,23.783203125,0.2936197916666667,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
meetroom,2,81,41,0.5061728395061729,full_half_anchor,q4,0.0,1511424,1511424,1.0,16625664,15.85546875,0.1957465277777778,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
meetroom,2,81,41,0.5061728395061729,full_half_anchor,float32,0.05,1511424,1511424,1.0,133005312,126.84375,1.5659722222222223,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
meetroom,2,81,41,0.5061728395061729,full_half_anchor,float16,0.05,1511424,1511424,1.0,66502656,63.421875,0.7829861111111112,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
meetroom,2,81,41,0.5061728395061729,full_half_anchor,q8,0.05,1511424,1511424,1.0,33251328,31.7109375,0.3914930555555556,Estimated transmitted keyframe Gaussian anchor payload; decoder-generated intermediate Gaussians are excluded.
