sample,method,reference_gap,selected_keyframe_count,unavailable_selected_count,unavailable_selected_indices,is_directly_supported_by_stage6
n3dv,uniform,4,21,0,,True
n3dv,segment_motion,4,21,7,15 25 35 43 55 65 75,False
n3dv,segment_gaussian,4,21,7,9 19 35 43 55 65 75,False
n3dv,segment_rd,4,21,8,9 19 25 35 43 55 65 75,False
n3dv,uniform,8,11,0,,True
n3dv,segment_motion,8,11,4,3 13 31 49,False
n3dv,segment_gaussian,8,11,7,3 7 19 31 49 65 71,False
n3dv,segment_rd,8,11,4,3 19 31 49,False
n3dv,uniform,16,6,0,,True
n3dv,segment_motion,16,6,2,13 27,False
n3dv,segment_gaussian,16,6,2,11 71,False
n3dv,segment_rd,16,6,2,13 27,False
meetroom,uniform,4,21,0,,True
meetroom,segment_motion,4,21,6,3 5 25 35 65 69,False
meetroom,segment_gaussian,4,21,3,5 29 69,False
meetroom,segment_rd,4,21,3,5 25 69,False
meetroom,uniform,8,11,0,,True
meetroom,segment_motion,8,11,2,9 51,False
meetroom,segment_gaussian,8,11,2,9 67,False
meetroom,segment_rd,8,11,2,9 51,False
meetroom,uniform,16,6,0,,True
meetroom,segment_motion,16,6,0,,True
meetroom,segment_gaussian,16,6,1,61,False
meetroom,segment_rd,16,6,0,,True
driving,uniform,4,21,0,,True
driving,segment_motion,4,21,10,9 11 13 19 29 39 49 55 65 75,False
driving,segment_gaussian,4,21,10,9 11 13 15 23 33 55 59 65 75,False
driving,segment_rd,4,21,10,9 11 13 19 29 39 49 55 65 75,False
driving,uniform,8,11,0,,True
driving,segment_motion,8,11,6,9 13 19 39 49 71,False
driving,segment_gaussian,8,11,5,9 13 27 59 71,False
driving,segment_rd,8,11,5,9 13 19 39 71,False
driving,uniform,16,6,0,,True
driving,segment_motion,16,6,2,7 39,False
driving,segment_gaussian,16,6,2,15 25,False
driving,segment_rd,16,6,1,39,False
robot,uniform,4,20,0,,True
robot,segment_motion,4,20,7,5 9 13 19 47 53 59,False
robot,segment_gaussian,4,20,8,5 9 13 19 23 25 47 73,False
robot,segment_rd,4,20,6,5 9 13 19 47 59,False
robot,uniform,8,11,0,,True
robot,segment_motion,8,11,5,9 13 19 45 67,False
robot,segment_gaussian,8,11,6,9 13 19 27 45 67,False
robot,segment_rd,8,11,6,9 13 19 27 45 67,False
robot,uniform,16,6,0,,True
robot,segment_motion,16,6,2,19 51,False
robot,segment_gaussian,16,6,1,17,False
robot,segment_rd,16,6,2,27 51,False
