sample,frame_gap,total_frames,keyframe_count,raw_path,zlib_path,stage26_primary_anchor_bytes,raw_bitstream_bytes,zlib_bitstream_bytes,raw_mib_per_frame,zlib_mib_per_frame,raw_overhead_bytes_vs_stage26_anchor,zlib_savings_percent_vs_raw_bitstream,max_roundtrip_abs_diff,mean_roundtrip_mse
n3dv,2,81,41,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage31_anchor_bitstream_prototype/n3dv_gap2_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage31_anchor_bitstream_prototype/n3dv_gap2_q8_zlib.mdfcgs,19648512,19672661,12970987,0.23162113001317153,0.15271724889307847,24149,34.06592529602376,0.0,0.0
n3dv,4,81,21,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage31_anchor_bitstream_prototype/n3dv_gap4_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage31_anchor_bitstream_prototype/n3dv_gap4_q8_zlib.mdfcgs,10063872,10076289,6644260,0.11863577807391132,0.07822790263611594,12417,34.06044626151552,0.0,0.0
n3dv,8,81,11,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage31_anchor_bitstream_prototype/n3dv_gap8_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage31_anchor_bitstream_prototype/n3dv_gap8_q8_zlib.mdfcgs,5271552,5278112,3479993,0.06214320806809413,0.04097259191819179,6560,34.06746579079792,0.0,0.0
n3dv,16,81,6,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage31_anchor_bitstream_prototype/n3dv_gap16_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage31_anchor_bitstream_prototype/n3dv_gap16_q8_zlib.mdfcgs,2875392,2879029,1898025,0.033896987820849,0.02234688511601201,3637,34.07412707548274,0.0,0.0
meetroom,2,81,41,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage31_anchor_bitstream_prototype/meetroom_gap2_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage31_anchor_bitstream_prototype/meetroom_gap2_q8_zlib.mdfcgs,19648512,19672467,12647918,0.23161884590431495,0.14891351299521363,23955,35.7075144667926,0.0,0.0
meetroom,4,81,21,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage31_anchor_bitstream_prototype/meetroom_gap4_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage31_anchor_bitstream_prototype/meetroom_gap4_q8_zlib.mdfcgs,10063872,10076204,6478660,0.11863477730456694,0.07627816847812982,12332,35.70336606920622,0.0,0.0
meetroom,8,81,11,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage31_anchor_bitstream_prototype/meetroom_gap8_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage31_anchor_bitstream_prototype/meetroom_gap8_q8_zlib.mdfcgs,5271552,5278056,3394374,0.062142548737702544,0.0399645346182364,6504,35.6889354716964,0.0,0.0
meetroom,16,81,6,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage31_anchor_bitstream_prototype/meetroom_gap16_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage31_anchor_bitstream_prototype/meetroom_gap16_q8_zlib.mdfcgs,2875392,2878980,1851538,0.033896410906756366,0.02179955847469377,3588,35.687708841325744,0.0,0.0
driving,2,81,41,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage31_anchor_bitstream_prototype/driving_gap2_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage31_anchor_bitstream_prototype/driving_gap2_q8_zlib.mdfcgs,19648512,19672233,12498717,0.23161609084517867,0.14715685667815032,23721,36.4651842015088,0.0,0.0
driving,4,81,21,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage31_anchor_bitstream_prototype/driving_gap4_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage31_anchor_bitstream_prototype/driving_gap4_q8_zlib.mdfcgs,10063872,10076091,6403676,0.11863344687002676,0.07539532508379147,12219,36.446822483044265,0.0,0.0
