sample,frame_gap,total_frames,keyframe_count,estimated_q8_static_mib_per_frame,raw_mib_per_frame,zlib_mib_per_frame,raw_rate_over_estimated_q8_ratio,zlib_rate_over_estimated_q8_ratio,raw_bitstream_bytes,zlib_bitstream_bytes,raw_overhead_bytes_vs_stage26_anchor,zlib_savings_percent_vs_raw_bitstream,linear_all_psnr,adapter_all_psnr,delta_all_psnr,linear_middle_psnr,adapter_middle_psnr,delta_middle_psnr,linear_all_ssim,adapter_all_ssim,linear_middle_ssim,adapter_middle_ssim,max_roundtrip_abs_diff,mean_roundtrip_mse
driving,2,81,41,0.23133680555555555,0.23161609084517867,0.14715685667815032,1.0012072669930425,0.6361151928451376,19672233,12498717,23721,36.4651842015088,30.21224053846697,30.284167575815744,0.07192703734877526,27.905598030393833,28.0512502810251,0.14565225063126874,0.83679524174443,0.8400190752229573,0.7781873360276222,0.78471559882164,0.0,0.0
driving,4,81,21,0.11848958333333333,0.11863344687002676,0.07539532508379147,1.0012141450129732,0.6363034029049655,10076091,6403676,12219,36.446822483044265,27.918186053702325,27.987380242575348,0.06919418887302342,26.337118289805513,26.4305304447841,0.09341215497858713,0.7710229254063264,0.775465785721202,0.7283047705888748,0.7343026320139567,0.0,0.0
driving,8,81,11,0.062065972222222224,0.062142101334936826,0.03951162173424238,1.001226583746115,0.6366068285013597,5278018,3355906,6466,36.41730664806372,25.72229271347723,25.776327977130347,0.05403526365311606,24.672483535818916,24.73501005518895,0.06252651937003506,0.7012455529636807,0.7062946307806321,0.6711270715509142,0.676969575881958,0.0,0.0
driving,16,81,6,0.033854166666666664,0.033896281395429446,0.021581861707899306,1.0012440042957622,0.6374949919871795,2878969,1833048,3577,36.329706919386766,23.768742135243652,23.80466315736545,0.03592102212179782,23.079596781403634,23.118391485295174,0.03879470389153994,0.6309826741983862,0.6359680968302267,0.6100991384188335,0.6154833948612213,0.0,0.0
meetroom,2,81,41,0.23133680555555555,0.23161884590431495,0.14891351299521363,1.001219176291823,0.6437086940731186,19672467,12647918,23955,35.7075144667926,30.80944977044778,30.894844910411546,0.08539513996376513,30.111075582584174,30.28400074101079,0.17292515842661516,0.9089541435241699,0.9163920467282519,0.9029430076479912,0.9180047616362572,0.0,0.0
meetroom,4,81,21,0.11848958333333333,0.11863477730456694,0.07627816847812982,1.001225373295686,0.6437542130901506,10076204,6478660,12332,35.70336606920622,29.545271806231266,29.643361488861682,0.09808968263041606,28.87550156728862,29.007922638839677,0.13242107155105742,0.8983131845792135,0.9093666488741651,0.8927158534526825,0.9076380302508672,0.0,0.0
meetroom,8,81,11,0.062065972222222224,0.062142548737702544,0.0399645346182364,1.0012337922494172,0.643904110212704,5278056,3394374,6504,35.6889354716964,27.836690878644642,27.920306664848763,0.08361578620412047,27.2662964291608,27.36305183891128,0.0967554097504788,0.8845076340216177,0.8972666690379013,0.8798252837998527,0.8945893100329808,0.0,0.0
meetroom,16,81,6,0.033854166666666664,0.033896410906756366,0.02179955847469377,1.0012478298611112,0.6439254195601852,2878980,1851538,3588,35.687708841325744,25.93109917220034,25.992687296753708,0.06158812455336715,25.488520285000458,25.5550354595181,0.06651517451764022,0.8686569156470122,0.8821222863079589,0.8649849319458007,0.8795275322596232,0.0,0.0
n3dv,2,81,41,0.23133680555555555,0.23162113001317153,0.15271724889307847,1.001229049813034,0.6601511096616375,19672661,12970987,24149,34.06592529602376,30.508679074632155,30.62798407101681,0.11930499638465619,30.42136042860855,30.66295304628747,0.2415926176789185,0.9027119484948524,0.9077521444838724,0.9016240507364273,0.911830447614193,0.0,0.0
n3dv,4,81,21,0.11848958333333333,0.11863577807391132,0.07822790263611594,1.0012338193490538,0.66020911235755,10076289,6644260,12417,34.06044626151552,30.262746842193057,30.43016197026923,0.16741512807617198,30.151122621306758,30.377133044209593,0.22601042290283502,0.8998951654375336,0.9074258693942318,0.8986019253730774,0.90876837571462,0.0,0.0
n3dv,8,81,11,0.062065972222222224,0.06214320806809413,0.04097259191819179,1.0012444153069153,0.6601458166399572,5278112,3479993,6560,34.06746579079792,29.760235986151162,29.938864050082863,0.1786280639317006,29.630924284776412,29.83762247304025,0.2066981882638359,0.8947301028687277,0.9035150577992569,0.893331162418638,0.9034966102668217,0.0,0.0
n3dv,16,81,6,0.033854166666666664,0.033896987820849,0.02234688511601201,1.0012648710158476,0.6600926065037394,2879029,1898025,3637,34.07412707548274,28.97164461220008,29.126479340846256,0.15483472864617553,28.843296950587646,29.010518457525517,0.16722150693787086,0.8866400174152704,0.8959624053519449,0.8852978642781576,0.895366043249766,0.0,0.0
robot,2,77,39,0.2314833603896104,0.23176606909021155,0.15556274760853162,1.0012212916735153,0.6720256149154887,18712874,12560191,22826,32.87941232330213,27.92403842939931,27.959097139933412,0.03505871053410203,23.942222105388915,24.01326212410277,0.07104001871385535,0.8366177205915575,0.8440176651075288,0.7829072083297529,0.7979018327436949,0.0,0.0
robot,4,77,20,0.11870941558441558,0.11885505527644963,0.07978046714485466,1.0012268588074253,0.6720652001535791,9596399,6441503,11759,32.87583186151389,25.154367560029165,25.191348180558062,0.03698062052889739,22.824303007556022,22.874259284410844,0.049956276854821624,0.7914328977659151,0.8025391248913555,0.7572286672759474,0.7722318161997879,0.0,0.0
robot,8,77,11,0.06529017857142858,0.06537116657603871,0.04392981838870358,1.0012404316603536,0.6728396115603146,5278091,3546909,6539,32.79939660002073,22.962147586893312,22.98304243524862,0.02089484835530797,21.48821990655111,21.5125972296323,0.024377323081189672,0.7515525639831245,0.7635156318738863,0.7284961604710781,0.7424530730103002,0.0,0.0
robot,16,77,6,0.03561282467532467,0.03565778360738383,0.023967730534541144,1.001262436565171,0.6730084106793092,2879022,1935163,3630,32.784014849487086,21.422466563553254,21.426327081480736,0.003860517927481766,20.550232700200223,20.554419459079334,0.004186758879111352,0.7221683859825134,0.7349542510973943,0.7080350165635767,0.7219013773219686,0.0,0.0
