sample,frame_gap,left_index,right_index,segment_length,middle_frame_count,dataset_item,dataset_item_relative,anchor_mib,gaussians_per_anchor
n3dv,1,0,1,1,0,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage33_dense_gap1_anchor_export/n3dv/gap1/pair_000000_000001.pt,n3dv/gap1/pair_000000_000001.pt,1.828125,36864
n3dv,1,1,2,1,0,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage33_dense_gap1_anchor_export/n3dv/gap1/pair_000001_000002.pt,n3dv/gap1/pair_000001_000002.pt,1.828125,36864
n3dv,1,2,3,1,0,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage33_dense_gap1_anchor_export/n3dv/gap1/pair_000002_000003.pt,n3dv/gap1/pair_000002_000003.pt,1.828125,36864
n3dv,1,3,4,1,0,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage33_dense_gap1_anchor_export/n3dv/gap1/pair_000003_000004.pt,n3dv/gap1/pair_000003_000004.pt,1.828125,36864
n3dv,1,4,5,1,0,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage33_dense_gap1_anchor_export/n3dv/gap1/pair_000004_000005.pt,n3dv/gap1/pair_000004_000005.pt,1.828125,36864
n3dv,1,5,6,1,0,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage33_dense_gap1_anchor_export/n3dv/gap1/pair_000005_000006.pt,n3dv/gap1/pair_000005_000006.pt,1.828125,36864
n3dv,1,6,7,1,0,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage33_dense_gap1_anchor_export/n3dv/gap1/pair_000006_000007.pt,n3dv/gap1/pair_000006_000007.pt,1.828125,36864
n3dv,1,7,8,1,0,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage33_dense_gap1_anchor_export/n3dv/gap1/pair_000007_000008.pt,n3dv/gap1/pair_000007_000008.pt,1.828125,36864
n3dv,1,8,9,1,0,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage33_dense_gap1_anchor_export/n3dv/gap1/pair_000008_000009.pt,n3dv/gap1/pair_000008_000009.pt,1.828125,36864
n3dv,1,9,10,1,0,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage33_dense_gap1_anchor_export/n3dv/gap1/pair_000009_000010.pt,n3dv/gap1/pair_000009_000010.pt,1.828125,36864
n3dv,1,10,11,1,0,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage33_dense_gap1_anchor_export/n3dv/gap1/pair_000010_000011.pt,n3dv/gap1/pair_000010_000011.pt,1.828125,36864
n3dv,1,11,12,1,0,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage33_dense_gap1_anchor_export/n3dv/gap1/pair_000011_000012.pt,n3dv/gap1/pair_000011_000012.pt,1.828125,36864
n3dv,1,12,13,1,0,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage33_dense_gap1_anchor_export/n3dv/gap1/pair_000012_000013.pt,n3dv/gap1/pair_000012_000013.pt,1.828125,36864
n3dv,1,13,14,1,0,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage33_dense_gap1_anchor_export/n3dv/gap1/pair_000013_000014.pt,n3dv/gap1/pair_000013_000014.pt,1.828125,36864
n3dv,1,14,15,1,0,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage33_dense_gap1_anchor_export/n3dv/gap1/pair_000014_000015.pt,n3dv/gap1/pair_000014_000015.pt,1.828125,36864
n3dv,1,15,16,1,0,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage33_dense_gap1_anchor_export/n3dv/gap1/pair_000015_000016.pt,n3dv/gap1/pair_000015_000016.pt,1.828125,36864
n3dv,1,16,17,1,0,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage33_dense_gap1_anchor_export/n3dv/gap1/pair_000016_000017.pt,n3dv/gap1/pair_000016_000017.pt,1.828125,36864
n3dv,1,17,18,1,0,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage33_dense_gap1_anchor_export/n3dv/gap1/pair_000017_000018.pt,n3dv/gap1/pair_000017_000018.pt,1.828125,36864
n3dv,1,18,19,1,0,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage33_dense_gap1_anchor_export/n3dv/gap1/pair_000018_000019.pt,n3dv/gap1/pair_000018_000019.pt,1.828125,36864
n3dv,1,19,20,1,0,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage33_dense_gap1_anchor_export/n3dv/gap1/pair_000019_000020.pt,n3dv/gap1/pair_000019_000020.pt,1.828125,36864
n3dv,1,20,21,1,0,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage33_dense_gap1_anchor_export/n3dv/gap1/pair_000020_000021.pt,n3dv/gap1/pair_000020_000021.pt,1.828125,36864
n3dv,1,21,22,1,0,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage33_dense_gap1_anchor_export/n3dv/gap1/pair_000021_000022.pt,n3dv/gap1/pair_000021_000022.pt,1.828125,36864
n3dv,1,22,23,1,0,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage33_dense_gap1_anchor_export/n3dv/gap1/pair_000022_000023.pt,n3dv/gap1/pair_000022_000023.pt,1.828125,36864
n3dv,1,23,24,1,0,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage33_dense_gap1_anchor_export/n3dv/gap1/pair_000023_000024.pt,n3dv/gap1/pair_000023_000024.pt,1.828125,36864
n3dv,1,24,25,1,0,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage33_dense_gap1_anchor_export/n3dv/gap1/pair_000024_000025.pt,n3dv/gap1/pair_000024_000025.pt,1.828125,36864
n3dv,1,25,26,1,0,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage33_dense_gap1_anchor_export/n3dv/gap1/pair_000025_000026.pt,n3dv/gap1/pair_000025_000026.pt,1.828125,36864
n3dv,1,26,27,1,0,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage33_dense_gap1_anchor_export/n3dv/gap1/pair_000026_000027.pt,n3dv/gap1/pair_000026_000027.pt,1.828125,36864
n3dv,1,27,28,1,0,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage33_dense_gap1_anchor_export/n3dv/gap1/pair_000027_000028.pt,n3dv/gap1/pair_000027_000028.pt,1.828125,36864
n3dv,1,28,29,1,0,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage33_dense_gap1_anchor_export/n3dv/gap1/pair_000028_000029.pt,n3dv/gap1/pair_000028_000029.pt,1.828125,36864
n3dv,1,29,30,1,0,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage33_dense_gap1_anchor_export/n3dv/gap1/pair_000029_000030.pt,n3dv/gap1/pair_000029_000030.pt,1.828125,36864
n3dv,1,30,31,1,0,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage33_dense_gap1_anchor_export/n3dv/gap1/pair_000030_000031.pt,n3dv/gap1/pair_000030_000031.pt,1.828125,36864
n3dv,1,31,32,1,0,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage33_dense_gap1_anchor_export/n3dv/gap1/pair_000031_000032.pt,n3dv/gap1/pair_000031_000032.pt,1.828125,36864
n3dv,1,32,33,1,0,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage33_dense_gap1_anchor_export/n3dv/gap1/pair_000032_000033.pt,n3dv/gap1/pair_000032_000033.pt,1.828125,36864
n3dv,1,33,34,1,0,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage33_dense_gap1_anchor_export/n3dv/gap1/pair_000033_000034.pt,n3dv/gap1/pair_000033_000034.pt,1.828125,36864
n3dv,1,34,35,1,0,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage33_dense_gap1_anchor_export/n3dv/gap1/pair_000034_000035.pt,n3dv/gap1/pair_000034_000035.pt,1.828125,36864
n3dv,1,35,36,1,0,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage33_dense_gap1_anchor_export/n3dv/gap1/pair_000035_000036.pt,n3dv/gap1/pair_000035_000036.pt,1.828125,36864
n3dv,1,36,37,1,0,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage33_dense_gap1_anchor_export/n3dv/gap1/pair_000036_000037.pt,n3dv/gap1/pair_000036_000037.pt,1.828125,36864
n3dv,1,37,38,1,0,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage33_dense_gap1_anchor_export/n3dv/gap1/pair_000037_000038.pt,n3dv/gap1/pair_000037_000038.pt,1.828125,36864
n3dv,1,38,39,1,0,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage33_dense_gap1_anchor_export/n3dv/gap1/pair_000038_000039.pt,n3dv/gap1/pair_000038_000039.pt,1.828125,36864
n3dv,1,39,40,1,0,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage33_dense_gap1_anchor_export/n3dv/gap1/pair_000039_000040.pt,n3dv/gap1/pair_000039_000040.pt,1.828125,36864
n3dv,1,40,41,1,0,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage33_dense_gap1_anchor_export/n3dv/gap1/pair_000040_000041.pt,n3dv/gap1/pair_000040_000041.pt,1.828125,36864
n3dv,1,41,42,1,0,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage33_dense_gap1_anchor_export/n3dv/gap1/pair_000041_000042.pt,n3dv/gap1/pair_000041_000042.pt,1.828125,36864
n3dv,1,42,43,1,0,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage33_dense_gap1_anchor_export/n3dv/gap1/pair_000042_000043.pt,n3dv/gap1/pair_000042_000043.pt,1.828125,36864
n3dv,1,43,44,1,0,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage33_dense_gap1_anchor_export/n3dv/gap1/pair_000043_000044.pt,n3dv/gap1/pair_000043_000044.pt,1.828125,36864
n3dv,1,44,45,1,0,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage33_dense_gap1_anchor_export/n3dv/gap1/pair_000044_000045.pt,n3dv/gap1/pair_000044_000045.pt,1.828125,36864
n3dv,1,45,46,1,0,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage33_dense_gap1_anchor_export/n3dv/gap1/pair_000045_000046.pt,n3dv/gap1/pair_000045_000046.pt,1.828125,36864
n3dv,1,46,47,1,0,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage33_dense_gap1_anchor_export/n3dv/gap1/pair_000046_000047.pt,n3dv/gap1/pair_000046_000047.pt,1.828125,36864
n3dv,1,47,48,1,0,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage33_dense_gap1_anchor_export/n3dv/gap1/pair_000047_000048.pt,n3dv/gap1/pair_000047_000048.pt,1.828125,36864
n3dv,1,48,49,1,0,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage33_dense_gap1_anchor_export/n3dv/gap1/pair_000048_000049.pt,n3dv/gap1/pair_000048_000049.pt,1.828125,36864
n3dv,1,49,50,1,0,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage33_dense_gap1_anchor_export/n3dv/gap1/pair_000049_000050.pt,n3dv/gap1/pair_000049_000050.pt,1.828125,36864
