sample,method,reference_gap,total_frames,keyframe_count,keyframe_ratio,estimated_q8_static_mib_per_frame,max_segment_length,mean_segment_length,segment_lengths,indices,linear_all_psnr,adapter_all_psnr,delta_all_psnr,linear_middle_psnr,adapter_middle_psnr,delta_middle_psnr,linear_given_psnr,adapter_given_psnr,delta_given_psnr,linear_all_ssim,adapter_all_ssim,linear_middle_ssim,adapter_middle_ssim,checkpoint
n3dv,uniform,4,81,21,0.25925925925925924,0.11848958333333333,4,4.0,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80,30.2620931976309,30.429613143857733,0.16751994622683242,30.150854934349642,30.377006861755877,0.22615192740623513,30.579916807005898,30.579916807005898,0.0,0.8999017793455242,0.9074298871888055,0.8986136794090271,0.9087766249974568,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors
n3dv,segment_rd,4,81,21,0.25925925925925924,0.11848958333333333,6,4.0,2 2 2 3 5 5 6 5 5 5 3 3 4 5 5 5 5 5 3 2,0 2 4 6 9 14 19 25 30 35 40 43 46 50 55 60 65 70 75 78 80,30.276914843422528,30.45034806757868,0.17343322415615248,30.164576530229837,30.398711382840638,0.2341348526108007,30.5978814525445,30.5978814525445,0.0,0.9001770541991716,0.9077693510938574,0.8989382843176524,0.9091878851254781,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors
n3dv,uniform,8,81,11,0.13580246913580246,0.062065972222222224,8,8.0,8 8 8 8 8 8 8 8 8 8,0 8 16 24 32 40 48 56 64 72 80,29.759978379903007,29.938123059399317,0.17814467949630952,29.63093140939672,29.837070252813888,0.20613884341716826,30.5811863740339,30.5811863740339,0.0,0.8947084362124219,0.9034850590022994,0.8933116836207253,0.9034674899918692,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors
n3dv,segment_rd,8,81,11,0.13580246913580246,0.062065972222222224,12,8.0,3 3 6 7 12 9 9 11 10 10,0 3 6 12 19 31 40 49 60 70 80,29.770144913945646,29.947830381277374,0.1776854673317274,29.641031927308923,29.84663939664993,0.2056074693410075,30.59177301072474,30.59177301072474,0.0,0.894825757285695,0.9035971076400192,0.8934508459908622,0.9036005514008658,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors
n3dv,uniform,16,81,6,0.07407407407407407,0.033854166666666664,16,16.0,16 16 16 16 16,0 16 32 48 64 80,28.970305120452668,29.125309658911,0.15500453845833206,28.8421021766212,29.009507078156197,0.1674049015349972,30.572841918346004,30.572841918346004,0.0,0.8866919492497857,0.8960152746718607,0.885352128346761,0.8954213198026021,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors
n3dv,segment_rd,16,81,6,0.07407407407407407,0.033854166666666664,20,16.0,13 14 13 20 20,0 13 27 40 60 80,29.115198418521995,29.288681100123267,0.17348268160127134,28.997205583533553,29.184566879662913,0.18736129612936026,30.59010885587753,30.59010885587753,0.0,0.8879339930451946,0.8974027089130732,0.886681748231252,0.8969079613685608,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors
meetroom,uniform,4,81,21,0.25925925925925924,0.11848958333333333,4,4.0,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80,29.545145261528557,29.643505213208805,0.0983599516802478,28.875360995491146,29.008146930259482,0.13278593476833578,31.45881459306401,31.45881459306401,0.0,0.8983123008115792,0.9093653522891763,0.8927149067322413,0.9076365262269974,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/meetroom/stage25_best_anchor_adapter.safetensors
meetroom,segment_rd,4,81,21,0.25925925925925924,0.11848958333333333,6,4.0,5 5 6 4 2 3 5 6 4 4 6 6 2 2 2 2 2 3 5 6,0 5 10 16 20 22 25 30 36 40 44 50 56 58 60 62 64 66 69 74 80,29.41032247337492,29.50005889509631,0.08973642172139051,28.678214406602088,28.799358575925957,0.12114416932386973,31.502059807011587,31.502059807011587,0.0,0.8978700991030093,0.9088349828013668,0.8918502887090047,0.9066528817017873,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/meetroom/stage25_best_anchor_adapter.safetensors
meetroom,uniform,8,81,11,0.13580246913580246,0.062065972222222224,8,8.0,8 8 8 8 8 8 8 8 8 8,0 8 16 24 32 40 48 56 64 72 80,27.836636201042285,27.920280841013945,0.08364463997165927,27.26623587446192,27.36302467214341,0.09678879768149073,31.466456461099163,31.466456461099163,0.0,0.8845061792267693,0.897264685159848,0.8798230818339756,0.8945864958422525,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/meetroom/stage25_best_anchor_adapter.safetensors
meetroom,segment_rd,8,81,11,0.13580246913580246,0.062065972222222224,12,8.0,9 7 4 8 12 11 9 4 4 12,0 9 16 20 28 40 51 60 64 68 80,27.592744843306466,27.66126164821857,0.06851680491210388,26.981520544054007,27.060804275452295,0.07928373139828793,31.4823540203676,31.4823540203676,0.0,0.8823917162271193,0.8950555265685658,0.8773535634790148,0.8920074011598315,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/meetroom/stage25_best_anchor_adapter.safetensors
