sample,reference_gap,rate_mib_per_frame,selector_delta_adapter_all_psnr,selector_delta_adapter_middle_psnr,selector_delta_linear_all_psnr,selector_delta_linear_middle_psnr
driving,4,0.11848958333333333,-0.04081701674233429,-0.08122249036710372,-0.03790219910976589,-0.0772874865631401
driving,8,0.062065972222222224,-0.17610964099429793,-0.21006903285362455,-0.1642068833973127,-0.19629584191995875
driving,16,0.033854166666666664,-0.3701326258593731,-0.4024097767248733,-0.3630682665541016,-0.3947802686751736
meetroom,4,0.11848958333333333,-0.14344631811249542,-0.2087883543335245,-0.13482278815363813,-0.19714658888905845
meetroom,8,0.062065972222222224,-0.25901919279537466,-0.30222039669111567,-0.24389135773581927,-0.28471533040791286
meetroom,16,0.033854166666666664,-0.4515902929372686,-0.48782180927879537,-0.42165955298103697,-0.45549661012607245
n3dv,4,0.11848958333333333,0.020734923720947762,0.02170452108476084,0.014821645791627702,0.013721595880195281
n3dv,8,0.062065972222222224,0.009707321878057229,0.00956914383604257,0.010166534042639341,0.010100517912203344
n3dv,16,0.033854166666666664,0.16337144121226643,0.17505980150671618,0.14489329806932716,0.15510340691235314
robot,4,0.11870941558441558,0.07922042169743904,0.09803821429976622,0.08967393076799368,0.1121596212897984
robot,8,0.06529017857142858,-0.35994816705443,-0.41630651822905307,-0.3527992919187568,-0.4079661639041028
robot,16,0.03561282467532467,-0.9733259991599894,-1.0548727063961856,-0.9518484432426,-1.0315801457533809
