sample,reference_gap,rate_mib_per_frame,selector_delta_adapter_all_psnr,selector_delta_adapter_middle_psnr,selector_delta_linear_all_psnr,selector_delta_linear_middle_psnr
driving,4,0.11848958333333333,0.10271658333038047,0.11828421815953405,0.10044541376654337,0.11521813924836266
driving,8,0.062065972222222224,0.07420764607518393,0.07862427317779819,0.0717540626711326,0.07578512666739812
driving,16,0.033854166666666664,0.04696688605787713,0.047731645026328096,0.0447940421662274,0.04538497362334937
meetroom,4,0.11848958333333333,0.08472378864621177,0.09548642832174536,0.08528885143897114,0.09624926309196269
meetroom,8,0.062065972222222224,0.1634962721689739,0.17821243977365953,0.15623919779289963,0.16981496799563445
meetroom,16,0.033854166666666664,0.1456696036510401,0.15254014616091638,0.15031130383173164,0.15755318235606097
n3dv,4,0.11848958333333333,0.06615256078153564,0.08225455855895447,0.060684754962146314,0.07487302070279256
n3dv,8,0.062065972222222224,0.15626101230313694,0.17673748652441645,0.1501478831936609,0.16966372284060327
n3dv,16,0.033854166666666664,0.32445355363339345,0.34806274149884686,0.2950819892822558,0.3163414519996124
robot,4,0.11870941558441558,0.35480000997070604,0.47451667271218767,0.3506523749537891,0.46891372716301305
robot,8,0.06529017857142858,0.544173011655797,0.6282561146693126,0.5381032004213218,0.6211746682290809
robot,16,0.03561282467532467,0.3022023892144574,0.3245248763550457,0.30481294148945537,0.32735603868144736
