sample,method,reference_gap,total_frames,keyframe_count,indices,raw_path,zlib_path,raw_bitstream_bytes,zlib_bitstream_bytes,raw_mib_per_frame,zlib_mib_per_frame,zlib_savings_percent_vs_raw_bitstream,linear_all_psnr,adapter_all_psnr,delta_all_psnr,linear_middle_psnr,adapter_middle_psnr,delta_middle_psnr,linear_all_ssim,adapter_all_ssim,linear_middle_ssim,adapter_middle_ssim,max_roundtrip_abs_diff,mean_roundtrip_mse
n3dv,uniform,4,81,21,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage36_dense_oracle_actual_bitstream_rd/n3dv_uniform_gap4_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage36_dense_oracle_actual_bitstream_rd/n3dv_uniform_gap4_q8_zlib.mdfcgs,10076264,6643918,0.1186354837299865,0.07822387601122444,34.06367677543979,30.2620931976309,30.429613143857733,0.16751994622683242,30.150854934349642,30.377006861755877,0.22615192740623513,0.8999017793455242,0.9074298871888055,0.8986136794090271,0.9087766249974568,0.0,0.0
n3dv,dense_anchor_attr_oracle,4,81,21,0 2 4 7 11 15 20 26 31 35 39 43 47 50 57 61 64 68 73 77 80,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage36_dense_oracle_actual_bitstream_rd/n3dv_dense_anchor_attr_oracle_gap4_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage36_dense_oracle_actual_bitstream_rd/n3dv_dense_anchor_attr_oracle_gap4_q8_zlib.mdfcgs,10076276,6641946,0.11863562501507041,0.07820065816243489,34.0833260224313,30.322777952593047,30.49576570463927,0.17298775204622174,30.225727955052434,30.45926142031483,0.23353346526239704,0.9004396553392764,0.907992101745841,0.8993032495180766,0.9094990521669388,0.0,0.0
n3dv,uniform,8,81,11,0 8 16 24 32 40 48 56 64 72 80,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage36_dense_oracle_actual_bitstream_rd/n3dv_uniform_gap8_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage36_dense_oracle_actual_bitstream_rd/n3dv_uniform_gap8_q8_zlib.mdfcgs,5278092,3479514,0.06214297259295428,0.040966952288592304,34.07629120523098,29.759978379903007,29.938123059399317,0.17814467949630952,29.63093140939672,29.837070252813888,0.20613884341716826,0.8947084362124219,0.9034850590022994,0.8933116836207253,0.9034674899918692,0.0,0.0
n3dv,dense_anchor_attr_oracle,8,81,11,0 3 9 23 33 42 50 59 67 75 80,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage36_dense_oracle_actual_bitstream_rd/n3dv_dense_anchor_attr_oracle_gap8_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage36_dense_oracle_actual_bitstream_rd/n3dv_dense_anchor_attr_oracle_gap8_q8_zlib.mdfcgs,5278100,3479202,0.06214306678301022,0.04096327887641059,34.08230234364639,29.910126263096668,30.094384071702454,0.18425780860578556,29.800595132237323,30.013807739338304,0.21321260710098144,0.8959118510469978,0.9046825067496594,0.8946664503642491,0.9048153519630432,0.0,0.0
n3dv,uniform,16,81,6,0 16 32 48 64 80,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage36_dense_oracle_actual_bitstream_rd/n3dv_uniform_gap16_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage36_dense_oracle_actual_bitstream_rd/n3dv_uniform_gap16_q8_zlib.mdfcgs,2879016,1897841,0.0338968347620081,0.022344718744725357,34.080220464214165,28.970305120452668,29.125309658911,0.15500453845833206,28.8421021766212,29.009507078156197,0.1674049015349972,0.8866919492497857,0.8960152746718607,0.885352128346761,0.8954213198026021,0.0,0.0
n3dv,dense_anchor_attr_oracle,16,81,6,0 9 23 37 59 80,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage36_dense_oracle_actual_bitstream_rd/n3dv_dense_anchor_attr_oracle_gap16_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage36_dense_oracle_actual_bitstream_rd/n3dv_dense_anchor_attr_oracle_gap16_q8_zlib.mdfcgs,2879018,1897606,0.03389685830952209,0.02234195191183208,34.08842876286289,29.265387109734924,29.449763212544394,0.1843761028094697,29.158443628620812,29.357569819655044,0.19912619103423168,0.8891758808383236,0.8987261020107034,0.8880088480313619,0.8983230868975322,0.0,0.0
meetroom,uniform,4,81,21,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage36_dense_oracle_actual_bitstream_rd/meetroom_uniform_gap4_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage36_dense_oracle_actual_bitstream_rd/meetroom_uniform_gap4_q8_zlib.mdfcgs,10076188,6478461,0.11863458892445505,0.07627582550048828,35.70523892567308,29.545145261528557,29.643505213208805,0.0983599516802478,28.875360995491146,29.008146930259482,0.13278593476833578,0.8983123008115792,0.9093653522891763,0.8927149067322413,0.9076365262269974,0.0,0.0
meetroom,dense_anchor_attr_oracle,4,81,21,0 3 7 11 15 19 23 26 30 36 41 45 49 54 58 61 64 68 72 76 80,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage36_dense_oracle_actual_bitstream_rd/meetroom_dense_anchor_attr_oracle_gap4_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage36_dense_oracle_actual_bitstream_rd/meetroom_dense_anchor_attr_oracle_gap4_q8_zlib.mdfcgs,10076178,6478139,0.11863447118688512,0.07627203435073664,35.70837077312449,29.630434112967528,29.728229001855016,0.09779488888748844,28.97161025858311,29.103633358581227,0.13202309999811845,0.8994844342455451,0.9104618739198755,0.8939940909544627,0.9088136345148087,0.0,0.0
meetroom,uniform,8,81,11,0 8 16 24 32 40 48 56 64 72 80,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage36_dense_oracle_actual_bitstream_rd/meetroom_uniform_gap8_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage36_dense_oracle_actual_bitstream_rd/meetroom_uniform_gap8_q8_zlib.mdfcgs,5278052,3394304,0.062142501642674576,0.039963710455246916,35.6902129800919,27.836636201042285,27.920280841013945,0.08364463997165927,27.26623587446192,27.36302467214341,0.09678879768149073,0.8845061792267693,0.897264685159848,0.8798230818339756,0.8945864958422525,0.0,0.0
meetroom,dense_anchor_attr_oracle,8,81,11,0 6 15 22 31 38 47 55 61 71 80,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage36_dense_oracle_actual_bitstream_rd/meetroom_dense_anchor_attr_oracle_gap8_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage36_dense_oracle_actual_bitstream_rd/meetroom_dense_anchor_attr_oracle_gap8_q8_zlib.mdfcgs,5278039,3392213,0.06214234858383367,0.03993909152937524,35.72967156930822,27.992875398835185,28.08377711318292,0.09090171434773353,27.436050842457554,27.54123711191707,0.10518626945951581,0.8856872901504422,0.8983653643984854,0.881015477010182,0.8956858200686318,0.0,0.0
