sample,reference_gap,rate_kind,uniform_rate_mib_per_frame,oracle_rate_mib_per_frame,rate_delta_mib_per_frame,selector_delta_adapter_all_psnr,selector_delta_adapter_middle_psnr
driving,4,raw_mib_per_frame,0.11863334090621383,0.11863254029073833,-8.006154754991446e-07,0.10271658333038047,0.11828421815953405
driving,8,raw_mib_per_frame,0.06214206601366585,0.06214140668327426,-6.593303915891635e-07,0.07420764607518393,0.07862427317779819
driving,16,raw_mib_per_frame,0.033896198979130494,0.03389622252664448,2.354751398730981e-08,0.04696688605787713,0.047731645026328096
meetroom,4,raw_mib_per_frame,0.11863458892445505,0.11863447118688512,-1.1773756992961015e-07,0.08472378864621177,0.09548642832174536
meetroom,8,raw_mib_per_frame,0.062142501642674576,0.06214234858383367,-1.5305884090710542e-07,0.1634962721689739,0.17821243977365953
meetroom,16,raw_mib_per_frame,0.03389637558548539,0.03389648154929832,1.059638129324858e-07,0.1456696036510401,0.15254014616091638
n3dv,4,raw_mib_per_frame,0.1186354837299865,0.11863562501507041,1.4128508390998107e-07,0.06615256078153564,0.08225455855895447
n3dv,8,raw_mib_per_frame,0.06214297259295428,0.06214306678301022,9.419005594230034e-08,0.15626101230313694,0.17673748652441645
n3dv,16,raw_mib_per_frame,0.0338968347620081,0.03389685830952209,2.354751398730981e-08,0.32445355363339345,0.34806274149884686
robot,4,raw_mib_per_frame,0.11885509243259182,0.11885526582792208,1.7339533026072829e-07,0.35480000997070604,0.47451667271218767
robot,8,raw_mib_per_frame,0.06537104272223138,0.06537093125380479,-1.1146842658626976e-07,0.544173011655797,0.6282561146693126
robot,16,raw_mib_per_frame,0.035657684524337964,0.03565742443134258,-2.6009299538415354e-07,0.3022023892144574,0.3245248763550457
