sample,reference_gap,rate_kind,uniform_rate_mib_per_frame,oracle_rate_mib_per_frame,rate_delta_mib_per_frame,selector_delta_adapter_all_psnr,selector_delta_adapter_middle_psnr
driving,4,zlib_mib_per_frame,0.07539344128267264,0.07552927511709707,0.0001358338344244342,0.10271658333038047,0.11828421815953405
driving,8,zlib_mib_per_frame,0.03951131561656057,0.03949856463773751,-1.2750978823063142e-05,0.07420764607518393,0.07862427317779819
driving,16,zlib_mib_per_frame,0.021581579137731483,0.02155524124333888,-2.6337894392602923e-05,0.04696688605787713,0.047731645026328096
meetroom,4,zlib_mib_per_frame,0.07627582550048828,0.07627203435073664,-3.791149751644629e-06,0.08472378864621177,0.09548642832174536
meetroom,8,zlib_mib_per_frame,0.039963710455246916,0.03993909152937524,-2.4618925871675024e-05,0.1634962721689739,0.17821243977365953
meetroom,16,zlib_mib_per_frame,0.021798345777723525,0.021799264130768953,9.183530454287547e-07,0.1456696036510401,0.15254014616091638
n3dv,4,zlib_mib_per_frame,0.07822387601122444,0.07820065816243489,-2.3217848789544582e-05,0.06615256078153564,0.08225455855895447
n3dv,8,zlib_mib_per_frame,0.040966952288592304,0.04096327887641059,-3.673412181715019e-06,0.15626101230313694,0.17673748652441645
n3dv,16,zlib_mib_per_frame,0.022344718744725357,0.02234195191183208,-2.7668328932764497e-06,0.32445355363339345,0.34806274149884686
robot,4,zlib_mib_per_frame,0.07977967448048777,0.07970520118614297,-7.447329434480399e-05,0.35480000997070604,0.47451667271218767
robot,8,zlib_mib_per_frame,0.04393036334545582,0.04386477036909624,-6.559297635957972e-05,0.544173011655797,0.6282561146693126
robot,16,zlib_mib_per_frame,0.023968275491293375,0.023978542971920657,1.0267480627282333e-05,0.3022023892144574,0.3245248763550457
