sample,method,reference_gap,selector_cost,total_frames,keyframe_count,keyframe_ratio,estimated_q8_static_mib_per_frame,max_segment_length,mean_segment_length,segment_lengths,indices,linear_all_psnr,adapter_all_psnr,delta_all_psnr,linear_middle_psnr,adapter_middle_psnr,delta_middle_psnr,linear_given_psnr,adapter_given_psnr,delta_given_psnr,linear_all_ssim,adapter_all_ssim,linear_middle_ssim,adapter_middle_ssim,checkpoint
n3dv,uniform,4,,81,21,0.25925925925925924,0.11848958333333333,4,4.0,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80,30.2620931976309,30.429613143857733,0.16751994622683242,30.150854934349642,30.377006861755877,0.22615192740623513,30.579916807005898,30.579916807005898,0.0,0.8999017793455242,0.9074298871888055,0.8986136794090271,0.9087766249974568,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors
n3dv,length_only_ridge,4,0.12405397605620179,81,21,0.25925925925925924,0.11848958333333333,4,4.0,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80,30.2620931976309,30.429613143857733,0.16751994622683242,30.150854934349642,30.377006861755877,0.22615192740623513,30.579916807005898,30.579916807005898,0.0,0.8999017793455242,0.9074298871888055,0.8986136794090271,0.9087766249974568,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors
n3dv,full_feature_ridge,4,0.03346422960766436,81,21,0.25925925925925924,0.11848958333333333,8,4.0,5 2 3 2 2 2 3 2 2 3 3 3 6 6 3 8 6 6 5 8,0 5 7 10 12 14 16 19 21 23 26 29 32 38 44 47 55 61 67 72 80,30.06039758573624,30.219281969499498,0.15888438376325809,29.873769651852985,30.088263569933396,0.21449391808041085,30.59362025397409,30.59362025397409,0.0,0.8979820667961498,0.9054931880515299,0.8959882408380508,0.906128254532814,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors
n3dv,uniform,8,,81,11,0.13580246913580246,0.062065972222222224,8,8.0,8 8 8 8 8 8 8 8 8 8,0 8 16 24 32 40 48 56 64 72 80,29.759978379903007,29.938123059399317,0.17814467949630952,29.63093140939672,29.837070252813888,0.20613884341716826,30.5811863740339,30.5811863740339,0.0,0.8947084362124219,0.9034850590022994,0.8933116836207253,0.9034674899918692,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors
n3dv,length_only_ridge,8,0.1033366435598858,81,11,0.13580246913580246,0.062065972222222224,8,8.0,8 8 8 8 8 8 8 8 8 8,0 8 16 24 32 40 48 56 64 72 80,29.759978379903007,29.938123059399317,0.17814467949630952,29.63093140939672,29.837070252813888,0.20613884341716826,30.5811863740339,30.5811863740339,0.0,0.8947084362124219,0.9034850590022994,0.8933116836207253,0.9034674899918692,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors
n3dv,full_feature_ridge,8,0.02593385205781387,81,11,0.13580246913580246,0.062065972222222224,11,8.0,7 7 6 9 9 8 9 6 11 8,0 7 14 20 29 38 46 55 61 72 80,29.678409345928376,29.85784470661027,0.17943536068189303,29.53393983987091,29.74157218580282,0.20763234593190916,30.597760748112247,30.597760748112247,0.0,0.8942357662283344,0.9030505507080643,0.8927222652094705,0.9029222301074437,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors
n3dv,uniform,16,,81,6,0.07407407407407407,0.033854166666666664,16,16.0,16 16 16 16 16,0 16 32 48 64 80,28.970305120452668,29.125309658911,0.15500453845833206,28.8421021766212,29.009507078156197,0.1674049015349972,30.572841918346004,30.572841918346004,0.0,0.8866919492497857,0.8960152746718607,0.885352128346761,0.8954213198026021,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors
n3dv,length_only_ridge,16,0.1434074365298234,81,6,0.07407407407407407,0.033854166666666664,16,16.0,16 16 16 16 16,0 16 32 48 64 80,28.970305120452668,29.125309658911,0.15500453845833206,28.8421021766212,29.009507078156197,0.1674049015349972,30.572841918346004,30.572841918346004,0.0,0.8866919492497857,0.8960152746718607,0.885352128346761,0.8954213198026021,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors
n3dv,full_feature_ridge,16,0.029954499082587245,81,6,0.07407407407407407,0.033854166666666664,19,16.0,14 17 15 15 19,0 14 31 46 61 80,29.0365653822557,29.200504145380965,0.163938763125266,28.91217741898948,29.089231283164768,0.17705386417528857,30.591414923083423,30.591414923083423,0.0,0.8875218909463765,0.8968714637520873,0.8862068939208985,0.8963044325510661,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors
meetroom,uniform,4,,81,21,0.25925925925925924,0.11848958333333333,4,4.0,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80,29.545145261528557,29.643505213208805,0.0983599516802478,28.875360995491146,29.008146930259482,0.13278593476833578,31.45881459306401,31.45881459306401,0.0,0.8983123008115792,0.9093653522891763,0.8927149067322413,0.9076365262269974,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/meetroom/stage25_best_anchor_adapter.safetensors
