sample,reference_gap,method,selector_delta_adapter_all_psnr,selector_delta_adapter_middle_psnr,selector_delta_linear_all_psnr,selector_delta_linear_middle_psnr
driving,4,length_only_ridge,0.0,0.0,0.0,0.0
driving,4,full_feature_ridge,-0.3530864337428845,-0.47948508157700687,-0.3534395629097915,-0.47996180595233184
driving,8,length_only_ridge,0.0,0.0,0.0,0.0
driving,8,full_feature_ridge,-0.14366823356741065,-0.16443416074139705,-0.14376392828098616,-0.164544893195675
driving,16,length_only_ridge,0.0,0.0,0.0,0.0
driving,16,full_feature_ridge,-0.20518970069426956,-0.22477848912996024,-0.19222078724250125,-0.21077206260205017
meetroom,4,length_only_ridge,0.0,0.0,0.0,0.0
meetroom,4,full_feature_ridge,-0.3046116797225409,-0.42917242090694074,-0.2976268253862173,-0.41974286755289825
meetroom,8,length_only_ridge,0.0,0.0,0.0,0.0
meetroom,8,full_feature_ridge,-0.16616633243249268,-0.20063122832226554,-0.1618531037205173,-0.19564020652698133
meetroom,16,length_only_ridge,0.0,0.0,0.0,0.0
meetroom,16,full_feature_ridge,-0.08341173762906351,-0.09271309410572215,-0.07447832281606992,-0.08306500610769163
n3dv,4,length_only_ridge,0.0,0.0,0.0,0.0
n3dv,4,full_feature_ridge,-0.21033117435823456,-0.28874329182248104,-0.20169561189466023,-0.27708528249665676
n3dv,8,length_only_ridge,0.0,0.0,0.0,0.0
n3dv,8,full_feature_ridge,-0.0802783527890476,-0.09549806701106789,-0.08156903397463111,-0.09699156952580879
n3dv,16,length_only_ridge,0.0,0.0,0.0,0.0
n3dv,16,full_feature_ridge,0.07519448646996452,0.07972420500857069,0.06626026180303057,0.07007524236827933
robot,4,length_only_ridge,0.0,0.0,0.0,0.0
robot,4,full_feature_ridge,-0.6809313015145442,-0.9319077424381454,-0.660593980367544,-0.9044345191343126
robot,8,length_only_ridge,-0.03765436281955914,-0.037085724275979004,-0.03375879307295904,-0.03254089290494022
robot,8,full_feature_ridge,-0.5902807594641111,-0.7049680607853404,-0.5706992908701807,-0.6821230140924222
robot,16,length_only_ridge,-0.3857680749438721,-0.4210539440496923,-0.3753188188037129,-0.40972165217938894
robot,16,full_feature_ridge,-0.7659757771531019,-0.8371986761968842,-0.7532585650114818,-0.8234067700714789
