method,sample,frame_gap,keyframe_count,keyframe_ratio,profile,codec,opacity_threshold,gaussians_kept,gaussian_keep_ratio,total_transmitted_mib,avg_transmitted_mib_per_frame,all_psnr_avg,all_ssim_avg,middle_psnr_avg,middle_ssim_avg,given_psnr_avg,given_ssim_avg,rate_note,quality_note
Mono-DFCGS uniform keyframe Gaussian,n3dv,2,41,0.5061728395061729,static_anchor,q8,0.0,1511424,1.0,18.73828125,0.23133680555555555,34.00257984969773,0.9667736291885376,33.58964491875268,0.9639030694961548,34.4054431969612,0.9695740938186646,Only transmitted keyframe Gaussian anchor payload is counted; decoder-generated intermediate Gaussians are excluded.,Quality comes from StreamSplat sparse-keyframe reconstruction at the same uniform gap.
Mono-DFCGS uniform keyframe Gaussian,meetroom,2,41,0.5061728395061729,static_anchor,q8,0.0,1511424,1.0,18.73828125,0.23133680555555555,34.66535791745963,0.9765530824661255,33.18279796157019,0.9709575772285461,36.11175787442493,0.9820120334625244,Only transmitted keyframe Gaussian anchor payload is counted; decoder-generated intermediate Gaussians are excluded.,Quality comes from StreamSplat sparse-keyframe reconstruction at the same uniform gap.
Mono-DFCGS uniform keyframe Gaussian,driving,2,41,0.5061728395061729,static_anchor,q8,0.0,1511424,1.0,18.73828125,0.23133680555555555,32.778024459768886,0.8955454230308533,28.529482820419226,0.8216785192489624,36.92294313230514,0.9676105976104736,Only transmitted keyframe Gaussian anchor payload is counted; decoder-generated intermediate Gaussians are excluded.,Quality comes from StreamSplat sparse-keyframe reconstruction at the same uniform gap.
Mono-DFCGS uniform keyframe Gaussian,robot,2,39,0.5064935064935064,static_anchor,q8,0.0,1437696,1.0,17.82421875,0.2314833603896104,30.368206570533545,0.9119219183921814,24.683640073609688,0.8551043272018433,35.90701495215166,0.9672828316688538,Only transmitted keyframe Gaussian anchor payload is counted; decoder-generated intermediate Gaussians are excluded.,Quality comes from StreamSplat sparse-keyframe reconstruction at the same uniform gap.
Mono-DFCGS uniform keyframe Gaussian,n3dv,4,21,0.25925925925925924,static_anchor,q8,0.0,774144,1.0,9.59765625,0.11848958333333333,33.396097125883884,0.9628844857215881,33.05214751501394,0.9606038331985474,34.37881029979802,0.9694005846977234,Only transmitted keyframe Gaussian anchor payload is counted; decoder-generated intermediate Gaussians are excluded.,Quality comes from StreamSplat sparse-keyframe reconstruction at the same uniform gap.
Mono-DFCGS uniform keyframe Gaussian,meetroom,4,21,0.25925925925925924,static_anchor,q8,0.0,774144,1.0,9.59765625,0.11848958333333333,32.426306907565184,0.9657658934593201,31.16402283676168,0.9601770639419556,36.03283282414661,0.9817337989807129,Only transmitted keyframe Gaussian anchor payload is counted; decoder-generated intermediate Gaussians are excluded.,Quality comes from StreamSplat sparse-keyframe reconstruction at the same uniform gap.
Mono-DFCGS uniform keyframe Gaussian,driving,4,21,0.25925925925925924,static_anchor,q8,0.0,774144,1.0,9.59765625,0.11848958333333333,30.19499361377901,0.8423253893852234,27.8361707040232,0.7984945774078369,36.934487641652744,0.967556357383728,Only transmitted keyframe Gaussian anchor payload is counted; decoder-generated intermediate Gaussians are excluded.,Quality comes from StreamSplat sparse-keyframe reconstruction at the same uniform gap.
Mono-DFCGS uniform keyframe Gaussian,robot,4,20,0.2597402597402597,static_anchor,q8,0.0,737280,1.0,9.140625,0.11870941558441558,26.48952270103011,0.8638617992401123,23.178616842028035,0.8275270462036133,35.92560439918602,0.9674158096313477,Only transmitted keyframe Gaussian anchor payload is counted; decoder-generated intermediate Gaussians are excluded.,Quality comes from StreamSplat sparse-keyframe reconstruction at the same uniform gap.
Mono-DFCGS uniform keyframe Gaussian,n3dv,8,11,0.13580246913580246,static_anchor,q8,0.0,405504,1.0,5.02734375,0.062065972222222224,32.50256187885475,0.9579448699951172,32.20737553635098,0.9561402201652527,34.381020422060516,0.9694285988807678,Only transmitted keyframe Gaussian anchor payload is counted; decoder-generated intermediate Gaussians are excluded.,Quality comes from StreamSplat sparse-keyframe reconstruction at the same uniform gap.
Mono-DFCGS uniform keyframe Gaussian,meetroom,8,11,0.13580246913580246,static_anchor,q8,0.0,405504,1.0,5.02734375,0.062065972222222224,29.688134084369025,0.9497024416923523,28.687150691679037,0.9446645379066467,36.05802840148719,0.981762170791626,Only transmitted keyframe Gaussian anchor payload is counted; decoder-generated intermediate Gaussians are excluded.,Quality comes from StreamSplat sparse-keyframe reconstruction at the same uniform gap.
