method,sample,frame_gap,keyframe_count,keyframe_ratio,profile,codec,opacity_threshold,gaussians_kept,gaussian_keep_ratio,total_transmitted_mib,avg_transmitted_mib_per_frame,all_psnr_avg,all_ssim_avg,middle_psnr_avg,middle_ssim_avg,given_psnr_avg,given_ssim_avg,rate_note,quality_note
Mono-DFCGS uniform keyframe Gaussian,n3dv,2,41,0.5061728395061729,static_anchor,float32,0.0,1511424,1.0,74.953125,0.9253472222222222,34.00257984969773,0.9667736291885376,33.58964491875268,0.9639030694961548,34.4054431969612,0.9695740938186646,Only transmitted keyframe Gaussian anchor payload is counted; decoder-generated intermediate Gaussians are excluded.,Quality comes from StreamSplat sparse-keyframe reconstruction at the same uniform gap.
Mono-DFCGS uniform keyframe Gaussian,n3dv,2,41,0.5061728395061729,static_anchor,float16,0.0,1511424,1.0,37.4765625,0.4626736111111111,34.00257984969773,0.9667736291885376,33.58964491875268,0.9639030694961548,34.4054431969612,0.9695740938186646,Only transmitted keyframe Gaussian anchor payload is counted; decoder-generated intermediate Gaussians are excluded.,Quality comes from StreamSplat sparse-keyframe reconstruction at the same uniform gap.
Mono-DFCGS uniform keyframe Gaussian,n3dv,2,41,0.5061728395061729,static_anchor,q8,0.0,1511424,1.0,18.73828125,0.23133680555555555,34.00257984969773,0.9667736291885376,33.58964491875268,0.9639030694961548,34.4054431969612,0.9695740938186646,Only transmitted keyframe Gaussian anchor payload is counted; decoder-generated intermediate Gaussians are excluded.,Quality comes from StreamSplat sparse-keyframe reconstruction at the same uniform gap.
Mono-DFCGS uniform keyframe Gaussian,n3dv,2,41,0.5061728395061729,static_anchor,q6,0.0,1511424,1.0,14.0537109375,0.17350260416666666,34.00257984969773,0.9667736291885376,33.58964491875268,0.9639030694961548,34.4054431969612,0.9695740938186646,Only transmitted keyframe Gaussian anchor payload is counted; decoder-generated intermediate Gaussians are excluded.,Quality comes from StreamSplat sparse-keyframe reconstruction at the same uniform gap.
Mono-DFCGS uniform keyframe Gaussian,n3dv,2,41,0.5061728395061729,static_anchor,q4,0.0,1511424,1.0,9.369140625,0.11566840277777778,34.00257984969773,0.9667736291885376,33.58964491875268,0.9639030694961548,34.4054431969612,0.9695740938186646,Only transmitted keyframe Gaussian anchor payload is counted; decoder-generated intermediate Gaussians are excluded.,Quality comes from StreamSplat sparse-keyframe reconstruction at the same uniform gap.
Mono-DFCGS uniform keyframe Gaussian,n3dv,2,41,0.5061728395061729,static_anchor,float32,0.05,1511424,1.0,74.953125,0.9253472222222222,34.00257984969773,0.9667736291885376,33.58964491875268,0.9639030694961548,34.4054431969612,0.9695740938186646,Only transmitted keyframe Gaussian anchor payload is counted; decoder-generated intermediate Gaussians are excluded.,Quality comes from StreamSplat sparse-keyframe reconstruction at the same uniform gap.
Mono-DFCGS uniform keyframe Gaussian,n3dv,2,41,0.5061728395061729,static_anchor,float16,0.05,1511424,1.0,37.4765625,0.4626736111111111,34.00257984969773,0.9667736291885376,33.58964491875268,0.9639030694961548,34.4054431969612,0.9695740938186646,Only transmitted keyframe Gaussian anchor payload is counted; decoder-generated intermediate Gaussians are excluded.,Quality comes from StreamSplat sparse-keyframe reconstruction at the same uniform gap.
Mono-DFCGS uniform keyframe Gaussian,n3dv,2,41,0.5061728395061729,static_anchor,q8,0.05,1511424,1.0,18.73828125,0.23133680555555555,34.00257984969773,0.9667736291885376,33.58964491875268,0.9639030694961548,34.4054431969612,0.9695740938186646,Only transmitted keyframe Gaussian anchor payload is counted; decoder-generated intermediate Gaussians are excluded.,Quality comes from StreamSplat sparse-keyframe reconstruction at the same uniform gap.
Mono-DFCGS uniform keyframe Gaussian,n3dv,2,41,0.5061728395061729,static_anchor,q6,0.05,1511424,1.0,14.0537109375,0.17350260416666666,34.00257984969773,0.9667736291885376,33.58964491875268,0.9639030694961548,34.4054431969612,0.9695740938186646,Only transmitted keyframe Gaussian anchor payload is counted; decoder-generated intermediate Gaussians are excluded.,Quality comes from StreamSplat sparse-keyframe reconstruction at the same uniform gap.
Mono-DFCGS uniform keyframe Gaussian,n3dv,2,41,0.5061728395061729,static_anchor,q4,0.05,1511424,1.0,9.369140625,0.11566840277777778,34.00257984969773,0.9667736291885376,33.58964491875268,0.9639030694961548,34.4054431969612,0.9695740938186646,Only transmitted keyframe Gaussian anchor payload is counted; decoder-generated intermediate Gaussians are excluded.,Quality comes from StreamSplat sparse-keyframe reconstruction at the same uniform gap.
Mono-DFCGS uniform keyframe Gaussian,n3dv,2,41,0.5061728395061729,static_anchor,float32,0.1,1511424,1.0,74.953125,0.9253472222222222,34.00257984969773,0.9667736291885376,33.58964491875268,0.9639030694961548,34.4054431969612,0.9695740938186646,Only transmitted keyframe Gaussian anchor payload is counted; decoder-generated intermediate Gaussians are excluded.,Quality comes from StreamSplat sparse-keyframe reconstruction at the same uniform gap.
Mono-DFCGS uniform keyframe Gaussian,n3dv,2,41,0.5061728395061729,static_anchor,float16,0.1,1511424,1.0,37.4765625,0.4626736111111111,34.00257984969773,0.9667736291885376,33.58964491875268,0.9639030694961548,34.4054431969612,0.9695740938186646,Only transmitted keyframe Gaussian anchor payload is counted; decoder-generated intermediate Gaussians are excluded.,Quality comes from StreamSplat sparse-keyframe reconstruction at the same uniform gap.
Mono-DFCGS uniform keyframe Gaussian,n3dv,2,41,0.5061728395061729,static_anchor,q8,0.1,1511424,1.0,18.73828125,0.23133680555555555,34.00257984969773,0.9667736291885376,33.58964491875268,0.9639030694961548,34.4054431969612,0.9695740938186646,Only transmitted keyframe Gaussian anchor payload is counted; decoder-generated intermediate Gaussians are excluded.,Quality comes from StreamSplat sparse-keyframe reconstruction at the same uniform gap.
Mono-DFCGS uniform keyframe Gaussian,n3dv,2,41,0.5061728395061729,static_anchor,q6,0.1,1511424,1.0,14.0537109375,0.17350260416666666,34.00257984969773,0.9667736291885376,33.58964491875268,0.9639030694961548,34.4054431969612,0.9695740938186646,Only transmitted keyframe Gaussian anchor payload is counted; decoder-generated intermediate Gaussians are excluded.,Quality comes from StreamSplat sparse-keyframe reconstruction at the same uniform gap.
Mono-DFCGS uniform keyframe Gaussian,n3dv,2,41,0.5061728395061729,static_anchor,q4,0.1,1511424,1.0,9.369140625,0.11566840277777778,34.00257984969773,0.9667736291885376,33.58964491875268,0.9639030694961548,34.4054431969612,0.9695740938186646,Only transmitted keyframe Gaussian anchor payload is counted; decoder-generated intermediate Gaussians are excluded.,Quality comes from StreamSplat sparse-keyframe reconstruction at the same uniform gap.
Mono-DFCGS uniform keyframe Gaussian,n3dv,2,41,0.5061728395061729,static_anchor,float32,0.2,1509829,0.9989447038025068,74.87402725219727,0.9243707068172502,34.00257984969773,0.9667736291885376,33.58964491875268,0.9639030694961548,34.4054431969612,0.9695740938186646,Only transmitted keyframe Gaussian anchor payload is counted; decoder-generated intermediate Gaussians are excluded.,Quality comes from StreamSplat sparse-keyframe reconstruction at the same uniform gap.
Mono-DFCGS uniform keyframe Gaussian,n3dv,2,41,0.5061728395061729,static_anchor,float16,0.2,1509829,0.9989447038025068,37.43701362609863,0.4621853534086251,34.00257984969773,0.9667736291885376,33.58964491875268,0.9639030694961548,34.4054431969612,0.9695740938186646,Only transmitted keyframe Gaussian anchor payload is counted; decoder-generated intermediate Gaussians are excluded.,Quality comes from StreamSplat sparse-keyframe reconstruction at the same uniform gap.
Mono-DFCGS uniform keyframe Gaussian,n3dv,2,41,0.5061728395061729,static_anchor,q8,0.2,1509829,0.9989447038025068,18.718506813049316,0.23109267670431255,34.00257984969773,0.9667736291885376,33.58964491875268,0.9639030694961548,34.4054431969612,0.9695740938186646,Only transmitted keyframe Gaussian anchor payload is counted; decoder-generated intermediate Gaussians are excluded.,Quality comes from StreamSplat sparse-keyframe reconstruction at the same uniform gap.
Mono-DFCGS uniform keyframe Gaussian,n3dv,2,41,0.5061728395061729,static_anchor,q6,0.2,1509829,0.9989447038025068,14.038895606994629,0.17331969885178555,34.00257984969773,0.9667736291885376,33.58964491875268,0.9639030694961548,34.4054431969612,0.9695740938186646,Only transmitted keyframe Gaussian anchor payload is counted; decoder-generated intermediate Gaussians are excluded.,Quality comes from StreamSplat sparse-keyframe reconstruction at the same uniform gap.
Mono-DFCGS uniform keyframe Gaussian,n3dv,2,41,0.5061728395061729,static_anchor,q4,0.2,1509829,0.9989447038025068,9.35926342010498,0.1155464619766047,34.00257984969773,0.9667736291885376,33.58964491875268,0.9639030694961548,34.4054431969612,0.9695740938186646,Only transmitted keyframe Gaussian anchor payload is counted; decoder-generated intermediate Gaussians are excluded.,Quality comes from StreamSplat sparse-keyframe reconstruction at the same uniform gap.
Mono-DFCGS uniform keyframe Gaussian,n3dv,2,41,0.5061728395061729,full_half_anchor,float32,0.0,1511424,1.0,126.84375,1.5659722222222223,34.00257984969773,0.9667736291885376,33.58964491875268,0.9639030694961548,34.4054431969612,0.9695740938186646,Only transmitted keyframe Gaussian anchor payload is counted; decoder-generated intermediate Gaussians are excluded.,Quality comes from StreamSplat sparse-keyframe reconstruction at the same uniform gap.
Mono-DFCGS uniform keyframe Gaussian,n3dv,2,41,0.5061728395061729,full_half_anchor,float16,0.0,1511424,1.0,63.421875,0.7829861111111112,34.00257984969773,0.9667736291885376,33.58964491875268,0.9639030694961548,34.4054431969612,0.9695740938186646,Only transmitted keyframe Gaussian anchor payload is counted; decoder-generated intermediate Gaussians are excluded.,Quality comes from StreamSplat sparse-keyframe reconstruction at the same uniform gap.
Mono-DFCGS uniform keyframe Gaussian,n3dv,2,41,0.5061728395061729,full_half_anchor,q8,0.0,1511424,1.0,31.7109375,0.3914930555555556,34.00257984969773,0.9667736291885376,33.58964491875268,0.9639030694961548,34.4054431969612,0.9695740938186646,Only transmitted keyframe Gaussian anchor payload is counted; decoder-generated intermediate Gaussians are excluded.,Quality comes from StreamSplat sparse-keyframe reconstruction at the same uniform gap.
Mono-DFCGS uniform keyframe Gaussian,n3dv,2,41,0.5061728395061729,full_half_anchor,q6,0.0,1511424,1.0,23.783203125,0.2936197916666667,34.00257984969773,0.9667736291885376,33.58964491875268,0.9639030694961548,34.4054431969612,0.9695740938186646,Only transmitted keyframe Gaussian anchor payload is counted; decoder-generated intermediate Gaussians are excluded.,Quality comes from StreamSplat sparse-keyframe reconstruction at the same uniform gap.
Mono-DFCGS uniform keyframe Gaussian,n3dv,2,41,0.5061728395061729,full_half_anchor,q4,0.0,1511424,1.0,15.85546875,0.1957465277777778,34.00257984969773,0.9667736291885376,33.58964491875268,0.9639030694961548,34.4054431969612,0.9695740938186646,Only transmitted keyframe Gaussian anchor payload is counted; decoder-generated intermediate Gaussians are excluded.,Quality comes from StreamSplat sparse-keyframe reconstruction at the same uniform gap.
Mono-DFCGS uniform keyframe Gaussian,n3dv,2,41,0.5061728395061729,full_half_anchor,float32,0.05,1511424,1.0,126.84375,1.5659722222222223,34.00257984969773,0.9667736291885376,33.58964491875268,0.9639030694961548,34.4054431969612,0.9695740938186646,Only transmitted keyframe Gaussian anchor payload is counted; decoder-generated intermediate Gaussians are excluded.,Quality comes from StreamSplat sparse-keyframe reconstruction at the same uniform gap.
Mono-DFCGS uniform keyframe Gaussian,n3dv,2,41,0.5061728395061729,full_half_anchor,float16,0.05,1511424,1.0,63.421875,0.7829861111111112,34.00257984969773,0.9667736291885376,33.58964491875268,0.9639030694961548,34.4054431969612,0.9695740938186646,Only transmitted keyframe Gaussian anchor payload is counted; decoder-generated intermediate Gaussians are excluded.,Quality comes from StreamSplat sparse-keyframe reconstruction at the same uniform gap.
Mono-DFCGS uniform keyframe Gaussian,n3dv,2,41,0.5061728395061729,full_half_anchor,q8,0.05,1511424,1.0,31.7109375,0.3914930555555556,34.00257984969773,0.9667736291885376,33.58964491875268,0.9639030694961548,34.4054431969612,0.9695740938186646,Only transmitted keyframe Gaussian anchor payload is counted; decoder-generated intermediate Gaussians are excluded.,Quality comes from StreamSplat sparse-keyframe reconstruction at the same uniform gap.
Mono-DFCGS uniform keyframe Gaussian,n3dv,2,41,0.5061728395061729,full_half_anchor,q6,0.05,1511424,1.0,23.783203125,0.2936197916666667,34.00257984969773,0.9667736291885376,33.58964491875268,0.9639030694961548,34.4054431969612,0.9695740938186646,Only transmitted keyframe Gaussian anchor payload is counted; decoder-generated intermediate Gaussians are excluded.,Quality comes from StreamSplat sparse-keyframe reconstruction at the same uniform gap.
Mono-DFCGS uniform keyframe Gaussian,n3dv,2,41,0.5061728395061729,full_half_anchor,q4,0.05,1511424,1.0,15.85546875,0.1957465277777778,34.00257984969773,0.9667736291885376,33.58964491875268,0.9639030694961548,34.4054431969612,0.9695740938186646,Only transmitted keyframe Gaussian anchor payload is counted; decoder-generated intermediate Gaussians are excluded.,Quality comes from StreamSplat sparse-keyframe reconstruction at the same uniform gap.
Mono-DFCGS uniform keyframe Gaussian,n3dv,2,41,0.5061728395061729,full_half_anchor,float32,0.1,1511424,1.0,126.84375,1.5659722222222223,34.00257984969773,0.9667736291885376,33.58964491875268,0.9639030694961548,34.4054431969612,0.9695740938186646,Only transmitted keyframe Gaussian anchor payload is counted; decoder-generated intermediate Gaussians are excluded.,Quality comes from StreamSplat sparse-keyframe reconstruction at the same uniform gap.
Mono-DFCGS uniform keyframe Gaussian,n3dv,2,41,0.5061728395061729,full_half_anchor,float16,0.1,1511424,1.0,63.421875,0.7829861111111112,34.00257984969773,0.9667736291885376,33.58964491875268,0.9639030694961548,34.4054431969612,0.9695740938186646,Only transmitted keyframe Gaussian anchor payload is counted; decoder-generated intermediate Gaussians are excluded.,Quality comes from StreamSplat sparse-keyframe reconstruction at the same uniform gap.
Mono-DFCGS uniform keyframe Gaussian,n3dv,2,41,0.5061728395061729,full_half_anchor,q8,0.1,1511424,1.0,31.7109375,0.3914930555555556,34.00257984969773,0.9667736291885376,33.58964491875268,0.9639030694961548,34.4054431969612,0.9695740938186646,Only transmitted keyframe Gaussian anchor payload is counted; decoder-generated intermediate Gaussians are excluded.,Quality comes from StreamSplat sparse-keyframe reconstruction at the same uniform gap.
Mono-DFCGS uniform keyframe Gaussian,n3dv,2,41,0.5061728395061729,full_half_anchor,q6,0.1,1511424,1.0,23.783203125,0.2936197916666667,34.00257984969773,0.9667736291885376,33.58964491875268,0.9639030694961548,34.4054431969612,0.9695740938186646,Only transmitted keyframe Gaussian anchor payload is counted; decoder-generated intermediate Gaussians are excluded.,Quality comes from StreamSplat sparse-keyframe reconstruction at the same uniform gap.
Mono-DFCGS uniform keyframe Gaussian,n3dv,2,41,0.5061728395061729,full_half_anchor,q4,0.1,1511424,1.0,15.85546875,0.1957465277777778,34.00257984969773,0.9667736291885376,33.58964491875268,0.9639030694961548,34.4054431969612,0.9695740938186646,Only transmitted keyframe Gaussian anchor payload is counted; decoder-generated intermediate Gaussians are excluded.,Quality comes from StreamSplat sparse-keyframe reconstruction at the same uniform gap.
Mono-DFCGS uniform keyframe Gaussian,n3dv,2,41,0.5061728395061729,full_half_anchor,float32,0.2,1509829,0.9989447038025068,126.70989227294922,1.564319657690731,34.00257984969773,0.9667736291885376,33.58964491875268,0.9639030694961548,34.4054431969612,0.9695740938186646,Only transmitted keyframe Gaussian anchor payload is counted; decoder-generated intermediate Gaussians are excluded.,Quality comes from StreamSplat sparse-keyframe reconstruction at the same uniform gap.
Mono-DFCGS uniform keyframe Gaussian,n3dv,2,41,0.5061728395061729,full_half_anchor,float16,0.2,1509829,0.9989447038025068,63.35494613647461,0.7821598288453655,34.00257984969773,0.9667736291885376,33.58964491875268,0.9639030694961548,34.4054431969612,0.9695740938186646,Only transmitted keyframe Gaussian anchor payload is counted; decoder-generated intermediate Gaussians are excluded.,Quality comes from StreamSplat sparse-keyframe reconstruction at the same uniform gap.
Mono-DFCGS uniform keyframe Gaussian,n3dv,2,41,0.5061728395061729,full_half_anchor,q8,0.2,1509829,0.9989447038025068,31.677473068237305,0.39107991442268275,34.00257984969773,0.9667736291885376,33.58964491875268,0.9639030694961548,34.4054431969612,0.9695740938186646,Only transmitted keyframe Gaussian anchor payload is counted; decoder-generated intermediate Gaussians are excluded.,Quality comes from StreamSplat sparse-keyframe reconstruction at the same uniform gap.
Mono-DFCGS uniform keyframe Gaussian,n3dv,2,41,0.5061728395061729,full_half_anchor,q6,0.2,1509829,0.9989447038025068,23.7581148147583,0.2933100594414605,34.00257984969773,0.9667736291885376,33.58964491875268,0.9639030694961548,34.4054431969612,0.9695740938186646,Only transmitted keyframe Gaussian anchor payload is counted; decoder-generated intermediate Gaussians are excluded.,Quality comes from StreamSplat sparse-keyframe reconstruction at the same uniform gap.
Mono-DFCGS uniform keyframe Gaussian,n3dv,2,41,0.5061728395061729,full_half_anchor,q4,0.2,1509829,0.9989447038025068,15.838736534118652,0.19553995721134138,34.00257984969773,0.9667736291885376,33.58964491875268,0.9639030694961548,34.4054431969612,0.9695740938186646,Only transmitted keyframe Gaussian anchor payload is counted; decoder-generated intermediate Gaussians are excluded.,Quality comes from StreamSplat sparse-keyframe reconstruction at the same uniform gap.
Mono-DFCGS uniform keyframe Gaussian,meetroom,2,41,0.5061728395061729,static_anchor,float32,0.0,1511424,1.0,74.953125,0.9253472222222222,34.66535791745963,0.9765530824661255,33.18279796157019,0.9709575772285461,36.11175787442493,0.9820120334625244,Only transmitted keyframe Gaussian anchor payload is counted; decoder-generated intermediate Gaussians are excluded.,Quality comes from StreamSplat sparse-keyframe reconstruction at the same uniform gap.
Mono-DFCGS uniform keyframe Gaussian,meetroom,2,41,0.5061728395061729,static_anchor,float16,0.0,1511424,1.0,37.4765625,0.4626736111111111,34.66535791745963,0.9765530824661255,33.18279796157019,0.9709575772285461,36.11175787442493,0.9820120334625244,Only transmitted keyframe Gaussian anchor payload is counted; decoder-generated intermediate Gaussians are excluded.,Quality comes from StreamSplat sparse-keyframe reconstruction at the same uniform gap.
Mono-DFCGS uniform keyframe Gaussian,meetroom,2,41,0.5061728395061729,static_anchor,q8,0.0,1511424,1.0,18.73828125,0.23133680555555555,34.66535791745963,0.9765530824661255,33.18279796157019,0.9709575772285461,36.11175787442493,0.9820120334625244,Only transmitted keyframe Gaussian anchor payload is counted; decoder-generated intermediate Gaussians are excluded.,Quality comes from StreamSplat sparse-keyframe reconstruction at the same uniform gap.
