sample,reference_gap,method,selector_delta_adapter_all_psnr,selector_delta_adapter_middle_psnr,selector_delta_linear_all_psnr,selector_delta_linear_middle_psnr
driving,4,length_sample_z_rank,-0.4551164462652757,-0.6179831232561668,-0.4503405832081988,-0.6115357081291073
driving,4,full_sample_z_rank,-0.7630366364169383,-1.029231130413816,-0.7573423390368852,-1.021543828950751
driving,4,full_sample_z_zlog,-0.8447077281172568,-1.1334923891486817,-0.8311770068508793,-1.1152259154390727
driving,8,length_sample_z_rank,-0.23503769358993765,-0.2703696417723229,-0.22765326522761242,-0.261824803238774
driving,8,full_sample_z_rank,-0.9835701001770616,-1.144168519144575,-0.967165014064701,-1.1251854909288426
driving,8,full_sample_z_zlog,-0.9337101121608669,-1.0873202421653048,-0.9218038918380209,-1.0735430443631593
driving,16,length_sample_z_rank,-0.2947570697920767,-0.32299162690227945,-0.284523984294875,-0.3119398945652989
driving,16,full_sample_z_rank,-0.8983025559230029,-0.9656679725875286,-0.8808909643299501,-0.9468634536670208
driving,16,full_sample_z_zlog,-0.9159393371946116,-0.9937804078718528,-0.9004648015948113,-0.9770679094240649
meetroom,4,length_sample_z_rank,-0.27517764583190285,-0.38645507870520746,-0.26780616571090476,-0.3765035805418684
meetroom,4,full_sample_z_rank,-0.9044932757585329,-1.2501835052620152,-0.8832627178880124,-1.2215222521368112
meetroom,4,full_sample_z_zlog,-0.9813748752925271,-1.3610937451827283,-0.9605194845677758,-1.3329389677043082
meetroom,8,length_sample_z_rank,-1.0062461366379338,-1.1733202812675287,-0.975731175148379,-1.1380101115439025
meetroom,8,full_sample_z_rank,-1.0363113703155307,-1.2091331116893933,-1.0035899432434867,-1.17126974607746
meetroom,8,full_sample_z_zlog,-1.3120099550369275,-1.5296064989717593,-1.2804453625482815,-1.4930817562348935
meetroom,16,length_sample_z_rank,-0.9093080936268017,-0.9845459388297115,-0.8769223770852612,-0.949569364964848
meetroom,16,full_sample_z_rank,-1.1760867784328433,-1.2741834523451914,-1.1466045114666983,-1.2423426040217542
meetroom,16,full_sample_z_zlog,-1.1788097159421262,-1.2750111771698087,-1.1350041910574902,-1.2277012102944056
n3dv,4,length_sample_z_rank,-0.033151072589436836,-0.052172611090732346,-0.0360592632632013,-0.05609866850031153
n3dv,4,full_sample_z_rank,-0.3395254494875033,-0.4678162462579145,-0.3324412753415942,-0.45825261116092975
n3dv,4,full_sample_z_zlog,-0.3763862181524651,-0.5173882197266906,-0.3619708748094794,-0.497927506213653
n3dv,8,length_sample_z_rank,-0.21801800259632031,-0.25158746546363986,-0.20157112057424698,-0.232556073409512
n3dv,8,full_sample_z_rank,-0.5225940299431606,-0.6086008335852426,-0.5160470754095279,-0.6010250719105947
n3dv,8,full_sample_z_zlog,-0.5141696326793195,-0.598173056414371,-0.5042270792329333,-0.5866681017121067
n3dv,16,length_sample_z_rank,-0.22832560739579222,-0.249089715361702,-0.2284225192977445,-0.24919438021581897
n3dv,16,full_sample_z_rank,-0.48001286309899527,-0.5203844748468924,-0.4785612023612451,-0.5188166812501258
n3dv,16,full_sample_z_zlog,-0.405178343815372,-0.43951060420050325,-0.4063476700751174,-0.4407734765610165
robot,4,length_sample_z_rank,-0.6895053971213905,-0.8990197850648727,-0.6730123056609791,-0.8767396439692412
robot,4,full_sample_z_rank,-0.6053889858428114,-0.7573679948088525,-0.5919797797873478,-0.739253804172531
robot,4,full_sample_z_zlog,-0.636557319075802,-0.8324021536649795,-0.6247037366667776,-0.8163894195334969
robot,8,length_sample_z_rank,-0.28386912957194355,-0.33038043239155,-0.27402986829423526,-0.3189012942342302
robot,8,full_sample_z_rank,-0.8514635494108305,-0.9496274856348066,-0.8357169567268592,-0.9312564608368383
robot,8,full_sample_z_zlog,-1.2875917576146527,-1.504498461469776,-1.2562216067249032,-1.4678999520984028
robot,16,length_sample_z_rank,-1.4367324329135087,-1.5644406427435165,-1.4118248127902753,-1.5374281533140923
robot,16,full_sample_z_rank,-1.6146037968135047,-1.757635673251393,-1.5885708768016507,-1.7294027881681195
robot,16,full_sample_z_zlog,-1.5735267183297452,-1.7144389428746827,-1.5493686445787347,-1.6882393417644366
