sample,reference_gap,method,selector_delta_adapter_all_psnr,selector_delta_adapter_middle_psnr,selector_delta_linear_all_psnr,selector_delta_linear_middle_psnr
driving,4,full_sample_z_rank_prior_0p0,-0.7630366364169383,-1.029231130413816,-0.7573423390368852,-1.021543828950751
driving,4,full_sample_z_rank_prior_0p05,-0.4809380660209328,-0.6452894300563621,-0.47844214239258065,-0.6419199331580892
driving,4,full_sample_z_rank_prior_0p1,-0.3092867753990589,-0.39741316657705994,-0.3060055116831535,-0.3929834605606004
driving,4,full_sample_z_rank_prior_0p3,-0.11090464338088424,-0.1507298721780579,-0.11296858651654418,-0.15351619541120698
driving,4,full_sample_z_rank_prior_1p0,0.0,0.0,0.0,0.0
driving,4,full_sample_z_rank_prior_3p0,0.0,0.0,0.0,0.0
driving,4,full_sample_z_rank_prior_10p0,0.0,0.0,0.0,0.0
driving,8,full_sample_z_rank_prior_0p0,-0.9835701001770616,-1.144168519144575,-0.967165014064701,-1.1251854909288426
driving,8,full_sample_z_rank_prior_0p05,-0.34504794559877894,-0.39778452851441415,-0.3455343386758116,-0.39834735478925865
driving,8,full_sample_z_rank_prior_0p1,-0.17090703893880388,-0.1955837637522606,-0.1713884051218315,-0.19614077319262435
driving,8,full_sample_z_rank_prior_0p3,-0.07851264303664607,-0.09282492870590531,-0.07260602870776012,-0.0859901321253318
driving,8,full_sample_z_rank_prior_1p0,0.0,0.0,0.0,0.0
driving,8,full_sample_z_rank_prior_3p0,0.0,0.0,0.0,0.0
driving,8,full_sample_z_rank_prior_10p0,0.0,0.0,0.0,0.0
driving,16,full_sample_z_rank_prior_0p0,-0.8983025559230029,-0.9656679725875286,-0.8808909643299501,-0.9468634536670208
driving,16,full_sample_z_rank_prior_0p05,-0.6674667009135042,-0.7143711814969471,-0.6525433508761047,-0.6982539634565512
driving,16,full_sample_z_rank_prior_0p1,-0.23521625221244236,-0.2507041785113735,-0.22606237476739466,-0.24081799087072753
driving,16,full_sample_z_rank_prior_0p3,-0.04139544490960034,-0.04180021983109938,-0.04003008272103159,-0.04032562866744982
driving,16,full_sample_z_rank_prior_1p0,0.02702964700369037,0.025000380691782453,0.027777939168643684,0.02580853622993473
driving,16,full_sample_z_rank_prior_3p0,0.0,0.0,0.0,0.0
driving,16,full_sample_z_rank_prior_10p0,0.0,0.0,0.0,0.0
meetroom,4,full_sample_z_rank_prior_0p0,-0.9044932757585329,-1.2501835052620152,-0.8832627178880124,-1.2215222521368112
meetroom,4,full_sample_z_rank_prior_0p05,-0.6614437737883314,-0.9156148432966411,-0.65181063188626,-0.9026101017288504
meetroom,4,full_sample_z_rank_prior_0p1,-0.28160059060259357,-0.4006946197651793,-0.28045286287414584,-0.3991451873317615
meetroom,4,full_sample_z_rank_prior_0p3,-0.0694949616206948,-0.10199876950409958,-0.07187752492968258,-0.10521522997122545
meetroom,4,full_sample_z_rank_prior_1p0,0.0,0.0,0.0,0.0
meetroom,4,full_sample_z_rank_prior_3p0,0.0,0.0,0.0,0.0
meetroom,4,full_sample_z_rank_prior_10p0,0.0,0.0,0.0,0.0
meetroom,8,full_sample_z_rank_prior_0p0,-1.0363113703155307,-1.2091331116893933,-1.0035899432434867,-1.17126974607746
meetroom,8,full_sample_z_rank_prior_0p05,-0.7794735444162662,-0.9101176214233497,-0.7553031248216158,-0.8821489930352584
meetroom,8,full_sample_z_rank_prior_0p1,-0.46543449784155655,-0.5452043344895685,-0.4490621573667468,-0.5262591976544435
meetroom,8,full_sample_z_rank_prior_0p3,-0.07840655095598592,-0.09737568723592815,-0.05722684699827951,-0.07286774408488128
meetroom,8,full_sample_z_rank_prior_1p0,0.04379652932434297,0.04839871820263042,0.03661787002289074,0.040091983868087766
meetroom,8,full_sample_z_rank_prior_3p0,0.0,0.0,0.0,0.0
meetroom,8,full_sample_z_rank_prior_10p0,0.0,0.0,0.0,0.0
meetroom,16,full_sample_z_rank_prior_0p0,-1.1760867784328433,-1.2741834523451914,-1.1466045114666983,-1.2423426040217542
meetroom,16,full_sample_z_rank_prior_0p05,-1.1760867784328433,-1.2741834523451914,-1.1466045114666983,-1.2423426040217542
meetroom,16,full_sample_z_rank_prior_0p1,-1.0750526945965007,-1.167040682978275,-1.06473863715879,-1.1559015009455536
meetroom,16,full_sample_z_rank_prior_0p3,0.03588485843413736,0.03635355323012135,0.05347602170602883,0.055352009563751636
meetroom,16,full_sample_z_rank_prior_1p0,0.011173527212974932,0.010047379193775186,0.02854344978125667,0.02880689556752003
meetroom,16,full_sample_z_rank_prior_3p0,0.0,0.0,0.0,0.0
