sample,method,reference_gap,selector_cost,total_frames,keyframe_count,keyframe_ratio,estimated_q8_static_mib_per_frame,max_segment_length,mean_segment_length,segment_lengths,indices,linear_all_psnr,adapter_all_psnr,delta_all_psnr,linear_middle_psnr,adapter_middle_psnr,delta_middle_psnr,linear_given_psnr,adapter_given_psnr,delta_given_psnr,linear_all_ssim,adapter_all_ssim,linear_middle_ssim,adapter_middle_ssim,checkpoint
n3dv,uniform,4,,81,21,0.25925925925925924,0.11848958333333333,4,4.0,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80,30.2620931976309,30.429613143857733,0.16751994622683242,30.150854934349642,30.377006861755877,0.22615192740623513,30.579916807005898,30.579916807005898,0.0,0.8999017793455242,0.9074298871888055,0.8986136794090271,0.9087766249974568,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors
n3dv,rendered_distortion_oracle,4,0.05346438484654452,81,21,0.25925925925925924,0.11848958333333333,8,4.0,1 1 2 2 5 5 5 7 6 5 4 4 3 8 3 4 3 6 3 3,0 1 2 4 6 11 16 21 28 34 39 43 47 50 58 61 65 68 74 77 80,30.318777440579016,30.492951304386565,0.17417386380754962,30.220135033031276,30.455269749171478,0.23513471614020176,30.600612890715393,30.600612890715393,0.0,0.9004627127706268,0.9080291486080782,0.8993227551380794,0.9095374435186386,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors
n3dv,uniform,8,,81,11,0.13580246913580246,0.062065972222222224,8,8.0,8 8 8 8 8 8 8 8 8 8,0 8 16 24 32 40 48 56 64 72 80,29.759978379903007,29.938123059399317,0.17814467949630952,29.63093140939672,29.837070252813888,0.20613884341716826,30.5811863740339,30.5811863740339,0.0,0.8947084362124219,0.9034850590022994,0.8933116836207253,0.9034674899918692,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors
n3dv,rendered_distortion_oracle,8,0.0666605930115717,81,11,0.13580246913580246,0.062065972222222224,13,8.0,3 5 12 10 13 6 11 8 7 5,0 3 8 20 30 43 49 60 68 75 80,29.883346460595565,30.066216816343854,0.18287035574828892,29.771511346071083,29.983118472008396,0.2116071259373129,30.59502446211494,30.59502446211494,0.0,0.8957495902791436,0.9045214042251493,0.894497549533844,0.9046477913856507,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors
n3dv,uniform,16,,81,6,0.07407407407407407,0.033854166666666664,16,16.0,16 16 16 16 16,0 16 32 48 64 80,28.970305120452668,29.125309658911,0.15500453845833206,28.8421021766212,29.009507078156197,0.1674049015349972,30.572841918346004,30.572841918346004,0.0,0.8866919492497857,0.8960152746718607,0.885352128346761,0.8954213198026021,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors
n3dv,rendered_distortion_oracle,16,0.07580253080232069,81,6,0.07407407407407407,0.033854166666666664,32,16.0,7 15 19 32 7,0 7 22 41 73 80,29.20166976341196,29.3880739790215,0.18640421560953868,29.089811377441606,29.291127930299922,0.20131655285831584,30.599899588041268,30.599899588041268,0.0,0.8880080845620897,0.8975784668215999,0.8867463954289754,0.8970824082692465,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors
meetroom,uniform,4,,81,21,0.25925925925925924,0.11848958333333333,4,4.0,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80,29.545145261528557,29.643505213208805,0.0983599516802478,28.875360995491146,29.008146930259482,0.13278593476833578,31.45881459306401,31.45881459306401,0.0,0.8983123008115792,0.9093653522891763,0.8927149067322413,0.9076365262269974,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/meetroom/stage25_best_anchor_adapter.safetensors
meetroom,rendered_distortion_oracle,4,0.07201851857826114,81,21,0.25925925925925924,0.11848958333333333,6,4.0,3 5 3 5 4 3 3 5 5 5 5 4 5 3 3 3 3 3 6 4,0 3 8 11 16 20 23 26 31 36 41 46 50 55 58 61 64 67 70 76 80,29.641668021024483,29.74255368214277,0.10088566111828712,28.991479301758485,29.127674944268165,0.13619564250967997,31.499350076070193,31.499350076070193,0.0,0.8992951865549441,0.9102969522829409,0.8937699059645335,0.9086222896973292,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/meetroom/stage25_best_anchor_adapter.safetensors
meetroom,uniform,8,,81,11,0.13580246913580246,0.062065972222222224,8,8.0,8 8 8 8 8 8 8 8 8 8,0 8 16 24 32 40 48 56 64 72 80,27.836636201042285,27.920280841013945,0.08364463997165927,27.26623587446192,27.36302467214341,0.09678879768149073,31.466456461099163,31.466456461099163,0.0,0.8845061792267693,0.897264685159848,0.8798230818339756,0.8945864958422525,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/meetroom/stage25_best_anchor_adapter.safetensors
meetroom,rendered_distortion_oracle,8,0.10759173098873968,81,11,0.13580246913580246,0.062065972222222224,10,8.0,9 6 7 9 7 9 7 7 9 10,0 9 15 22 31 38 47 54 61 70 80,27.995351751038584,28.08496838341431,0.08961663237572637,27.43960969131763,27.54330893735241,0.10369924603477898,31.531892131080973,31.531892131080973,0.0,0.8855555999426195,0.8982329648218037,0.8808633514813015,0.8955328736986433,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/meetroom/stage25_best_anchor_adapter.safetensors
