sample,reference_gap,method,selector_delta_adapter_all_psnr,selector_delta_adapter_middle_psnr,selector_delta_linear_all_psnr,selector_delta_linear_middle_psnr
driving,4,rendered_distortion_oracle,0.030211703498583375,0.023242981936490992,0.02961299541390261,0.02243472602217267
driving,8,rendered_distortion_oracle,-0.15137123254497098,-0.18524559988620126,-0.15186004535920716,-0.18581122614267542
driving,16,rendered_distortion_oracle,-0.08618988760293078,-0.09725596137010584,-0.08572971049705558,-0.09675897009575252
meetroom,4,rendered_distortion_oracle,0.09904846893396524,0.11952801400868296,0.09652275949592592,0.11611830626733877
meetroom,8,rendered_distortion_oracle,0.16468754240036532,0.18028426520899998,0.15871554999629822,0.17337381685571174
meetroom,16,rendered_distortion_oracle,-0.14085700247952815,-0.15478598535279176,-0.11378235359318367,-0.1255453645555491
n3dv,4,rendered_distortion_oracle,0.06333816052883279,0.07826288741560106,0.05668424294811558,0.06928009868163443
n3dv,8,rendered_distortion_oracle,0.12809375694453706,0.14604821919450828,0.12336808069255767,0.14057993667436364
n3dv,16,rendered_distortion_oracle,0.2627643201104988,0.2816208521437247,0.23136464295929215,0.24770920082040604
robot,4,rendered_distortion_oracle,0.17423209197442446,0.23727688466239272,0.17781145013233157,0.2421121579634189
robot,8,rendered_distortion_oracle,0.2969394033681816,0.36520226732477923,0.30063908627017,0.36951856404376215
robot,16,rendered_distortion_oracle,-0.2413766546357614,-0.25809799909998077,-0.232212609106071,-0.24815952718749656
