sample,reference_gap,method,selector_delta_adapter_all_psnr,selector_delta_adapter_middle_psnr,selector_delta_linear_all_psnr,selector_delta_linear_middle_psnr
driving,4,rendered_raw,0.030211703498583375,0.023242981936490992,0.02961299541390261,0.02243472602217267
driving,4,rendered_prior_0p1,0.0,0.0,0.0,0.0
driving,4,rendered_prior_0p3,0.0,0.0,0.0,0.0
driving,4,rendered_prior_1p0,0.0,0.0,0.0,0.0
driving,4,rendered_min2,0.018977321332702246,0.004943576589102605,0.018344020559471375,0.00408862054524306
driving,4,rendered_min2_prior_0p3,0.0,0.0,0.0,0.0
driving,4,rendered_minhalf,0.018977321332702246,0.004943576589102605,0.018344020559471375,0.00408862054524306
driving,4,rendered_minhalf_prior_0p3,0.0,0.0,0.0,0.0
driving,8,rendered_raw,-0.15137123254497098,-0.18524559988620126,-0.15186004535920716,-0.18581122614267542
driving,8,rendered_prior_0p1,0.03340110564212395,0.03209849855958424,0.038008585651969184,0.037430011142411956
driving,8,rendered_prior_0p3,0.0,0.0,0.0,0.0
driving,8,rendered_prior_1p0,0.0,0.0,0.0,0.0
driving,8,rendered_min2,-0.15137123254497098,-0.18524559988620126,-0.15186004535920716,-0.18581122614267542
driving,8,rendered_min2_prior_0p3,0.0,0.0,0.0,0.0
driving,8,rendered_minhalf,-0.04999883079955225,-0.06336908350037262,-0.04914614262904138,-0.06238240147449048
driving,8,rendered_minhalf_prior_0p3,0.0,0.0,0.0,0.0
driving,16,rendered_raw,-0.08618988760293078,-0.09725596137010584,-0.08572971049705558,-0.09675897009575252
driving,16,rendered_prior_0p1,0.02048354350085191,0.019978892193279307,0.02002436133199126,0.01948297545091293
driving,16,rendered_prior_0p3,0.023789485781104958,0.02481981997319238,0.020352005795768235,0.021107341589029716
driving,16,rendered_prior_1p0,0.0,0.0,0.0,0.0
driving,16,rendered_min2,-0.08618988760293078,-0.09725596137010584,-0.08572971049705558,-0.09675897009575252
driving,16,rendered_min2_prior_0p3,0.023789485781104958,0.02481981997319238,0.020352005795768235,0.021107341589029716
driving,16,rendered_minhalf,-0.2565436322957204,-0.284554212742556,-0.24364875725755297,-0.27062774770132947
driving,16,rendered_minhalf_prior_0p3,0.023789485781104958,0.02481981997319238,0.020352005795768235,0.021107341589029716
meetroom,4,rendered_raw,0.09904846893396524,0.11952801400868296,0.09652275949592592,0.11611830626733877
meetroom,4,rendered_prior_0p1,0.0,0.0,0.0,0.0
meetroom,4,rendered_prior_0p3,0.0,0.0,0.0,0.0
meetroom,4,rendered_prior_1p0,0.0,0.0,0.0,0.0
meetroom,4,rendered_min2,0.09904846893396524,0.11952801400868296,0.09652275949592592,0.11611830626733877
meetroom,4,rendered_min2_prior_0p3,0.0,0.0,0.0,0.0
meetroom,4,rendered_minhalf,0.09904846893396524,0.11952801400868296,0.09652275949592592,0.11611830626733877
meetroom,4,rendered_minhalf_prior_0p3,0.0,0.0,0.0,0.0
meetroom,8,rendered_raw,0.16468754240036532,0.18028426520899998,0.15871554999629822,0.17337381685571174
meetroom,8,rendered_prior_0p1,0.11748100026268915,0.12893604611359422,0.11070915670171289,0.1211000557073163
meetroom,8,rendered_prior_0p3,0.0,0.0,0.0,0.0
meetroom,8,rendered_prior_1p0,0.0,0.0,0.0,0.0
meetroom,8,rendered_min2,0.16468754240036532,0.18028426520899998,0.15871554999629822,0.17337381685571174
meetroom,8,rendered_min2_prior_0p3,0.0,0.0,0.0,0.0
meetroom,8,rendered_minhalf,0.16468754240036532,0.18028426520899998,0.15871554999629822,0.17337381685571174
meetroom,8,rendered_minhalf_prior_0p3,0.0,0.0,0.0,0.0
meetroom,16,rendered_raw,-0.14085700247952815,-0.15478598535279176,-0.11378235359318367,-0.1255453645555491
meetroom,16,rendered_prior_0p1,0.04573341814039722,0.04690989693839498,0.04515739160444099,0.04628778827956026
meetroom,16,rendered_prior_0p3,0.039455943570963825,0.039875417396718404,0.036533710415390885,0.03671940558869835
meetroom,16,rendered_prior_1p0,0.0,0.0,0.0,0.0
meetroom,16,rendered_min2,-0.14085700247952815,-0.15478598535279176,-0.11378235359318367,-0.1255453645555491
meetroom,16,rendered_min2_prior_0p3,0.039455943570963825,0.039875417396718404,0.036533710415390885,0.03671940558869835
meetroom,16,rendered_minhalf,-0.14085700247952815,-0.15478598535279176,-0.11378235359318367,-0.1255453645555491
meetroom,16,rendered_minhalf_prior_0p3,0.039455943570963825,0.039875417396718404,0.036533710415390885,0.03671940558869835
n3dv,4,rendered_raw,0.06333816052883279,0.07826288741560106,0.05668424294811558,0.06928009868163443
n3dv,4,rendered_prior_0p1,0.0,0.0,0.0,0.0
n3dv,4,rendered_prior_0p3,0.0,0.0,0.0,0.0
n3dv,4,rendered_prior_1p0,0.0,0.0,0.0,0.0
n3dv,4,rendered_min2,0.062425714559612544,0.07960484025999293,0.05611609414227203,0.07108685269659532
n3dv,4,rendered_min2_prior_0p3,0.0,0.0,0.0,0.0
n3dv,4,rendered_minhalf,0.062425714559612544,0.07960484025999293,0.05611609414227203,0.07108685269659532
n3dv,4,rendered_minhalf_prior_0p3,0.0,0.0,0.0,0.0
n3dv,8,rendered_raw,0.12809375694453706,0.14604821919450828,0.12336808069255767,0.14057993667436364
n3dv,8,rendered_prior_0p1,0.0,0.0,0.0,0.0
n3dv,8,rendered_prior_0p3,0.0,0.0,0.0,0.0
n3dv,8,rendered_prior_1p0,0.0,0.0,0.0,0.0
n3dv,8,rendered_min2,0.12809375694453706,0.14604821919450828,0.12336808069255767,0.14057993667436364
n3dv,8,rendered_min2_prior_0p3,0.0,0.0,0.0,0.0
n3dv,8,rendered_minhalf,0.11937569912620916,0.13621493939149687,0.11656419738424262,0.13296163023294127
n3dv,8,rendered_minhalf_prior_0p3,0.0,0.0,0.0,0.0
n3dv,16,rendered_raw,0.2627643201104988,0.2816208521437247,0.23136464295929215,0.24770920082040604
n3dv,16,rendered_prior_0p1,0.07508025079923897,0.07943858740669185,0.06536513658651799,0.06894626405696869
n3dv,16,rendered_prior_0p3,0.0,0.0,0.0,0.0
n3dv,16,rendered_prior_1p0,0.0,0.0,0.0,0.0
