sample,method,reference_gap,total_frames,keyframe_count,indices,raw_path,zlib_path,raw_bitstream_bytes,zlib_bitstream_bytes,raw_mib_per_frame,zlib_mib_per_frame,zlib_savings_percent_vs_raw_bitstream,linear_all_psnr,adapter_all_psnr,delta_all_psnr,linear_middle_psnr,adapter_middle_psnr,delta_middle_psnr,linear_all_ssim,adapter_all_ssim,linear_middle_ssim,adapter_middle_ssim,max_roundtrip_abs_diff,mean_roundtrip_mse
n3dv,uniform,4,81,21,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage46_calibrated_adaptive_actual_bitstream_rd/n3dv_uniform_gap4_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage46_calibrated_adaptive_actual_bitstream_rd/n3dv_uniform_gap4_q8_zlib.mdfcgs,10076264,6643918,0.1186354837299865,0.07822387601122444,34.06367677543979,30.2620931976309,30.429613143857733,0.16751994622683242,30.150854934349642,30.377006861755877,0.22615192740623513,0.8999017793455242,0.9074298871888055,0.8986136794090271,0.9087766249974568,0.0,0.0
n3dv,rendered_prior_0p1,4,81,21,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage46_calibrated_adaptive_actual_bitstream_rd/n3dv_rendered_prior_0p1_gap4_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage46_calibrated_adaptive_actual_bitstream_rd/n3dv_rendered_prior_0p1_gap4_q8_zlib.mdfcgs,10076264,6643918,0.1186354837299865,0.07822387601122444,34.06367677543979,30.2620931976309,30.429613143857733,0.16751994622683242,30.150854934349642,30.377006861755877,0.22615192740623513,0.8999017793455242,0.9074298871888055,0.8986136794090271,0.9087766249974568,0.0,0.0
n3dv,uniform,8,81,11,0 8 16 24 32 40 48 56 64 72 80,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage46_calibrated_adaptive_actual_bitstream_rd/n3dv_uniform_gap8_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage46_calibrated_adaptive_actual_bitstream_rd/n3dv_uniform_gap8_q8_zlib.mdfcgs,5278092,3479514,0.06214297259295428,0.040966952288592304,34.07629120523098,29.759978379903007,29.938123059399317,0.17814467949630952,29.63093140939672,29.837070252813888,0.20613884341716826,0.8947084362124219,0.9034850590022994,0.8933116836207253,0.9034674899918692,0.0,0.0
n3dv,rendered_prior_0p1,8,81,11,0 8 16 24 32 40 48 56 64 72 80,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage46_calibrated_adaptive_actual_bitstream_rd/n3dv_rendered_prior_0p1_gap8_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage46_calibrated_adaptive_actual_bitstream_rd/n3dv_rendered_prior_0p1_gap8_q8_zlib.mdfcgs,5278092,3479514,0.06214297259295428,0.040966952288592304,34.07629120523098,29.759978379903007,29.938123059399317,0.17814467949630952,29.63093140939672,29.837070252813888,0.20613884341716826,0.8947084362124219,0.9034850590022994,0.8933116836207253,0.9034674899918692,0.0,0.0
n3dv,uniform,16,81,6,0 16 32 48 64 80,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage46_calibrated_adaptive_actual_bitstream_rd/n3dv_uniform_gap16_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage46_calibrated_adaptive_actual_bitstream_rd/n3dv_uniform_gap16_q8_zlib.mdfcgs,2879016,1897841,0.0338968347620081,0.022344718744725357,34.080220464214165,28.970305120452668,29.125309658911,0.15500453845833206,28.8421021766212,29.009507078156197,0.1674049015349972,0.8866919492497857,0.8960152746718607,0.885352128346761,0.8954213198026021,0.0,0.0
n3dv,rendered_prior_0p1,16,81,6,0 15 30 46 63 80,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage46_calibrated_adaptive_actual_bitstream_rd/n3dv_rendered_prior_0p1_gap16_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage46_calibrated_adaptive_actual_bitstream_rd/n3dv_rendered_prior_0p1_gap16_q8_zlib.mdfcgs,2879015,1897692,0.033896822988251106,0.02234296445493345,34.085372948734204,29.035670257039186,29.20038990971024,0.16471965267105304,28.91104844067817,29.08894566556289,0.17789722488472037,0.8873937902627168,0.89680638504617,0.8860786922772725,0.896244294643402,0.0,0.0
meetroom,uniform,4,81,21,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage46_calibrated_adaptive_actual_bitstream_rd/meetroom_uniform_gap4_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage46_calibrated_adaptive_actual_bitstream_rd/meetroom_uniform_gap4_q8_zlib.mdfcgs,10076188,6478461,0.11863458892445505,0.07627582550048828,35.70523892567308,29.545145261528557,29.643505213208805,0.0983599516802478,28.875360995491146,29.008146930259482,0.13278593476833578,0.8983123008115792,0.9093653522891763,0.8927149067322413,0.9076365262269974,0.0,0.0
meetroom,rendered_prior_0p1,4,81,21,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage46_calibrated_adaptive_actual_bitstream_rd/meetroom_rendered_prior_0p1_gap4_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage46_calibrated_adaptive_actual_bitstream_rd/meetroom_rendered_prior_0p1_gap4_q8_zlib.mdfcgs,10076188,6478461,0.11863458892445505,0.07627582550048828,35.70523892567308,29.545145261528557,29.643505213208805,0.0983599516802478,28.875360995491146,29.008146930259482,0.13278593476833578,0.8983123008115792,0.9093653522891763,0.8927149067322413,0.9076365262269974,0.0,0.0
meetroom,uniform,8,81,11,0 8 16 24 32 40 48 56 64 72 80,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage46_calibrated_adaptive_actual_bitstream_rd/meetroom_uniform_gap8_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage46_calibrated_adaptive_actual_bitstream_rd/meetroom_uniform_gap8_q8_zlib.mdfcgs,5278052,3394304,0.062142501642674576,0.039963710455246916,35.6902129800919,27.836636201042285,27.920280841013945,0.08364463997165927,27.26623587446192,27.36302467214341,0.09678879768149073,0.8845061792267693,0.897264685159848,0.8798230818339756,0.8945864958422525,0.0,0.0
meetroom,rendered_prior_0p1,8,81,11,0 8 15 23 31 39 47 55 64 72 80,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage46_calibrated_adaptive_actual_bitstream_rd/meetroom_rendered_prior_0p1_gap8_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage46_calibrated_adaptive_actual_bitstream_rd/meetroom_rendered_prior_0p1_gap8_q8_zlib.mdfcgs,5278036,3392825,0.06214231326256269,0.039946297068654754,35.71803981632562,27.947345357744,28.037761841276634,0.09041648353263554,27.387335930169236,27.491960718257005,0.10462478808776865,0.8855304401597859,0.8982695510357986,0.8809049112456185,0.8956458824021476,0.0,0.0
