sample,reference_gap,rate_kind,uniform_rate_mib_per_frame,adaptive_rate_mib_per_frame,rate_delta_mib_per_frame,selector_delta_adapter_all_psnr,selector_delta_adapter_middle_psnr
driving,4,zlib_mib_per_frame,0.07539344128267264,0.07539344128267264,0.0,0.0,0.0
driving,8,zlib_mib_per_frame,0.03951131561656057,0.0395233130749361,1.1997458375531678e-05,0.03340110564212395,0.03209849855958424
driving,16,zlib_mib_per_frame,0.021581579137731483,0.021578506187156395,-3.072950575087191e-06,0.02048354350085191,0.019978892193279307
meetroom,4,zlib_mib_per_frame,0.07627582550048828,0.07627582550048828,0.0,0.0,0.0
meetroom,8,zlib_mib_per_frame,0.039963710455246916,0.039946297068654754,-1.7413386592161906e-05,0.11748100026268915,0.12893604611359422
meetroom,16,zlib_mib_per_frame,0.021798345777723525,0.021798793180489245,4.4740276572072246e-07,0.04573341814039722,0.04690989693839498
n3dv,4,zlib_mib_per_frame,0.07822387601122444,0.07822387601122444,0.0,0.0,0.0
n3dv,8,zlib_mib_per_frame,0.040966952288592304,0.040966952288592304,0.0,0.0,0.0
n3dv,16,zlib_mib_per_frame,0.022344718744725357,0.02234296445493345,-1.754289791908864e-06,0.07508025079923897,0.07943858740669185
robot,4,zlib_mib_per_frame,0.07977967448048777,0.07975530005120612,-2.437442928164557e-05,0.16331619309351808,0.21729521549740127
robot,8,zlib_mib_per_frame,0.04393036334545582,0.04387014562433416,-6.021772112165674e-05,0.2876497712710311,0.34384268018851216
robot,16,zlib_mib_per_frame,0.023968275491293375,0.023971792939421418,3.5174481280431102e-06,-0.018963597365331708,-0.01899001734383532
