sample,reference_gap,method,selector_delta_adapter_all_psnr,selector_delta_adapter_middle_psnr,selector_delta_linear_all_psnr,selector_delta_linear_middle_psnr
driving,4,length_raw_log_prior_0p1,0.0,0.0,0.0,0.0
driving,4,full_raw_log_prior_0p1,-0.286983769689396,-0.40384484656089725,-0.2841781769245664,-0.4000572963283773
driving,4,length_sample_z_rank_prior_0p1,0.0,0.0,0.0,0.0
driving,4,full_sample_z_rank,-1.4640881364480514,-1.975043343481822,-1.4355532920700007,-1.9365213035714568
driving,4,full_sample_z_rank_prior_0p1,-0.288252642181277,-0.38207662886180316,-0.2851386407851173,-0.3778727269769995
driving,4,full_sample_z_rank_prior_0p3,-0.011774425907965735,-0.023318718068686906,-0.016872019881187583,-0.030200469932534446
driving,8,length_raw_log_prior_0p1,0.0,0.0,0.0,0.0
driving,8,full_raw_log_prior_0p1,-0.24986489026645486,-0.2884833101320403,-0.24987694350327416,-0.28849725744892396
driving,8,length_sample_z_rank_prior_0p1,0.0,0.0,0.0,0.0
driving,8,full_sample_z_rank,-1.2330494767686808,-1.4161338696290962,-1.215741701415702,-1.3961063010063626
driving,8,full_sample_z_rank_prior_0p1,-0.1479478310054283,-0.16309732265082388,-0.15329475333689402,-0.16928447563437743
driving,8,full_sample_z_rank_prior_0p3,-0.13310212531781218,-0.14955863458452612,-0.13838670436653544,-0.15567364748375567
driving,16,length_raw_log_prior_0p1,0.0,0.0,0.0,0.0
driving,16,full_raw_log_prior_0p1,-0.3718167109823227,-0.3974979410612285,-0.35892296623876163,-0.3835726967381774
driving,16,length_sample_z_rank_prior_0p1,0.0,0.0,0.0,0.0
driving,16,full_sample_z_rank,-1.1321277342914264,-1.2160505631505565,-1.1091773171136197,-1.1912641125985246
driving,16,full_sample_z_rank_prior_0p1,-0.2219506133165936,-0.23223242900630225,-0.21949926189024893,-0.22958496946584717
driving,16,full_sample_z_rank_prior_0p3,-0.08754476364805086,-0.09008781983048308,-0.08736646027499972,-0.08989525218757777
meetroom,4,length_raw_log_prior_0p1,0.0,0.0,0.0,0.0
meetroom,4,full_raw_log_prior_0p1,-0.3263193993469393,-0.4608484054485231,-0.3207298514120467,-0.4533025157364179
meetroom,4,length_sample_z_rank_prior_0p1,0.0,0.0,0.0,0.0
meetroom,4,full_sample_z_rank,-1.195055357599351,-1.6410774919004574,-1.161673946449703,-1.5960125868484454
meetroom,4,full_sample_z_rank_prior_0p1,-0.2112172665577141,-0.29654075870706365,-0.20389262616271253,-0.28665249417380423
meetroom,4,full_sample_z_rank_prior_0p3,-0.03390630720769039,-0.05189382438849677,-0.032615158698153124,-0.05015077390062217
meetroom,8,length_raw_log_prior_0p1,0.0,0.0,0.0,0.0
meetroom,8,full_raw_log_prior_0p1,-0.3668919441660812,-0.43347203094544184,-0.34350049050542,-0.4064047774238162
meetroom,8,length_sample_z_rank_prior_0p1,0.0,0.0,0.0,0.0
meetroom,8,full_sample_z_rank,-1.2521075621959916,-1.457057439003048,-1.2107609922637188,-1.4092135509385706
meetroom,8,full_sample_z_rank_prior_0p1,-0.3424509443572248,-0.39963703935554307,-0.3269214883911147,-0.38166724030905286
meetroom,8,full_sample_z_rank_prior_0p3,-0.15634364309904214,-0.18644142865828428,-0.13367917562467468,-0.16021540200936357
meetroom,16,length_raw_log_prior_0p1,0.0,0.0,0.0,0.0
meetroom,16,full_raw_log_prior_0p1,-0.4152974337125741,-0.4503275355586318,-0.38988094402848006,-0.42287772669982004
meetroom,16,length_sample_z_rank_prior_0p1,0.0,0.0,0.0,0.0
meetroom,16,full_sample_z_rank,-1.296348980127295,-1.4050664039428682,-1.2597843520455427,-1.3655766056145744
meetroom,16,full_sample_z_rank_prior_0p1,-0.36706375153085347,-0.39872398438902223,-0.35579206990078305,-0.38655056822854306
meetroom,16,full_sample_z_rank_prior_0p3,0.011173527212974932,0.010047379193775186,0.02854344978125667,0.02880689556752003
n3dv,4,length_raw_log_prior_0p1,0.0,0.0,0.0,0.0
n3dv,4,full_raw_log_prior_0p1,0.0,0.0,0.0,0.0
n3dv,4,length_sample_z_rank_prior_0p1,0.0,0.0,0.0,0.0
n3dv,4,full_sample_z_rank,-0.27458992677499694,-0.3856783074551835,-0.2659986457664374,-0.3740800780936091
n3dv,4,full_sample_z_rank_prior_0p1,-0.05747334981325025,-0.08840457040911787,-0.06062573048636821,-0.09266028431780882
n3dv,4,full_sample_z_rank_prior_0p3,-0.008145086457815864,-0.02333512012671335,-0.013260993754698802,-0.030241594977503894
n3dv,8,length_raw_log_prior_0p1,0.0,0.0,0.0,0.0
n3dv,8,full_raw_log_prior_0p1,0.0,0.0,0.0,0.0
n3dv,8,length_sample_z_rank_prior_0p1,0.0,0.0,0.0,0.0
n3dv,8,full_sample_z_rank,-0.445272026460394,-0.5215300799868174,-0.43390940603086037,-0.5083819049183518
n3dv,8,full_sample_z_rank_prior_0p1,-0.07561886355765779,-0.09083124290247824,-0.07552807787556404,-0.09072619089891276
n3dv,8,full_sample_z_rank_prior_0p3,0.011565942337004032,0.009324726252547322,0.007033340973752189,0.004079858960785998
n3dv,16,length_raw_log_prior_0p1,0.0,0.0,0.0,0.0
n3dv,16,full_raw_log_prior_0p1,0.0,0.0,0.0,0.0
n3dv,16,length_sample_z_rank_prior_0p1,0.0,0.0,0.0,0.0
n3dv,16,full_sample_z_rank,-0.3516266540635691,-0.3817689317609094,-0.3581501091581245,-0.3888142632630327
n3dv,16,full_sample_z_rank_prior_0p1,0.05288881517569877,0.054342095015151415,0.04123481933475759,0.04175577950693565
n3dv,16,full_sample_z_rank_prior_0p3,-0.05991704624753069,-0.06729954282854322,-0.060190275353001255,-0.06759463026246237
robot,4,length_raw_log_prior_0p1,0.0,0.0,0.0,0.0
robot,4,full_raw_log_prior_0p1,0.0,0.0,0.0,0.0
robot,4,length_sample_z_rank_prior_0p1,0.0,0.0,0.0,0.0
robot,4,full_sample_z_rank,-1.0984827132258275,-1.3824764873185664,-1.0724952493490179,-1.3473706150639408
robot,4,full_sample_z_rank_prior_0p1,-0.3040319467207624,-0.37958380563006244,-0.2936100693991186,-0.3655051292482021
robot,4,full_sample_z_rank_prior_0p3,-0.30472949648636316,-0.38494163178856056,-0.29429669522746593,-0.37084819850900175
robot,8,length_raw_log_prior_0p1,-0.10538194927685396,-0.12334361923028325,-0.09835605087720367,-0.11514673776402518
robot,8,full_raw_log_prior_0p1,-0.12550927249403543,-0.14123660546810868,-0.12347329170030719,-0.1388612945420853
robot,8,length_sample_z_rank_prior_0p1,-0.07496667682116964,-0.08511768950697274,-0.07673564012383238,-0.08718148002675008
robot,8,full_sample_z_rank,-1.1019300377930357,-1.2306048042702287,-1.0768529006393557,-1.201348144257608
robot,8,full_sample_z_rank_prior_0p1,-0.4239767363377389,-0.4861411377183238,-0.40586524933372203,-0.46501106954697136
robot,8,full_sample_z_rank_prior_0p3,-0.0992044129002636,-0.10558469327040498,-0.09561500498912423,-0.10139705070741911
robot,16,length_raw_log_prior_0p1,-0.3857680749438721,-0.4210539440496923,-0.3753188188037129,-0.40972165217938894
robot,16,full_raw_log_prior_0p1,-0.3857680749438721,-0.4210539440496923,-0.3753188188037129,-0.40972165217938894
robot,16,length_sample_z_rank_prior_0p1,-0.3857680749438721,-0.4210539440496923,-0.3753188188037129,-0.40972165217938894
robot,16,full_sample_z_rank,-1.7778923913320988,-1.9377910952068227,-1.7504745480966015,-1.9080562511345285
robot,16,full_sample_z_rank_prior_0p1,-1.7752712058738709,-1.935344833486937,-1.7476327201103317,-1.9053707010391605
