sample,reference_gap,rate_kind,uniform_rate_mib_per_frame,adaptive_rate_mib_per_frame,rate_delta_mib_per_frame,selector_delta_adapter_all_psnr,selector_delta_adapter_middle_psnr
driving,1,estimated_q8_static_mib_per_frame,0.45703125,0.45703125,0.0,0.0,
driving,2,estimated_q8_static_mib_per_frame,0.23133680555555555,0.23133680555555555,0.0,0.0,0.0
driving,3,estimated_q8_static_mib_per_frame,0.1579861111111111,0.1579861111111111,0.0,0.425487687502784,0.637757559758132
driving,4,estimated_q8_static_mib_per_frame,0.11848958333333333,0.11848958333333333,0.0,0.0,0.0
driving,8,estimated_q8_static_mib_per_frame,0.062065972222222224,0.062065972222222224,0.0,0.03340110564212395,0.03209849855958424
driving,16,estimated_q8_static_mib_per_frame,0.033854166666666664,0.033854166666666664,0.0,0.02048354350085191,0.019978892193279307
meetroom,1,estimated_q8_static_mib_per_frame,0.45703125,0.45703125,0.0,0.0,
meetroom,2,estimated_q8_static_mib_per_frame,0.23133680555555555,0.23133680555555555,0.0,0.0,0.0
meetroom,3,estimated_q8_static_mib_per_frame,0.1579861111111111,0.1579861111111111,0.0,0.016695072778372122,0.023817311901449756
meetroom,4,estimated_q8_static_mib_per_frame,0.11848958333333333,0.11848958333333333,0.0,0.0,0.0
meetroom,8,estimated_q8_static_mib_per_frame,0.062065972222222224,0.062065972222222224,0.0,0.11748100026268915,0.12893604611359422
meetroom,16,estimated_q8_static_mib_per_frame,0.033854166666666664,0.033854166666666664,0.0,0.04573341814039722,0.04690989693839498
n3dv,1,estimated_q8_static_mib_per_frame,0.45703125,0.45703125,0.0,0.0,
n3dv,2,estimated_q8_static_mib_per_frame,0.23133680555555555,0.23133680555555555,0.0,0.0,0.0
n3dv,3,estimated_q8_static_mib_per_frame,0.1579861111111111,0.1579861111111111,0.0,0.009070630543192237,0.01306018357272265
n3dv,4,estimated_q8_static_mib_per_frame,0.11848958333333333,0.11848958333333333,0.0,0.0,0.0
n3dv,8,estimated_q8_static_mib_per_frame,0.062065972222222224,0.062065972222222224,0.0,0.0,0.0
n3dv,16,estimated_q8_static_mib_per_frame,0.033854166666666664,0.033854166666666664,0.0,0.07508025079923897,0.07943858740669185
robot,1,estimated_q8_static_mib_per_frame,0.45703125,0.45703125,0.0,0.0,
robot,2,estimated_q8_static_mib_per_frame,0.2314833603896104,0.2314833603896104,0.0,0.0,0.0
robot,3,estimated_q8_static_mib_per_frame,0.16025771103896103,0.16025771103896103,0.0,0.12593819187432942,0.18401248311332807
robot,4,estimated_q8_static_mib_per_frame,0.11870941558441558,0.11870941558441558,0.0,0.16331619309351808,0.21729521549740127
robot,8,estimated_q8_static_mib_per_frame,0.06529017857142858,0.06529017857142858,0.0,0.2876497712710311,0.34384268018851216
robot,16,estimated_q8_static_mib_per_frame,0.03561282467532467,0.03561282467532467,0.0,-0.018963597365331708,-0.01899001734383532
