sample,method,reference_gap,total_frames,keyframe_count,keyframe_ratio,estimated_q8_static_mib_per_frame,raw_mib_per_frame,zlib_mib_per_frame,raw_bitstream_bytes,zlib_bitstream_bytes,zlib_savings_percent_vs_raw_bitstream,raw_path,zlib_path,max_roundtrip_abs_diff,mean_roundtrip_mse,max_segment_length,mean_segment_length,segment_lengths,indices,selector_cost,checkpoint,linear_all_psnr,adapter_all_psnr,delta_all_psnr,linear_middle_psnr,adapter_middle_psnr,delta_middle_psnr,linear_given_psnr,adapter_given_psnr,delta_given_psnr,linear_all_ssim,adapter_all_ssim,linear_middle_ssim,adapter_middle_ssim
n3dv,uniform,1,81,81,1.0,0.45703125,0.45759170438036506,0.3017021226294247,38865394,25624966,34.06739682093536,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage49_extended_adaptive_rd/n3dv_uniform_gap1_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage49_extended_adaptive_rd/n3dv_uniform_gap1_q8_zlib.mdfcgs,0.0,0.0,1,1.0,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80,,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors,30.605119268782953,30.605119268782953,0.0,,,,30.605119268782953,30.605119268782953,0.0,0.9038226302759147,0.9038226302759147,,
n3dv,rendered_prior_0p1,1,81,81,1.0,0.45703125,0.45759170438036506,0.3017021226294247,38865394,25624966,34.06739682093536,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage49_extended_adaptive_rd/n3dv_rendered_prior_0p1_gap1_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage49_extended_adaptive_rd/n3dv_rendered_prior_0p1_gap1_q8_zlib.mdfcgs,0.0,0.0,1,1.0,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80,0.0,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors,30.605119268782953,30.605119268782953,0.0,,,,30.605119268782953,30.605119268782953,0.0,0.9038226302759147,0.9038226302759147,,
n3dv,uniform,2,81,41,0.5061728395061729,0.23133680555555555,0.23162113001317153,0.15271293969801913,19672661,12970621,34.06778574591409,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage49_extended_adaptive_rd/n3dv_uniform_gap2_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage49_extended_adaptive_rd/n3dv_uniform_gap2_q8_zlib.mdfcgs,0.0,0.0,2,2.0,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2,0 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50 52 54 56 58 60 62 64 66 68 70 72 74 76 78 80,,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors,30.508640245840535,30.628127521890942,0.11948727605040688,30.42157342117856,30.663535155180625,0.24196173400206433,30.593583489413195,30.593583489413195,0.0,0.902701512530998,0.9077433281474643,0.9016120448708534,0.9118217214941978
n3dv,rendered_prior_0p1,2,81,41,0.5061728395061729,0.23133680555555555,0.23162113001317153,0.15271293969801913,19672661,12970621,34.06778574591409,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage49_extended_adaptive_rd/n3dv_rendered_prior_0p1_gap2_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage49_extended_adaptive_rd/n3dv_rendered_prior_0p1_gap2_q8_zlib.mdfcgs,0.0,0.0,2,2.0,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2,0 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50 52 54 56 58 60 62 64 66 68 70 72 74 76 78 80,0.03440952114760876,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors,30.508640245840535,30.628127521890942,0.11948727605040688,30.42157342117856,30.663535155180625,0.24196173400206433,30.593583489413195,30.593583489413195,0.0,0.902701512530998,0.9077433281474643,0.9016120448708534,0.9118217214941978
n3dv,uniform,3,81,28,0.345679012345679,0.1579861111111111,0.15818071954044294,0.1042861232051143,13435025,8857506,34.071533175412775,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage49_extended_adaptive_rd/n3dv_uniform_gap3_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage49_extended_adaptive_rd/n3dv_uniform_gap3_q8_zlib.mdfcgs,0.0,0.0,3,2.962962962962963,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2,0 3 6 9 12 15 18 21 24 27 30 33 36 39 42 45 48 51 54 57 60 63 66 69 72 75 78 80,,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors,30.392385707675764,30.548358487675863,0.1559727800000985,30.28144277833689,30.519816272299302,0.23837349396241336,30.602384823924353,30.602384823924353,0.0,0.9013292222847173,0.9080128684455966,0.9000277485487596,0.9102423775870845
n3dv,rendered_prior_0p1,3,81,28,0.345679012345679,0.1579861111111111,0.15818053116033107,0.10428513420952691,13435009,8857422,34.07207989216829,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage49_extended_adaptive_rd/n3dv_rendered_prior_0p1_gap3_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage49_extended_adaptive_rd/n3dv_rendered_prior_0p1_gap3_q8_zlib.mdfcgs,0.0,0.0,3,2.962962962962963,2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,0 2 5 8 11 14 17 20 23 26 29 32 35 38 41 44 47 50 53 56 59 62 65 68 71 74 77 80,0.058121535134139576,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors,30.399343497042274,30.557429118219055,0.15808562117678093,30.291273902752806,30.532876455872024,0.2416025531192183,30.603903800518776,30.603903800518776,0.0,0.9013333467789638,0.9080383041758596,0.9000605097356832,0.9103077087762221
n3dv,uniform,4,81,21,0.25925925925925924,0.11848958333333333,0.1186354837299865,0.07822387601122444,10076264,6643918,34.06367677543979,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage49_extended_adaptive_rd/n3dv_uniform_gap4_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage49_extended_adaptive_rd/n3dv_uniform_gap4_q8_zlib.mdfcgs,0.0,0.0,4,4.0,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80,,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors,30.2620931976309,30.429613143857733,0.16751994622683242,30.150854934349642,30.377006861755877,0.22615192740623513,30.579916807005898,30.579916807005898,0.0,0.8999017793455242,0.9074298871888055,0.8986136794090271,0.9087766249974568
n3dv,rendered_prior_0p1,4,81,21,0.25925925925925924,0.11848958333333333,0.1186354837299865,0.07822387601122444,10076264,6643918,34.06367677543979,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage49_extended_adaptive_rd/n3dv_rendered_prior_0p1_gap4_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage49_extended_adaptive_rd/n3dv_rendered_prior_0p1_gap4_q8_zlib.mdfcgs,0.0,0.0,4,4.0,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80,0.05531515518669039,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors,30.2620931976309,30.429613143857733,0.16751994622683242,30.150854934349642,30.377006861755877,0.22615192740623513,30.579916807005898,30.579916807005898,0.0,0.8999017793455242,0.9074298871888055,0.8986136794090271,0.9087766249974568
n3dv,uniform,8,81,11,0.13580246913580246,0.062065972222222224,0.06214297259295428,0.040966952288592304,5278092,3479514,34.07629120523098,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage49_extended_adaptive_rd/n3dv_uniform_gap8_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage49_extended_adaptive_rd/n3dv_uniform_gap8_q8_zlib.mdfcgs,0.0,0.0,8,8.0,8 8 8 8 8 8 8 8 8 8,0 8 16 24 32 40 48 56 64 72 80,,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors,29.759978379903007,29.938123059399317,0.17814467949630952,29.63093140939672,29.837070252813888,0.20613884341716826,30.5811863740339,30.5811863740339,0.0,0.8947084362124219,0.9034850590022994,0.8933116836207253,0.9034674899918692
n3dv,rendered_prior_0p1,8,81,11,0.13580246913580246,0.062065972222222224,0.06214297259295428,0.040966952288592304,5278092,3479514,34.07629120523098,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage49_extended_adaptive_rd/n3dv_rendered_prior_0p1_gap8_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage49_extended_adaptive_rd/n3dv_rendered_prior_0p1_gap8_q8_zlib.mdfcgs,0.0,0.0,8,8.0,8 8 8 8 8 8 8 8 8 8,0 8 16 24 32 40 48 56 64 72 80,0.07065976500355949,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors,29.759978379903007,29.938123059399317,0.17814467949630952,29.63093140939672,29.837070252813888,0.20613884341716826,30.5811863740339,30.5811863740339,0.0,0.8947084362124219,0.9034850590022994,0.8933116836207253,0.9034674899918692
