sample,reference_gap,rate_kind,uniform_rate_mib_per_frame,adaptive_rate_mib_per_frame,rate_delta_mib_per_frame,selector_delta_adapter_all_psnr,selector_delta_adapter_middle_psnr
driving,1,zlib_mib_per_frame,0.29068785537908104,0.29068785537908104,0.0,0.0,
driving,2,zlib_mib_per_frame,0.147155773492507,0.147155773492507,0.0,0.0,0.0
driving,3,zlib_mib_per_frame,0.10050229673032407,0.10052132312162423,1.9026391300164258e-05,0.425487687502784,0.637757559758132
driving,4,zlib_mib_per_frame,0.07539344128267264,0.07539344128267264,0.0,0.0,0.0
driving,8,zlib_mib_per_frame,0.03951131561656057,0.0395233130749361,1.1997458375531678e-05,0.03340110564212395,0.03209849855958424
driving,16,zlib_mib_per_frame,0.021581579137731483,0.021578506187156395,-3.072950575087191e-06,0.02048354350085191,0.019978892193279307
meetroom,1,zlib_mib_per_frame,0.2941614669046284,0.2941614669046284,0.0,0.0,
meetroom,2,zlib_mib_per_frame,0.14890948637032214,0.14890948637032214,0.0,0.0,0.0
meetroom,3,zlib_mib_per_frame,0.10169572006037206,0.10169197600564839,-3.7440547236700095e-06,0.016695072778372122,0.023817311901449756
meetroom,4,zlib_mib_per_frame,0.07627582550048828,0.07627582550048828,0.0,0.0,0.0
meetroom,8,zlib_mib_per_frame,0.039963710455246916,0.039946297068654754,-1.7413386592161906e-05,0.11748100026268915,0.12893604611359422
meetroom,16,zlib_mib_per_frame,0.021798345777723525,0.021798793180489245,4.4740276572072246e-07,0.04573341814039722,0.04690989693839498
n3dv,1,zlib_mib_per_frame,0.3017021226294247,0.3017021226294247,0.0,0.0,
n3dv,2,zlib_mib_per_frame,0.15271293969801913,0.15271293969801913,0.0,0.0,0.0
n3dv,3,zlib_mib_per_frame,0.1042861232051143,0.10428513420952691,-9.889955873837453e-07,0.009070630543192237,0.01306018357272265
n3dv,4,zlib_mib_per_frame,0.07822387601122444,0.07822387601122444,0.0,0.0,0.0
n3dv,8,zlib_mib_per_frame,0.040966952288592304,0.040966952288592304,0.0,0.0,0.0
n3dv,16,zlib_mib_per_frame,0.022344718744725357,0.02234296445493345,-1.754289791908864e-06,0.07508025079923897,0.07943858740669185
robot,1,zlib_mib_per_frame,0.3070654683298879,0.3070654683298879,0.0,0.0,
robot,2,zlib_mib_per_frame,0.15556044392771534,0.15556044392771534,0.0,0.0,0.0
robot,3,zlib_mib_per_frame,0.10768481663295201,0.10766543351210557,-1.938312084644178e-05,0.12593819187432942,0.18401248311332807
robot,4,zlib_mib_per_frame,0.07977967448048777,0.07975530005120612,-2.437442928164557e-05,0.16331619309351808,0.21729521549740127
robot,8,zlib_mib_per_frame,0.04393036334545582,0.04387014562433416,-6.021772112165674e-05,0.2876497712710311,0.34384268018851216
robot,16,zlib_mib_per_frame,0.023968275491293375,0.023971792939421418,3.5174481280431102e-06,-0.018963597365331708,-0.01899001734383532
