bits,reference_gap,sample_count,mean_rate_delta_mib_per_frame,mean_delta_all_psnr,min_delta_all_psnr,positive_delta_count
8,1,4,0.0,0.0,0.0,0
8,2,4,0.0,0.0,0.0,0
8,3,4,-1.2724449643328195e-06,0.14429789567466944,0.009070630543192237,4
8,4,4,-6.093607320411393e-06,0.04082904827337952,0.0,1
8,8,4,-1.6408412334568273e-05,0.10963296929396105,0.0,3
8,16,4,-2.155973683080556e-07,0.030583403768789097,-0.018963597365331708,3
10,1,4,0.0,0.0,0.0,0
10,2,4,0.0,0.0,0.0,0
10,3,4,-1.5490326874534333e-05,0.15213390864013387,0.005491905505131456,4
10,4,4,4.000477976613681e-06,0.03760871243994579,0.0,1
10,8,4,-9.696797451490269e-06,0.11850143499414045,0.0,3
10,16,4,-2.2172889629946957e-06,0.038811226692954115,-0.040830605061721315,3
12,1,4,0.0,0.0,0.0,0
12,2,4,0.0,0.0,0.0,0
12,3,4,1.000692891404975e-06,0.15335610297660374,0.01022575033119466,4
12,4,4,-3.715614219773622e-08,0.03766755629850849,0.0,1
12,8,4,-4.11695407257634e-06,0.12087993585709178,0.0,3
12,16,4,-9.178943276219598e-07,0.03992826978909747,-0.04021615350439589,3
16,1,4,0.0,0.0,0.0,0
16,2,4,0.0,0.0,0.0,0
16,3,4,-1.808590512063918e-05,0.1536508218588084,0.010056500158420079,4
16,4,4,-4.709541023550923e-06,0.03764406177958346,0.0,1
16,8,4,-7.363223524951834e-06,0.12096181647950743,0.0,3
16,16,4,3.3754367409419284e-06,0.040045761086132003,-0.040280167567157577,3
