sample,reference_gap,bits,rate_kind,uniform_rate_mib_per_frame,adaptive_rate_mib_per_frame,rate_delta_mib_per_frame,selector_delta_adapter_all_psnr,selector_delta_adapter_middle_psnr
driving,1,8,raw_mib_per_frame,0.45760393731388044,0.45760393731388044,0.0,0.0,
driving,1,10,raw_mib_per_frame,0.9146447122832875,0.9146447122832875,0.0,0.0,
driving,1,12,raw_mib_per_frame,0.914650304817859,0.914650304817859,0.0,0.0,
driving,1,16,raw_mib_per_frame,0.9146545904654043,0.9146545904654043,0.0,0.0,
driving,2,8,raw_mib_per_frame,0.23162738187813464,0.23162738187813464,0.0,0.0,0.0
driving,2,10,raw_mib_per_frame,0.46296948562433693,0.46296948562433693,0.0,0.0,0.0
driving,2,12,raw_mib_per_frame,0.4629721464934172,0.4629721464934172,0.0,0.0,0.0
driving,2,16,raw_mib_per_frame,0.462974136258349,0.462974136258349,0.0,0.0,0.0
driving,3,8,raw_mib_per_frame,0.15818521711561415,0.15818471084406346,-5.062715506820581e-07,0.425487687502784,0.637757559758132
driving,3,10,raw_mib_per_frame,0.31617454246238424,0.3161741186071325,-4.238552517299432e-07,0.4596878635907764,0.7034274631859958
driving,3,12,raw_mib_per_frame,0.31617655577483,0.3161759317657094,-6.240091205977905e-07,0.4567060398034357,0.7033109290448678
driving,3,16,raw_mib_per_frame,0.316178180553295,0.3161774152590905,-7.652942045077715e-07,0.45852833804071125,0.7055264819221811
driving,4,8,raw_mib_per_frame,0.11863927487973813,0.11863927487973813,0.0,0.0,0.0
driving,4,10,raw_mib_per_frame,0.23713140134458188,0.23713140134458188,0.0,0.0,0.0
driving,4,12,raw_mib_per_frame,0.23713277887415002,0.23713277887415002,0.0,0.0,0.0
driving,4,16,raw_mib_per_frame,0.2371336383584105,0.2371336383584105,0.0,0.0,0.0
driving,8,8,raw_mib_per_frame,0.06214517428551191,0.06214477397777416,-4.003077377495723e-07,0.03340110564212395,0.03209849855958424
driving,8,10,raw_mib_per_frame,0.12421231210967641,0.12421211195580753,-2.0015386888172504e-07,0.03164402478638806,0.028796827505257028
driving,8,12,raw_mib_per_frame,0.124212959666311,0.12421283015498409,-1.2951132691285672e-07,0.02468922872193957,0.027066598881653192
driving,8,16,raw_mib_per_frame,0.12421346593786169,0.12421331287902078,-1.5305884090710542e-07,0.02435116445900576,0.026550120555057788
driving,16,8,raw_mib_per_frame,0.03389789440013744,0.03389788262638045,-1.1773756990185458e-08,0.02048354350085191,0.019978892193279307
driving,16,10,raw_mib_per_frame,0.06775275571846667,0.06775281458725164,5.886878497174397e-08,0.024256713345629066,0.02539521714416182
driving,16,12,raw_mib_per_frame,0.0677530382886345,0.0677532148949894,1.7660635488747634e-07,0.024640101085651622,0.026383972885369644
driving,16,16,raw_mib_per_frame,0.0677533561800733,0.06775355633394217,2.0015386886784725e-07,0.02445034256846057,0.02617303684467487
meetroom,1,8,raw_mib_per_frame,0.4576104364277404,0.4576104364277404,0.0,0.0,
meetroom,1,10,raw_mib_per_frame,0.914651882501296,0.914651882501296,0.0,0.0,
meetroom,1,12,raw_mib_per_frame,0.9146564742665232,0.9146564742665232,0.0,0.0,
meetroom,1,16,raw_mib_per_frame,0.9146607363665545,0.9146607363665545,0.0,0.0,
meetroom,2,8,raw_mib_per_frame,0.2316303606386538,0.2316303606386538,0.0,0.0,0.0
meetroom,2,10,raw_mib_per_frame,0.462972558574912,0.462972558574912,0.0,0.0,0.0
meetroom,2,12,raw_mib_per_frame,0.4629749486475815,0.4629749486475815,0.0,0.0,0.0
meetroom,2,16,raw_mib_per_frame,0.4629769501862703,0.4629769501862703,0.0,0.0,0.0
meetroom,3,8,raw_mib_per_frame,0.15818700672667704,0.15818717155927492,1.648325978764742e-07,0.016695072778372122,0.023817311901449756
meetroom,3,10,raw_mib_per_frame,0.31617677947621287,0.31617682657124085,4.7095027988497407e-08,0.013484867828452707,0.019971264736568628
meetroom,3,12,raw_mib_per_frame,0.3161783924809209,0.31617845134970585,5.886878495786618e-08,0.015459204474161936,0.022444327557408883
meetroom,3,16,raw_mib_per_frame,0.31617986420054495,0.31617993484308693,7.064254198274611e-08,0.01567855287264308,0.02275490179727413
