sample,reference_gap,bits,rate_kind,uniform_rate_mib_per_frame,adaptive_rate_mib_per_frame,rate_delta_mib_per_frame,selector_delta_adapter_all_psnr,selector_delta_adapter_middle_psnr
driving,1,8,zlib_mib_per_frame,0.2907107435626748,0.2907107435626748,0.0,0.0,
driving,1,10,zlib_mib_per_frame,0.4526420404881607,0.4526420404881607,0.0,0.0,
driving,1,12,zlib_mib_per_frame,0.5118033915390203,0.5118033915390203,0.0,0.0,
driving,1,16,zlib_mib_per_frame,0.6034774898011007,0.6034774898011007,0.0,0.0,
driving,2,8,zlib_mib_per_frame,0.14716735886938778,0.14716735886938778,0.0,0.0,0.0
driving,2,10,zlib_mib_per_frame,0.22914789929802035,0.22914789929802035,0.0,0.0,0.0
driving,2,12,zlib_mib_per_frame,0.25908407752896534,0.25908407752896534,0.0,0.0,0.0
driving,2,16,zlib_mib_per_frame,0.305482534714687,0.305482534714687,0.0,0.0,0.0
driving,3,8,zlib_mib_per_frame,0.10051020869502315,0.1005292350863233,1.902639130015038e-05,0.425487687502784,0.637757559758132
driving,3,10,zlib_mib_per_frame,0.15652438740671418,0.15650808075327932,-1.630665343485549e-05,0.4596878635907764,0.7034274631859958
driving,3,12,zlib_mib_per_frame,0.17696381792610075,0.17697468510380499,1.0867177704237951e-05,0.4567060398034357,0.7033109290448678
driving,3,16,zlib_mib_per_frame,0.20868780583511165,0.2086481989165883,-3.960691852333831e-05,0.45852833804071125,0.7055264819221811
driving,4,8,zlib_mib_per_frame,0.07539937525619696,0.07539937525619696,0.0,0.0,0.0
driving,4,10,zlib_mib_per_frame,0.11739946294713903,0.11739946294713903,0.0,0.0,0.0
driving,4,12,zlib_mib_per_frame,0.1327268694653923,0.1327268694653923,0.0,0.0,0.0
driving,4,16,zlib_mib_per_frame,0.15649935639934776,0.15649935639934776,0.0,0.0,0.0
driving,8,8,zlib_mib_per_frame,0.03951442388840663,0.039526421346782165,1.1997458375531678e-05,0.03340110564212395,0.03209849855958424
driving,8,10,zlib_mib_per_frame,0.061530077898943866,0.061536282668879005,6.204769935139187e-06,0.03164402478638806,0.028796827505257028
driving,8,12,zlib_mib_per_frame,0.06954709983166353,0.06956673845832731,1.9638626663778802e-05,0.02468922872193957,0.027066598881653192
driving,8,16,zlib_mib_per_frame,0.08198528525270062,0.08200946854956356,2.4183296862947956e-05,0.02435116445900576,0.026550120555057788
driving,16,8,zlib_mib_per_frame,0.021583274558738427,0.02158020160816334,-3.072950575087191e-06,0.02048354350085191,0.019978892193279307
driving,16,10,zlib_mib_per_frame,0.03360705905490451,0.03359649799488209,-1.056106002242374e-05,0.024256713345629066,0.02539521714416182
driving,16,12,zlib_mib_per_frame,0.037979337904188365,0.03797480500774619,-4.53289644217203e-06,0.024640101085651622,0.026383972885369644
driving,16,16,zlib_mib_per_frame,0.04477709311026114,0.044789161211178624,1.2068100917486668e-05,0.02445034256846057,0.02617303684467487
meetroom,1,8,zlib_mib_per_frame,0.29418435508822216,0.29418435508822216,0.0,0.0,
meetroom,1,10,zlib_mib_per_frame,0.4544349599767614,0.4544349599767614,0.0,0.0,
meetroom,1,12,zlib_mib_per_frame,0.517361275943709,0.517361275943709,0.0,0.0,
meetroom,1,16,zlib_mib_per_frame,0.6070812013414171,0.6070812013414171,0.0,0.0,
meetroom,2,8,zlib_mib_per_frame,0.14892107174720293,0.14892107174720293,0.0,0.0,0.0
meetroom,2,10,zlib_mib_per_frame,0.23003289728988835,0.23003289728988835,0.0,0.0,0.0
meetroom,2,12,zlib_mib_per_frame,0.2618924246893989,0.2618924246893989,0.0,0.0,0.0
meetroom,2,16,zlib_mib_per_frame,0.3072977301515179,0.3072977301515179,0.0,0.0,0.0
meetroom,3,8,zlib_mib_per_frame,0.10170363202507113,0.10169988797034746,-3.7440547236700095e-06,0.016695072778372122,0.023817311901449756
meetroom,3,10,zlib_mib_per_frame,0.15709556767969957,0.15709441385151426,-1.1538281853018528e-06,0.013484867828452707,0.019971264736568628
meetroom,3,12,zlib_mib_per_frame,0.1788448993070626,0.17885110407699772,6.204769935125309e-06,0.015459204474161936,0.022444327557408883
meetroom,3,16,zlib_mib_per_frame,0.20986157876473885,0.20984949889006438,-1.2079874674469915e-05,0.01567855287264308,0.02275490179727413
meetroom,4,8,zlib_mib_per_frame,0.07628175947401258,0.07628175947401258,0.0,0.0,0.0
meetroom,4,10,zlib_mib_per_frame,0.11782603793674046,0.11782603793674046,0.0,0.0,0.0
meetroom,4,12,zlib_mib_per_frame,0.13415439040572555,0.13415439040572555,0.0,0.0,0.0
meetroom,4,16,zlib_mib_per_frame,0.15741017424030068,0.15741017424030068,0.0,0.0,0.0
meetroom,8,8,zlib_mib_per_frame,0.03996681872709298,0.03994940534050082,-1.7413386592154967e-05,0.11748100026268915,0.12893604611359422
meetroom,8,10,zlib_mib_per_frame,0.0617237208802023,0.06171481991991585,-8.900960286453707e-06,0.15409810241692767,0.16196985849068568
meetroom,8,12,zlib_mib_per_frame,0.07027613086464965,0.0702590235957393,-1.7107268910354634e-05,0.1660553401820124,0.17369561817340085
meetroom,8,16,zlib_mib_per_frame,0.08246232256477262,0.08244124753975574,-2.107502501688674e-05,0.16640761854539932,0.17402260029137295
meetroom,16,8,zlib_mib_per_frame,0.02180004119873047,0.02180048860149619,4.4740276572072246e-07,0.04573341814039722,0.04690989693839498
meetroom,16,10,zlib_mib_per_frame,0.03367007220232928,0.03367073153272087,6.593303915891635e-07,0.0425745459991802,0.04297370428435343
meetroom,16,12,zlib_mib_per_frame,0.03833499955542294,0.03833134969075521,-3.649864667727709e-06,0.039717264370956684,0.040165696574511855
meetroom,16,16,zlib_mib_per_frame,0.0449816268167378,0.04497809468964,-3.532127097798099e-06,0.04059449739923693,0.04092526464144797
n3dv,1,8,zlib_mib_per_frame,0.30172501081301845,0.30172501081301845,0.0,0.0,
n3dv,1,10,zlib_mib_per_frame,0.4652730918224947,0.4652730918224947,0.0,0.0,
n3dv,1,12,zlib_mib_per_frame,0.5261429092030466,0.5261429092030466,0.0,0.0,
n3dv,1,16,zlib_mib_per_frame,0.6181666174052675,0.6181666174052675,0.0,0.0,
n3dv,2,8,zlib_mib_per_frame,0.15272452507489992,0.15272452507489992,0.0,0.0,0.0
n3dv,2,10,zlib_mib_per_frame,0.2355223055239077,0.2355223055239077,0.0,0.0,0.0
n3dv,2,12,zlib_mib_per_frame,0.26633025981761793,0.26633025981761793,0.0,0.0,0.0
n3dv,2,16,zlib_mib_per_frame,0.3129082785712348,0.3129082785712348,0.0,0.0,0.0
n3dv,3,8,zlib_mib_per_frame,0.10429403516981336,0.10429304617422598,-9.889955873837453e-07,0.009070630543192237,0.01306018357272265
n3dv,3,10,zlib_mib_per_frame,0.160827624944993,0.1608350188643844,7.39391939139078e-06,0.005491905505131456,0.007925841376042797
n3dv,3,12,zlib_mib_per_frame,0.18187326266441817,0.18188451837610314,1.1255711684976522e-05,0.01022575033119466,0.014733844651679817
n3dv,3,16,zlib_mib_per_frame,0.21368636614010658,0.21368847364260826,2.1075025016803473e-06,0.010056500158420079,0.014638635203617412
n3dv,4,8,zlib_mib_per_frame,0.07822980998474875,0.07822980998474875,0.0,0.0,0.0
n3dv,4,10,zlib_mib_per_frame,0.12064874908070505,0.12064874908070505,0.0,0.0,0.0
n3dv,4,12,zlib_mib_per_frame,0.13641672958562404,0.13641672958562404,0.0,0.0,0.0
n3dv,4,16,zlib_mib_per_frame,0.1602832888379509,0.1602832888379509,0.0,0.0,0.0
n3dv,8,8,zlib_mib_per_frame,0.040970060560438365,0.040970060560438365,0.0,0.0,0.0
n3dv,8,10,zlib_mib_per_frame,0.06319966728304639,0.06319966728304639,0.0,0.0,0.0
n3dv,8,12,zlib_mib_per_frame,0.07145700336974344,0.07145700336974344,0.0,0.0,0.0
n3dv,8,16,zlib_mib_per_frame,0.08395976784788532,0.08395976784788532,0.0,0.0,0.0
n3dv,16,8,zlib_mib_per_frame,0.0223464141657323,0.022344659875940392,-1.754289791908864e-06,0.07508025079923897,0.07943858740669185
n3dv,16,10,zlib_mib_per_frame,0.03446808567753545,0.034463705839934175,-4.379837601271863e-06,0.1292442524887285,0.13773602076031466
n3dv,16,12,zlib_mib_per_frame,0.03897598643361786,0.03897187739242742,-4.1090411904420865e-06,0.13557186720417747,0.14403781396163495
n3dv,16,16,zlib_mib_per_frame,0.045796582728256416,0.04579731270118996,7.29972933544154e-07,0.1354183719439881,0.14399391221072122
