family,method,variant,sample,sequence,dataset_protocol,source_stage,source_group,source_file,literature_or_local,fair_local_run,comparison_status,rate_mib_per_frame,rate_unit,rate_scope,secondary_rate_value,secondary_rate_unit,quality_psnr,quality_ssim,quality_lpips,quality_l1,quality_middle_psnr,diagnostic_codec_psnr,diagnostic_codec_l1,quality_scope,quality_reliable_for_input_video,frame_count,keyframe_or_iframe_count,pframe_count,reference_gap,bits,max_points_per_frame,lambda_or_q,stage53_candidate,notes
ours,Mono-DFCGS uniform,uniform gap=1 q8,n3dv,n3dv,local StreamSplat-derived monocular videos; anchor-only adapter full-video RD,Stage51,stage51_high_rate_multibit_rd,/mnt/hdd2tC/haocheng/Mono-DFCGS/experiments/stage51_high_rate_multibit_rd/stage51_high_rate_multibit_rd.csv,local run,true,our local deployable uniform-keyframe baseline,0.30172501081301845,actual zlib Gaussian-anchor bitstream MiB/frame,transmitted keyframe Gaussian anchors only; decoder/model weights excluded,0.4576145925639588,actual raw Gaussian-anchor bitstream MiB/frame,30.605119268782953,0.9038226302759147,,,,,,all-frame rendered adapter PSNR/SSIM; middle-only PSNR included when available,true,81,81,,1,8,,,true,"Uniform keyframe layout is deployable; adapter weights are excluded from rate. Multi-bit q10/q12/q16 storage is the Stage50 prototype container, not bit-packed entropy coding."
ours,Mono-DFCGS uniform,uniform gap=1 q10,n3dv,n3dv,local StreamSplat-derived monocular videos; anchor-only adapter full-video RD,Stage51,stage51_high_rate_multibit_rd,/mnt/hdd2tC/haocheng/Mono-DFCGS/experiments/stage51_high_rate_multibit_rd/stage51_high_rate_multibit_rd.csv,local run,true,our local deployable uniform-keyframe baseline,0.4652730918224947,actual zlib Gaussian-anchor bitstream MiB/frame,transmitted keyframe Gaussian anchors only; decoder/model weights excluded,0.9146562505651403,actual raw Gaussian-anchor bitstream MiB/frame,33.82014481890842,0.9609910713301765,,,,,,all-frame rendered adapter PSNR/SSIM; middle-only PSNR included when available,true,81,81,,1,10,,,true,"Uniform keyframe layout is deployable; adapter weights are excluded from rate. Multi-bit q10/q12/q16 storage is the Stage50 prototype container, not bit-packed entropy coding."
ours,Mono-DFCGS uniform,uniform gap=1 q12,n3dv,n3dv,local StreamSplat-derived monocular videos; anchor-only adapter full-video RD,Stage51,stage51_high_rate_multibit_rd,/mnt/hdd2tC/haocheng/Mono-DFCGS/experiments/stage51_high_rate_multibit_rd/stage51_high_rate_multibit_rd.csv,local run,true,our local deployable uniform-keyframe baseline,0.5261429092030466,actual zlib Gaussian-anchor bitstream MiB/frame,transmitted keyframe Gaussian anchors only; decoder/model weights excluded,0.9146603242850598,actual raw Gaussian-anchor bitstream MiB/frame,34.40694139540215,0.9691716638612159,,,,,,all-frame rendered adapter PSNR/SSIM; middle-only PSNR included when available,true,81,81,,1,12,,,true,"Uniform keyframe layout is deployable; adapter weights are excluded from rate. Multi-bit q10/q12/q16 storage is the Stage50 prototype container, not bit-packed entropy coding."
ours,Mono-DFCGS uniform,uniform gap=1 q16,n3dv,n3dv,local StreamSplat-derived monocular videos; anchor-only adapter full-video RD,Stage51,stage51_high_rate_multibit_rd,/mnt/hdd2tC/haocheng/Mono-DFCGS/experiments/stage51_high_rate_multibit_rd/stage51_high_rate_multibit_rd.csv,local run,true,our local deployable uniform-keyframe baseline,0.6181666174052675,actual zlib Gaussian-anchor bitstream MiB/frame,transmitted keyframe Gaussian anchors only; decoder/model weights excluded,0.9146653163580247,actual raw Gaussian-anchor bitstream MiB/frame,34.44643135630639,0.9698125447755979,,,,,,all-frame rendered adapter PSNR/SSIM; middle-only PSNR included when available,true,81,81,,1,16,,,true,"Uniform keyframe layout is deployable; adapter weights are excluded from rate. Multi-bit q10/q12/q16 storage is the Stage50 prototype container, not bit-packed entropy coding."
ours,Mono-DFCGS adaptive,rendered_prior_0p1 gap=1 q8,n3dv,n3dv,local StreamSplat-derived monocular videos; anchor-only adapter full-video RD,Stage51,stage51_high_rate_multibit_rd,/mnt/hdd2tC/haocheng/Mono-DFCGS/experiments/stage51_high_rate_multibit_rd/stage51_high_rate_multibit_rd.csv,local run,true,our local oracle-calibrated selector; not final deployable selector,0.30172501081301845,actual zlib Gaussian-anchor bitstream MiB/frame,transmitted keyframe Gaussian anchors only; decoder/model weights excluded,0.4576145925639588,actual raw Gaussian-anchor bitstream MiB/frame,30.605119268782953,0.9038226302759147,,,,,,all-frame rendered adapter PSNR/SSIM; middle-only PSNR included when available,true,81,81,,1,8,,,true,"Adaptive layout uses rendered-oracle calibrated costs from Stage45b/49/51. Multi-bit q10/q12/q16 storage is the Stage50 prototype container, not bit-packed entropy coding."
ours,Mono-DFCGS adaptive,rendered_prior_0p1 gap=1 q10,n3dv,n3dv,local StreamSplat-derived monocular videos; anchor-only adapter full-video RD,Stage51,stage51_high_rate_multibit_rd,/mnt/hdd2tC/haocheng/Mono-DFCGS/experiments/stage51_high_rate_multibit_rd/stage51_high_rate_multibit_rd.csv,local run,true,our local oracle-calibrated selector; not final deployable selector,0.4652730918224947,actual zlib Gaussian-anchor bitstream MiB/frame,transmitted keyframe Gaussian anchors only; decoder/model weights excluded,0.9146562505651403,actual raw Gaussian-anchor bitstream MiB/frame,33.82014481890842,0.9609910713301765,,,,,,all-frame rendered adapter PSNR/SSIM; middle-only PSNR included when available,true,81,81,,1,10,,,true,"Adaptive layout uses rendered-oracle calibrated costs from Stage45b/49/51. Multi-bit q10/q12/q16 storage is the Stage50 prototype container, not bit-packed entropy coding."
ours,Mono-DFCGS adaptive,rendered_prior_0p1 gap=1 q12,n3dv,n3dv,local StreamSplat-derived monocular videos; anchor-only adapter full-video RD,Stage51,stage51_high_rate_multibit_rd,/mnt/hdd2tC/haocheng/Mono-DFCGS/experiments/stage51_high_rate_multibit_rd/stage51_high_rate_multibit_rd.csv,local run,true,our local oracle-calibrated selector; not final deployable selector,0.5261429092030466,actual zlib Gaussian-anchor bitstream MiB/frame,transmitted keyframe Gaussian anchors only; decoder/model weights excluded,0.9146603242850598,actual raw Gaussian-anchor bitstream MiB/frame,34.40694139540215,0.9691716638612159,,,,,,all-frame rendered adapter PSNR/SSIM; middle-only PSNR included when available,true,81,81,,1,12,,,true,"Adaptive layout uses rendered-oracle calibrated costs from Stage45b/49/51. Multi-bit q10/q12/q16 storage is the Stage50 prototype container, not bit-packed entropy coding."
ours,Mono-DFCGS adaptive,rendered_prior_0p1 gap=1 q16,n3dv,n3dv,local StreamSplat-derived monocular videos; anchor-only adapter full-video RD,Stage51,stage51_high_rate_multibit_rd,/mnt/hdd2tC/haocheng/Mono-DFCGS/experiments/stage51_high_rate_multibit_rd/stage51_high_rate_multibit_rd.csv,local run,true,our local oracle-calibrated selector; not final deployable selector,0.6181666174052675,actual zlib Gaussian-anchor bitstream MiB/frame,transmitted keyframe Gaussian anchors only; decoder/model weights excluded,0.9146653163580247,actual raw Gaussian-anchor bitstream MiB/frame,34.44643135630639,0.9698125447755979,,,,,,all-frame rendered adapter PSNR/SSIM; middle-only PSNR included when available,true,81,81,,1,16,,,true,"Adaptive layout uses rendered-oracle calibrated costs from Stage45b/49/51. Multi-bit q10/q12/q16 storage is the Stage50 prototype container, not bit-packed entropy coding."
ours,Mono-DFCGS uniform,uniform gap=2 q8,n3dv,n3dv,local StreamSplat-derived monocular videos; anchor-only adapter full-video RD,Stage51,stage51_high_rate_multibit_rd,/mnt/hdd2tC/haocheng/Mono-DFCGS/experiments/stage51_high_rate_multibit_rd/stage51_high_rate_multibit_rd.csv,local run,true,our local deployable uniform-keyframe baseline,0.15272452507489992,actual zlib Gaussian-anchor bitstream MiB/frame,transmitted keyframe Gaussian anchors only; decoder/model weights excluded,0.2316327153900523,actual raw Gaussian-anchor bitstream MiB/frame,30.628127521890942,0.9077433281474643,,,30.663535155180625,,,all-frame rendered adapter PSNR/SSIM; middle-only PSNR included when available,true,81,41,,2,8,,,true,"Uniform keyframe layout is deployable; adapter weights are excluded from rate. Multi-bit q10/q12/q16 storage is the Stage50 prototype container, not bit-packed entropy coding."
ours,Mono-DFCGS uniform,uniform gap=2 q10,n3dv,n3dv,local StreamSplat-derived monocular videos; anchor-only adapter full-video RD,Stage51,stage51_high_rate_multibit_rd,/mnt/hdd2tC/haocheng/Mono-DFCGS/experiments/stage51_high_rate_multibit_rd/stage51_high_rate_multibit_rd.csv,local run,true,our local deployable uniform-keyframe baseline,0.2355223055239077,actual zlib Gaussian-anchor bitstream MiB/frame,transmitted keyframe Gaussian anchors only; decoder/model weights excluded,0.46297473671995565,actual raw Gaussian-anchor bitstream MiB/frame,33.473680809218656,0.9592652997852843,,,33.13469449341077,,,all-frame rendered adapter PSNR/SSIM; middle-only PSNR included when available,true,81,41,,2,10,,,true,"Uniform keyframe layout is deployable; adapter weights are excluded from rate. Multi-bit q10/q12/q16 storage is the Stage50 prototype container, not bit-packed entropy coding."
