family,method,sample,bits,lambda_or_q,source_group,rows,mean_rate_mib_per_frame,mean_quality_psnr,mean_quality_ssim,mean_quality_middle_psnr,stage53_candidate_rows,comparison_status,rate_unit
external_baseline,FCGS,driving,,0.0001,compactworld_standalone_fcgs_summaries,1,7.4989265512537076,14.0492872779752,0.2184984612244147,,1,local external protocol reference; rate/quality available but not apples-to-apples with Mono-DFCGS,full FCGS/D-FCGS codec MiB/frame
external_baseline,FCGS,driving,,0.0002,compactworld_standalone_fcgs_summaries,1,6.6994205992898825,15.585979285063567,0.6431203035660732,,1,local external protocol reference; rate/quality available but not apples-to-apples with Mono-DFCGS,full FCGS/D-FCGS codec MiB/frame
external_baseline,FCGS,driving,,0.0004,compactworld_standalone_fcgs_summaries,1,1.5032539367675781,,,,0,local external incomplete candidate,full FCGS/D-FCGS codec MiB/frame
external_baseline,FCGS,driving,,0.0004,compactworld_standalone_fcgs_summaries,1,5.78409806004277,15.576850019855264,0.6417792549839726,,1,local external protocol reference; rate/quality available but not apples-to-apples with Mono-DFCGS,full FCGS/D-FCGS codec MiB/frame
external_baseline,FCGS,driving,,0.0008,compactworld_standalone_fcgs_summaries,1,4.359941364806375,15.56657404958466,0.636517341490145,,1,local external protocol reference; rate/quality available but not apples-to-apples with Mono-DFCGS,full FCGS/D-FCGS codec MiB/frame
external_baseline,FCGS,driving,,0.0016,compactworld_standalone_fcgs_summaries,1,3.9614050229390463,15.54056388537089,0.632845018307368,,1,local external protocol reference; rate/quality available but not apples-to-apples with Mono-DFCGS,full FCGS/D-FCGS codec MiB/frame
external_baseline,FCGS,driving,,0.0016,lowrate_standalone_fcgs_summaries,2,3.0008452658383353,15.290159451220102,0.5687831180296438,,2,local external protocol reference; rate/quality available but not apples-to-apples with Mono-DFCGS,full FCGS/D-FCGS codec MiB/frame
external_baseline,FCGS,meetroom,,0.0001,compactworld_standalone_fcgs_summaries,1,8.194238203543204,,,,0,local external diagnostic only; dummy references do not provide input-video quality,full FCGS/D-FCGS codec MiB/frame
external_baseline,FCGS,meetroom,,0.0002,compactworld_standalone_fcgs_summaries,1,7.039028120629581,,,,0,local external diagnostic only; dummy references do not provide input-video quality,full FCGS/D-FCGS codec MiB/frame
external_baseline,FCGS,meetroom,,0.0004,compactworld_standalone_fcgs_summaries,1,6.2931031238885575,,,,0,local external diagnostic only; dummy references do not provide input-video quality,full FCGS/D-FCGS codec MiB/frame
external_baseline,FCGS,meetroom,,0.0004,multisequence_standalone_fcgs_summaries,15,3.354938649150079,23.274236740300683,0.6633004445107387,,15,local external protocol reference; rate/quality available but not apples-to-apples with Mono-DFCGS,full FCGS/D-FCGS codec MiB/frame
external_baseline,FCGS,meetroom,,0.0008,compactworld_standalone_fcgs_summaries,1,5.134977752779737,,,,0,local external diagnostic only; dummy references do not provide input-video quality,full FCGS/D-FCGS codec MiB/frame
external_baseline,FCGS,meetroom,,0.0008,multisequence_standalone_fcgs_summaries,15,2.7558336108800314,23.19407064492811,0.6578775690906823,,15,local external protocol reference; rate/quality available but not apples-to-apples with Mono-DFCGS,full FCGS/D-FCGS codec MiB/frame
external_baseline,FCGS,meetroom,,0.0016,compactworld_standalone_fcgs_summaries,1,4.52771348129084,,,,0,local external diagnostic only; dummy references do not provide input-video quality,full FCGS/D-FCGS codec MiB/frame
external_baseline,FCGS,meetroom,,0.0016,lowrate_standalone_fcgs_summaries,2,3.06880106749358,25.060203175485867,0.7466720489808071,,2,local external protocol reference; rate/quality available but not apples-to-apples with Mono-DFCGS,full FCGS/D-FCGS codec MiB/frame
external_baseline,FCGS,meetroom,,0.0016,multisequence_standalone_fcgs_summaries,15,2.52276087631414,22.852836723484625,0.6464534149738986,,15,local external protocol reference; rate/quality available but not apples-to-apples with Mono-DFCGS,full FCGS/D-FCGS codec MiB/frame
external_baseline,FCGS,n3dv,,0.0001,compactworld_standalone_fcgs_summaries,1,9.135966748367121,,,,0,local external diagnostic only; dummy references do not provide input-video quality,full FCGS/D-FCGS codec MiB/frame
external_baseline,FCGS,n3dv,,0.0002,compactworld_standalone_fcgs_summaries,1,7.90403217739529,,,,0,local external diagnostic only; dummy references do not provide input-video quality,full FCGS/D-FCGS codec MiB/frame
external_baseline,FCGS,n3dv,,0.0004,compactworld_standalone_fcgs_summaries,2,4.016313935503548,,,,0,local external diagnostic only; dummy references do not provide input-video quality,full FCGS/D-FCGS codec MiB/frame
external_baseline,FCGS,n3dv,,0.0004,multisequence_standalone_fcgs_summaries,18,3.3677475776201415,20.484354368453157,0.5899627900417941,,18,local external protocol reference; rate/quality available but not apples-to-apples with Mono-DFCGS,full FCGS/D-FCGS codec MiB/frame
external_baseline,FCGS,n3dv,,0.0008,compactworld_standalone_fcgs_summaries,1,5.186544901058998,,,,0,local external diagnostic only; dummy references do not provide input-video quality,full FCGS/D-FCGS codec MiB/frame
external_baseline,FCGS,n3dv,,0.0008,multisequence_standalone_fcgs_summaries,18,2.755710980529157,20.48946319522518,0.5883558374945848,,18,local external protocol reference; rate/quality available but not apples-to-apples with Mono-DFCGS,full FCGS/D-FCGS codec MiB/frame
external_baseline,FCGS,n3dv,,0.0016,compactworld_standalone_fcgs_summaries,1,4.950113944065424,,,,0,local external diagnostic only; dummy references do not provide input-video quality,full FCGS/D-FCGS codec MiB/frame
external_baseline,FCGS,n3dv,,0.0016,lowrate_standalone_fcgs_summaries,5,1.6656056252708766,14.803899561442847,0.3306384434425086,,5,local external protocol reference; rate/quality available but not apples-to-apples with Mono-DFCGS,full FCGS/D-FCGS codec MiB/frame
external_baseline,FCGS,n3dv,,0.0016,multisequence_standalone_fcgs_summaries,18,2.5029784563637563,20.459064282180513,0.5772742202661328,,18,local external protocol reference; rate/quality available but not apples-to-apples with Mono-DFCGS,full FCGS/D-FCGS codec MiB/frame
external_baseline,FCGS,robot,,0.0001,compactworld_standalone_fcgs_summaries,1,5.776891423510267,18.480556636661678,0.5755720765559704,,1,local external protocol reference; rate/quality available but not apples-to-apples with Mono-DFCGS,full FCGS/D-FCGS codec MiB/frame
external_baseline,FCGS,robot,,0.0002,compactworld_standalone_fcgs_summaries,1,4.992639157679174,18.45475521335354,0.57415505043872,,1,local external protocol reference; rate/quality available but not apples-to-apples with Mono-DFCGS,full FCGS/D-FCGS codec MiB/frame
external_baseline,FCGS,robot,,0.0004,compactworld_standalone_fcgs_summaries,1,4.1678001973536105,18.44069785576362,0.5714091550220143,,1,local external protocol reference; rate/quality available but not apples-to-apples with Mono-DFCGS,full FCGS/D-FCGS codec MiB/frame
external_baseline,FCGS,robot,,0.0008,compactworld_standalone_fcgs_summaries,1,3.59143404527144,18.43440885667677,0.569553347377034,,1,local external protocol reference; rate/quality available but not apples-to-apples with Mono-DFCGS,full FCGS/D-FCGS codec MiB/frame
external_baseline,FCGS,robot,,0.0016,compactworld_standalone_fcgs_summaries,1,3.255491776899858,18.379838472836976,0.5605357397686351,,1,local external protocol reference; rate/quality available but not apples-to-apples with Mono-DFCGS,full FCGS/D-FCGS codec MiB/frame
external_baseline,FCGS,shaky_video,,0.0016,lowrate_standalone_fcgs_summaries,2,1.8059142195148232,15.531326317492827,0.7470268945635101,,2,local external protocol reference; rate/quality available but not apples-to-apples with Mono-DFCGS,full FCGS/D-FCGS codec MiB/frame
external_baseline,FCGS,tree_and_building,,0.0004,lowrate_standalone_fcgs_summaries,1,2.484527952877092,26.96320403063739,0.8130036051626559,,1,local external protocol reference; rate/quality available but not apples-to-apples with Mono-DFCGS,full FCGS/D-FCGS codec MiB/frame
external_baseline,FCGS,tree_and_building,,0.0008,lowrate_standalone_fcgs_summaries,1,2.1758675634125133,27.00180482275692,0.816165902732331,,1,local external protocol reference; rate/quality available but not apples-to-apples with Mono-DFCGS,full FCGS/D-FCGS codec MiB/frame
external_baseline,FCGS,tree_and_building,,0.0016,lowrate_standalone_fcgs_summaries,2,1.872980953734598,26.232217364841038,0.798917637930976,,2,local external protocol reference; rate/quality available but not apples-to-apples with Mono-DFCGS,full FCGS/D-FCGS codec MiB/frame
external_baseline,FCGS,video_editing_case1,,0.0004,lowrate_standalone_fcgs_summaries,1,2.3174976184044356,32.20336301827136,0.9290048443240884,,1,local external protocol reference; rate/quality available but not apples-to-apples with Mono-DFCGS,full FCGS/D-FCGS codec MiB/frame
external_baseline,FCGS,video_editing_case1,,0.0008,lowrate_standalone_fcgs_summaries,1,2.129739196212203,31.959750304987402,0.9281218890790586,,1,local external protocol reference; rate/quality available but not apples-to-apples with Mono-DFCGS,full FCGS/D-FCGS codec MiB/frame
external_baseline,FCGS,video_editing_case1,,0.0016,lowrate_standalone_fcgs_summaries,2,1.835381590289834,31.51878919719178,0.9156384666760763,,2,local external protocol reference; rate/quality available but not apples-to-apples with Mono-DFCGS,full FCGS/D-FCGS codec MiB/frame
external_baseline,FCGS-I + D-FCGS-P,driving,,0.0002,compactworld_dfcgs_fcgs_i_lambda_sweep,1,3.761394123972198,15.288281381866078,0.5548891568625415,,1,local external protocol reference; rate/quality available but not apples-to-apples with Mono-DFCGS,full FCGS/D-FCGS codec MiB/frame
external_baseline,FCGS-I + D-FCGS-P,driving,,0.0004,compactworld_dfcgs_fcgs_i_lambda_sweep,1,3.2987216195942444,15.282506189228576,0.554181918317889,,1,local external protocol reference; rate/quality available but not apples-to-apples with Mono-DFCGS,full FCGS/D-FCGS codec MiB/frame
external_baseline,FCGS-I + D-FCGS-P,driving,,0.0008,compactworld_dfcgs_fcgs_i_gop2,1,2.579059341807424,15.279034037648895,0.5515705564139802,,1,local external protocol reference; rate/quality available but not apples-to-apples with Mono-DFCGS,full FCGS/D-FCGS codec MiB/frame
external_baseline,FCGS-I + D-FCGS-P,driving,,0.0008,compactworld_dfcgs_fcgs_i_lambda_sweep,1,2.579059341807424,15.279034037648895,0.5515705564139802,,1,local external protocol reference; rate/quality available but not apples-to-apples with Mono-DFCGS,full FCGS/D-FCGS codec MiB/frame
external_baseline,FCGS-I + D-FCGS-P,meetroom,,0.0002,compactworld_dfcgs_fcgs_i_lambda_sweep,1,3.803516894211004,,,,0,local external diagnostic only; dummy references do not provide input-video quality,full FCGS/D-FCGS codec MiB/frame
external_baseline,FCGS-I + D-FCGS-P,meetroom,,0.0004,compactworld_dfcgs_fcgs_i_lambda_sweep,1,3.4261385246559426,,,,0,local external diagnostic only; dummy references do not provide input-video quality,full FCGS/D-FCGS codec MiB/frame
external_baseline,FCGS-I + D-FCGS-P,meetroom,,0.0008,compactworld_dfcgs_fcgs_i_gop2,1,2.840132454295217,,,,0,local external diagnostic only; dummy references do not provide input-video quality,full FCGS/D-FCGS codec MiB/frame
external_baseline,FCGS-I + D-FCGS-P,meetroom,,0.0008,compactworld_dfcgs_fcgs_i_lambda_sweep,1,2.840132454295217,,,,0,local external diagnostic only; dummy references do not provide input-video quality,full FCGS/D-FCGS codec MiB/frame
external_baseline,FCGS-I + D-FCGS-P,meetroom,,0.0016,lowrate_dfcgs_fcgs_i_summaries,2,1.7110967871583538,24.49623018429603,0.7393144244029197,,2,local external protocol reference; rate/quality available but not apples-to-apples with Mono-DFCGS,full FCGS/D-FCGS codec MiB/frame
