policy,sample,reference_gap,chosen_method,delta_all_psnr,delta_middle_psnr,chosen_reason,train_policy,jaccard_to_oracle,max_segment_ratio,mean_abs_len_error_ratio,indices
uniform,driving,4,uniform,0.0,0.0,fallback baseline,always uniform,,1.0,0.0,
uniform,driving,8,uniform,0.0,0.0,fallback baseline,always uniform,,1.0,0.0,
uniform,driving,16,uniform,0.0,0.0,fallback baseline,always uniform,,1.0,0.0,
uniform,meetroom,4,uniform,0.0,0.0,fallback baseline,always uniform,,1.0,0.0,
uniform,meetroom,8,uniform,0.0,0.0,fallback baseline,always uniform,,1.0,0.0,
uniform,meetroom,16,uniform,0.0,0.0,fallback baseline,always uniform,,1.0,0.0,
uniform,n3dv,4,uniform,0.0,0.0,fallback baseline,always uniform,,1.0,0.0,
uniform,n3dv,8,uniform,0.0,0.0,fallback baseline,always uniform,,1.0,0.0,
uniform,n3dv,16,uniform,0.0,0.0,fallback baseline,always uniform,,1.0,0.0,
uniform,robot,4,uniform,0.0,0.0,fallback baseline,always uniform,,1.0,0.0,
uniform,robot,8,uniform,0.0,0.0,fallback baseline,always uniform,,1.0,0.0,
uniform,robot,16,uniform,0.0,0.0,fallback baseline,always uniform,,1.0,0.0,
oracle_best_candidate_pool,driving,4,uniform,0.0,0.0,oracle fallback chose uniform,uses actual RD outcome,,1.0,0.0,
oracle_best_candidate_pool,driving,8,uniform,0.0,0.0,oracle fallback chose uniform,uses actual RD outcome,,1.0,0.0,
oracle_best_candidate_pool,driving,16,uniform,0.0,0.0,oracle fallback chose uniform,uses actual RD outcome,,1.0,0.0,
oracle_best_candidate_pool,meetroom,4,uniform,0.0,0.0,oracle fallback chose uniform,uses actual RD outcome,,1.0,0.0,
oracle_best_candidate_pool,meetroom,8,uniform,0.0,0.0,oracle fallback chose uniform,uses actual RD outcome,,1.0,0.0,
oracle_best_candidate_pool,meetroom,16,full_sample_z_rank_prior_0p3,0.011173527212974932,0.010047379193775186,oracle chose best actual candidate,uses actual RD outcome,0.2,1.125,0.1,0 18 36 52 68 80
oracle_best_candidate_pool,n3dv,4,uniform,0.0,0.0,oracle fallback chose uniform,uses actual RD outcome,,1.0,0.0,
oracle_best_candidate_pool,n3dv,8,full_sample_z_rank_prior_0p3,0.011565942337004032,0.009324726252547322,oracle chose best actual candidate,uses actual RD outcome,0.2222222222222222,1.125,0.05,0 8 17 25 33 41 49 57 64 71 80
oracle_best_candidate_pool,n3dv,16,full_sample_z_rank_prior_0p1,0.05288881517569877,0.054342095015151415,oracle chose best actual candidate,uses actual RD outcome,0.2,1.25,0.175,0 17 35 55 69 80
oracle_best_candidate_pool,robot,4,uniform,0.0,0.0,oracle fallback chose uniform,uses actual RD outcome,,1.0,0.0,
oracle_best_candidate_pool,robot,8,uniform,0.0,0.0,oracle fallback chose uniform,uses actual RD outcome,,1.0,0.0,
oracle_best_candidate_pool,robot,16,uniform,0.0,0.0,oracle fallback chose uniform,uses actual RD outcome,,1.0,0.0,
oracle_layout_imitation,driving,4,uniform,0.0,0.0,uniform is at least as oracle-like by Jaccard,uses oracle layout,,1.0,0.0,
oracle_layout_imitation,driving,8,uniform,0.0,0.0,uniform is at least as oracle-like by Jaccard,uses oracle layout,,1.0,0.0,
oracle_layout_imitation,driving,16,uniform,0.0,0.0,uniform is at least as oracle-like by Jaccard,uses oracle layout,,1.0,0.0,
oracle_layout_imitation,meetroom,4,uniform,0.0,0.0,uniform is at least as oracle-like by Jaccard,uses oracle layout,,1.0,0.0,
oracle_layout_imitation,meetroom,8,uniform,0.0,0.0,uniform is at least as oracle-like by Jaccard,uses oracle layout,,1.0,0.0,
oracle_layout_imitation,meetroom,16,uniform,0.0,0.0,uniform is at least as oracle-like by Jaccard,uses oracle layout,,1.0,0.0,
oracle_layout_imitation,n3dv,4,uniform,0.0,0.0,uniform is at least as oracle-like by Jaccard,uses oracle layout,,1.0,0.0,
oracle_layout_imitation,n3dv,8,uniform,0.0,0.0,uniform is at least as oracle-like by Jaccard,uses oracle layout,,1.0,0.0,
oracle_layout_imitation,n3dv,16,uniform,0.0,0.0,uniform is at least as oracle-like by Jaccard,uses oracle layout,,1.0,0.0,
oracle_layout_imitation,robot,4,uniform,0.0,0.0,uniform is at least as oracle-like by Jaccard,uses oracle layout,,1.0,0.0,
oracle_layout_imitation,robot,8,uniform,0.0,0.0,uniform is at least as oracle-like by Jaccard,uses oracle layout,,1.0,0.0,
oracle_layout_imitation,robot,16,uniform,0.0,0.0,uniform is at least as oracle-like by Jaccard,uses oracle layout,,1.0,0.0,
loocv_layout_threshold,driving,4,uniform,0.0,0.0,trained policy chose uniform,always uniform,,1.0,0.0,
loocv_layout_threshold,driving,8,uniform,0.0,0.0,trained policy chose uniform,always uniform,,1.0,0.0,
loocv_layout_threshold,driving,16,uniform,0.0,0.0,trained policy chose uniform,always uniform,,1.0,0.0,
loocv_layout_threshold,meetroom,4,uniform,0.0,0.0,trained policy chose uniform,always uniform,,1.0,0.0,
loocv_layout_threshold,meetroom,8,uniform,0.0,0.0,trained policy chose uniform,always uniform,,1.0,0.0,
loocv_layout_threshold,meetroom,16,uniform,0.0,0.0,trained policy chose uniform,always uniform,,1.0,0.0,
loocv_layout_threshold,n3dv,4,uniform,0.0,0.0,layout threshold fallback to uniform,method=full_sample_z_rank_prior_0p3; max_segment_ratio<=1.125; mean_abs_len_error_ratio<=0.1,,1.0,0.0,
loocv_layout_threshold,n3dv,8,full_sample_z_rank_prior_0p3,0.011565942337004032,0.009324726252547322,layout threshold accepted candidate,method=full_sample_z_rank_prior_0p3; max_segment_ratio<=1.125; mean_abs_len_error_ratio<=0.1,0.2222222222222222,1.125,0.05,0 8 17 25 33 41 49 57 64 71 80
