dataset,root,exists,provider,provider_layout_ready,ready_for_depth_preprocess,ready_for_anchor_export,sequence_count,sampled_sequence_count,checked_frame_count,checked_depth_pred_count,checked_mask_count,scan_limited,role_for_mono_dfcgs,blocking_reason,notes
DAVIS,/mnt/hdd2tC/tmp/opencode/datasets/DAVIS,false,StreamSplat provider_davis,false,false,false,0,0,0,0,0,false,single-view video expansion candidate,root missing,"Official provider requires Full-Resolution JPEGImages, unsupervised masks, split txt, and depthImages/*_pred.png before training/anchor export."
DAVIS,/mnt/hdd2tC/tmp/opencode/datasets/davis,false,StreamSplat provider_davis,false,false,false,0,0,0,0,0,false,single-view video expansion candidate,root missing,"Official provider requires Full-Resolution JPEGImages, unsupervised masks, split txt, and depthImages/*_pred.png before training/anchor export."
DAVIS,/mnt/hdd2tC/tmp/opencode/DAVIS,false,StreamSplat provider_davis,false,false,false,0,0,0,0,0,false,single-view video expansion candidate,root missing,"Official provider requires Full-Resolution JPEGImages, unsupervised masks, split txt, and depthImages/*_pred.png before training/anchor export."
DAVIS,/mnt/hdd2tC/datasets/DAVIS,false,StreamSplat provider_davis,false,false,false,0,0,0,0,0,false,single-view video expansion candidate,root missing,"Official provider requires Full-Resolution JPEGImages, unsupervised masks, split txt, and depthImages/*_pred.png before training/anchor export."
DAVIS,/mnt/hdd2tC/datasets/davis,false,StreamSplat provider_davis,false,false,false,0,0,0,0,0,false,single-view video expansion candidate,root missing,"Official provider requires Full-Resolution JPEGImages, unsupervised masks, split txt, and depthImages/*_pred.png before training/anchor export."
DAVIS,/mnt/hdd2tC/haocheng/datasets/DAVIS,false,StreamSplat provider_davis,false,false,false,0,0,0,0,0,false,single-view video expansion candidate,root missing,"Official provider requires Full-Resolution JPEGImages, unsupervised masks, split txt, and depthImages/*_pred.png before training/anchor export."
DAVIS,/mnt/hdd2tC/haocheng/datasets/davis,false,StreamSplat provider_davis,false,false,false,0,0,0,0,0,false,single-view video expansion candidate,root missing,"Official provider requires Full-Resolution JPEGImages, unsupervised masks, split txt, and depthImages/*_pred.png before training/anchor export."
YouTube-VOS,/mnt/hdd2tC/tmp/opencode/datasets/YouTube-VOS,false,StreamSplat provider_vos,false,false,false,0,0,0,0,0,false,single-view video expansion candidate,root missing,"Official provider uses train/valid JPEGImages, train Annotations, and depthImages/*_pred.png."
YouTube-VOS,/mnt/hdd2tC/tmp/opencode/datasets/youtube_vos,false,StreamSplat provider_vos,false,false,false,0,0,0,0,0,false,single-view video expansion candidate,root missing,"Official provider uses train/valid JPEGImages, train Annotations, and depthImages/*_pred.png."
YouTube-VOS,/mnt/hdd2tC/tmp/opencode/YouTube-VOS,false,StreamSplat provider_vos,false,false,false,0,0,0,0,0,false,single-view video expansion candidate,root missing,"Official provider uses train/valid JPEGImages, train Annotations, and depthImages/*_pred.png."
YouTube-VOS,/mnt/hdd2tC/datasets/YouTube-VOS,false,StreamSplat provider_vos,false,false,false,0,0,0,0,0,false,single-view video expansion candidate,root missing,"Official provider uses train/valid JPEGImages, train Annotations, and depthImages/*_pred.png."
YouTube-VOS,/mnt/hdd2tC/haocheng/datasets/YouTube-VOS,false,StreamSplat provider_vos,false,false,false,0,0,0,0,0,false,single-view video expansion candidate,root missing,"Official provider uses train/valid JPEGImages, train Annotations, and depthImages/*_pred.png."
RE10K,/mnt/hdd2tC/tmp/opencode/datasets/RealEstate10K,false,StreamSplat provider_re10k_map,false,false,false,,,,0,,false,training-only unless converted to single-view video protocol,root missing,"Provider expects train/test index.json, *.torch chunks, and matching depth_*.pt chunks; do not use multi-view/camera information for final monocular codec claims."
RE10K,/mnt/hdd2tC/tmp/opencode/datasets/re10k,false,StreamSplat provider_re10k_map,false,false,false,,,,0,,false,training-only unless converted to single-view video protocol,root missing,"Provider expects train/test index.json, *.torch chunks, and matching depth_*.pt chunks; do not use multi-view/camera information for final monocular codec claims."
RE10K,/mnt/hdd2tC/datasets/RealEstate10K,false,StreamSplat provider_re10k_map,false,false,false,,,,0,,false,training-only unless converted to single-view video protocol,root missing,"Provider expects train/test index.json, *.torch chunks, and matching depth_*.pt chunks; do not use multi-view/camera information for final monocular codec claims."
RE10K,/mnt/hdd2tC/haocheng/datasets/RealEstate10K,false,StreamSplat provider_re10k_map,false,false,false,,,,0,,false,training-only unless converted to single-view video protocol,root missing,"Provider expects train/test index.json, *.torch chunks, and matching depth_*.pt chunks; do not use multi-view/camera information for final monocular codec claims."
CO3D,/mnt/hdd2tC/tmp/opencode/datasets/CO3D,false,StreamSplat provider_co3d,false,false,unknown,0,,,,,false,training-only unless converted to single-view video protocol,root missing,"Found set_list_count=0, manyview_dev=0, manyview_test=0; predicted depths are path-derived as predict_depths/*_pred.png."
CO3D,/mnt/hdd2tC/tmp/opencode/datasets/co3d,false,StreamSplat provider_co3d,false,false,unknown,0,,,,,false,training-only unless converted to single-view video protocol,root missing,"Found set_list_count=0, manyview_dev=0, manyview_test=0; predicted depths are path-derived as predict_depths/*_pred.png."
CO3D,/mnt/hdd2tC/datasets/CO3D,false,StreamSplat provider_co3d,false,false,unknown,0,,,,,false,training-only unless converted to single-view video protocol,root missing,"Found set_list_count=0, manyview_dev=0, manyview_test=0; predicted depths are path-derived as predict_depths/*_pred.png."
CO3D,/mnt/hdd2tC/haocheng/datasets/CO3D,false,StreamSplat provider_co3d,false,false,unknown,0,,,,,false,training-only unless converted to single-view video protocol,root missing,"Found set_list_count=0, manyview_dev=0, manyview_test=0; predicted depths are path-derived as predict_depths/*_pred.png."
