sample,method,reference_gap,bits,total_frames,keyframe_count,legacy_raw_bitstream_bytes,legacy_zlib_bitstream_bytes,compact_raw_bitstream_bytes,compact_zlib_bitstream_bytes,legacy_raw_mib_per_frame,legacy_zlib_mib_per_frame,compact_raw_mib_per_frame,compact_zlib_mib_per_frame,legacy_uncompressed_payload_bytes,compact_uncompressed_payload_bytes,theoretical_compact_payload_bytes,legacy_raw_header_bytes,compact_raw_header_bytes,compact_payload_savings_percent_vs_legacy_payload,compact_raw_savings_percent_vs_legacy_raw,compact_zlib_savings_percent_vs_legacy_zlib,max_roundtrip_abs_diff,mean_roundtrip_mse,indices
n3dv,uniform,16,1,81,6,2879147,85589,363206,76960,0.033898377124174144,0.0010077040872456115,0.004276299182279611,0.0009061083381558642,2875392,359424,359424,3755,3782,87.5,87.38494422132666,10.081903048288916,0.0,0.0,0 16 32 48 64 80
n3dv,uniform,16,2,81,6,2879281,206336,722771,201318,0.03389995480761116,0.002429349922839506,0.00850973011534891,0.0023702692102502893,2875392,718848,718848,3889,3923,75.0,74.89751781781632,2.4319556451612905,0.0,0.0,0 16 32 48 64 80
n3dv,uniform,16,4,81,6,2879315,675392,1441655,646402,0.03390035511534891,0.00795190128279321,0.016973695637267312,0.007610580067575714,2875392,1437696,1437696,3923,3959,50.0,49.930625860664776,4.292322088505638,0.0,0.0,0 16 32 48 64 80
n3dv,uniform,16,6,81,6,2879367,1281712,2160557,1438487,0.033900967350712526,0.015090565622588734,0.025437873086811585,0.016936396375114536,2875392,2156544,2156544,3975,4013,25.0,24.96416747153107,-12.231686993645999,0.0,0.0,0 16 32 48 64 80
n3dv,uniform,16,8,81,6,2879349,1898174,2879387,1898212,0.03390075542308666,0.022348639405803915,0.033901202825852385,0.02234908680856964,2875392,2875392,2875392,3957,3995,0.0,-0.0013197427612977794,-0.002001923954284486,0.0,0.0,0 16 32 48 64 80
n3dv,uniform,16,10,81,6,5754815,2927724,3598303,2531008,0.06775579334777078,0.03447031091760706,0.04236554510799455,0.029799473138503087,5750784,3594240,3594240,4031,4063,37.5,37.473176809332706,13.55032100020357,0.0,0.0,0 16 32 48 64 80
n3dv,uniform,16,12,81,6,5754839,3310601,4317175,2992113,0.06775607591793861,0.03897821167368948,0.05082936934482904,0.03522841135660807,5750784,4313088,4313088,4055,4087,25.0,24.981828336118525,9.620247199828672,0.0,0.0,0 16 32 48 64 80
n3dv,uniform,16,16,81,6,5754875,3889906,5754907,3889938,0.06775649977319034,0.045798807968328026,0.06775687653341411,0.045799184728551795,5750784,5750784,5750784,4091,4123,0.0,-0.0005560503051760464,-0.00082264198672153,0.0,0.0,0 16 32 48 64 80
meetroom,uniform,16,1,81,6,2879083,74802,363142,68117,0.03389762360372661,0.0008807005705656829,0.004275545661832079,0.0008019930050696855,2875392,359424,359424,3691,3718,87.5,87.38688672747539,8.936926820138499,0.0,0.0,0 16 32 48 64 80
meetroom,uniform,16,2,81,6,2879167,168901,722657,164748,0.033898612599313996,0.001988599329818914,0.008508387907051745,0.0019397029170283564,2875392,718848,718848,3775,3809,75.0,74.90048336897443,2.4588368334112882,0.0,0.0,0 16 32 48 64 80
meetroom,uniform,16,4,81,6,2879270,600923,1441610,575986,0.03389982529628424,0.007075121373306086,0.016973165818202643,0.006781519195179881,2875392,1437696,1437696,3878,3914,50.0,49.9314062244944,4.14978291727892,0.0,0.0,0 16 32 48 64 80
meetroom,uniform,16,6,81,6,2879314,1212392,2160504,1377051,0.03390034334159192,0.014274408787856867,0.025437249077690974,0.016213063840512878,2875392,2156544,2156544,3922,3960,25.0,24.96462699101244,-13.581333430111712,0.0,0.0,0 16 32 48 64 80
meetroom,uniform,16,8,81,6,2879310,1851768,2879348,1851806,0.033900296246563946,0.021802266438802082,0.03390074364932967,0.021802713841567806,2875392,2875392,2875392,3918,3956,0.0,-0.0013197606370970822,-0.002052092918767362,0.0,0.0,0 16 32 48 64 80
meetroom,uniform,16,10,81,6,5754771,2859945,3598259,2495386,0.06775527530246311,0.0336722974424009,0.042365027062686876,0.029380068366910206,5750784,3594240,3594240,3987,4019,37.5,37.47346332286723,12.747063317651213,0.0,0.0,0 16 32 48 64 80
meetroom,uniform,16,12,81,6,5754793,3256159,4317129,2950652,0.06775553432511694,0.03833722479549455,0.05082882775200738,0.03474025961793499,5750784,4313088,4313088,4009,4041,25.0,24.9820280242921,9.382434948661905,0.0,0.0,0 16 32 48 64 80
meetroom,uniform,16,16,81,6,5754821,3820688,5754853,3820720,0.06775586399031275,0.044983852056809416,0.0677562407505365,0.04498422881703318,5750784,5750784,5750784,4037,4069,0.0,-0.0005560555228390249,-0.0008375454891893816,0.0,0.0,0 16 32 48 64 80
driving,uniform,16,1,81,6,2879065,80109,363124,71609,0.03389741167610074,0.0009431838989257812,0.0042753337342062115,0.0008431069644880884,2875392,359424,359424,3673,3700,87.5,87.38743307288998,10.610543134978592,0.0,0.0,0 16 32 48 64 80
driving,uniform,16,2,81,6,2879180,185057,722670,172166,0.0338987656581549,0.0021788161477924867,0.00850854096589265,0.0020270406463999808,2875392,718848,718848,3788,3822,75.0,74.90014518022492,6.965961838784807,0.0,0.0,0 16 32 48 64 80
driving,uniform,16,4,81,6,2879242,641438,1441582,610525,0.03389949563108845,0.007552135137864101,0.01697283615300685,0.007188172987949701,2875392,1437696,1437696,3850,3886,50.0,49.93189179652145,4.81932782279815,0.0,0.0,0 16 32 48 64 80
driving,uniform,16,6,81,6,2879283,1223122,2160473,1367837,0.03389997835512514,0.014400741200388215,0.025436884091224198,0.016104580443582418,2875392,2156544,2156544,3891,3929,25.0,24.96489577439939,-11.831607967152909,0.0,0.0,0 16 32 48 64 80
driving,uniform,16,8,81,6,2879295,1833357,2879333,1833395,0.03390011964020906,0.02158549979881004,0.033900567042974776,0.02158594720157576,2875392,2875392,2875392,3903,3941,0.0,-0.00131976751253345,-0.002072700516047884,0.0,0.0,0 16 32 48 64 80
