sample,method,reference_gap,bits,baseline_variant,compact_variant,baseline_rate_mib_per_frame,compact_rate_mib_per_frame,rate_saving_percent,all_psnr
driving,uniform,16,8,legacy_dtype_raw,stage57_compact_raw_actual,0.03389789440013744,0.033900567042974776,-0.007884391891088412,23.804673762790383
driving,uniform,16,8,legacy_dtype_zlib,stage57_compact_zlib_actual,0.021583274558738427,0.02158594720157576,-0.012382934897392924,23.804673762790383
driving,uniform,16,10,legacy_dtype_raw,stage57_compact_raw_actual,0.06775275571846667,0.04236473271876206,37.47157252938844,24.211052296299435
driving,uniform,16,10,legacy_dtype_zlib,stage57_compact_zlib_actual,0.03360705905490451,0.029227527571313174,13.031582074576692,24.211052296299435
driving,uniform,16,12,legacy_dtype_raw,stage57_compact_raw_actual,0.0677530382886345,0.05082855695559655,24.9796640276677,24.290537638026116
driving,uniform,16,12,legacy_dtype_zlib,stage57_compact_zlib_actual,0.037979337904188365,0.034622380762924385,8.838903800094354,24.290537638026116
driving,uniform,16,16,legacy_dtype_raw,stage57_compact_raw_actual,0.0677533561800733,0.06775595818036868,-0.003840400597224472,24.297625173078245
driving,uniform,16,16,legacy_dtype_zlib,stage57_compact_zlib_actual,0.04477709311026114,0.04477969511055652,-0.005811007626091037,24.297625173078245
meetroom,uniform,16,8,legacy_dtype_raw,stage57_compact_raw_actual,0.03389807100649233,0.03390074364932967,-0.007884350814030716,25.9925422175848
meetroom,uniform,16,8,legacy_dtype_zlib,stage57_compact_zlib_actual,0.02180004119873047,0.021802713841567806,-0.012259806359876333,25.9925422175848
meetroom,uniform,16,10,legacy_dtype_raw,stage57_compact_raw_actual,0.06775305006239149,0.042365027062686876,37.4714097392304,26.792018529295714
meetroom,uniform,16,10,legacy_dtype_zlib,stage57_compact_zlib_actual,0.03367007220232928,0.029380068366910206,12.741296809937623,26.792018529295714
meetroom,uniform,16,12,legacy_dtype_raw,stage57_compact_raw_actual,0.06775330908504533,0.05082882775200738,24.979564188952004,26.891547346909338
meetroom,uniform,16,12,legacy_dtype_zlib,stage57_compact_zlib_actual,0.03833499955542294,0.03474025961793499,9.377174851119646,26.891547346909338
meetroom,uniform,16,16,legacy_dtype_raw,stage57_compact_raw_actual,0.06775363875024112,0.0677562407505365,-0.0038403845806287396,26.9030508691011
meetroom,uniform,16,16,legacy_dtype_zlib,stage57_compact_zlib_actual,0.0449816268167378,0.04498422881703318,-0.00578458468383128,26.9030508691011
n3dv,uniform,16,8,legacy_dtype_raw,stage57_compact_raw_actual,0.033898530183015044,0.033901202825852385,-0.007884244015630577,29.125309658911
n3dv,uniform,16,8,legacy_dtype_zlib,stage57_compact_zlib_actual,0.0223464141657323,0.02234908680856964,-0.01196005237133774,29.125309658911
n3dv,uniform,16,10,legacy_dtype_raw,stage57_compact_raw_actual,0.06775356810769917,0.04236554510799455,37.471123231987626,30.7494322543347
n3dv,uniform,16,10,legacy_dtype_zlib,stage57_compact_zlib_actual,0.03446808567753545,0.029799473138503087,13.54473985793509,30.7494322543347
n3dv,uniform,16,12,legacy_dtype_raw,stage57_compact_raw_actual,0.06775385067786699,0.05082936934482904,24.979364513914827,30.956557774726353
n3dv,uniform,16,12,legacy_dtype_zlib,stage57_compact_zlib_actual,0.03897598643361786,0.03522841135660807,9.61508718552253,30.956557774726353
n3dv,uniform,16,16,legacy_dtype_raw,stage57_compact_raw_actual,0.06775427453311873,0.06775687653341411,-0.0038403485437767974,30.969784703432914
n3dv,uniform,16,16,legacy_dtype_zlib,stage57_compact_zlib_actual,0.045796582728256416,0.045799184728551795,-0.005681647276650903,30.969784703432914
robot,uniform,16,8,legacy_dtype_raw,stage57_compact_raw_actual,0.035659468019163455,0.03566227950058974,-0.007884249492379493,21.42626162360916
robot,uniform,16,8,legacy_dtype_zlib,stage57_compact_zlib_actual,0.023970058986118863,0.02397287046754515,-0.011729138538683863,21.42626162360916
robot,uniform,16,10,legacy_dtype_raw,stage57_compact_raw_actual,0.07127320921266234,0.04456632787531072,37.471136254949066,21.78487097171083
robot,uniform,16,10,legacy_dtype_zlib,stage57_compact_zlib_actual,0.036517130864130984,0.03157755616423372,13.526732749831595,21.78487097171083
robot,uniform,16,12,legacy_dtype_raw,stage57_compact_raw_actual,0.07127355600332284,0.053469880834802405,24.979355832463884,21.854521249468
robot,uniform,16,12,legacy_dtype_zlib,stage57_compact_zlib_actual,0.04116690004026735,0.037233550827224536,9.55464027943667,21.854521249468
robot,uniform,16,16,legacy_dtype_raw,stage57_compact_raw_actual,0.07127382848169897,0.07127656565084085,-0.003840356551895533,21.860934064694316
robot,uniform,16,16,legacy_dtype_zlib,stage57_compact_zlib_actual,0.04837133977320287,0.04837407694234477,-0.005658658938808114,21.860934064694316
