sample,method,reference_gap,bits,codec_variant,rate_scope,rate_mib_per_frame,all_psnr,linear_all_psnr,adapter_all_psnr,total_frames,keyframe_count,source_rate_table,notes
n3dv,uniform,1,8,legacy_dtype_raw,actual Stage50 dtype raw container including metadata,0.4576145925639588,30.605119268782953,30.605119268782953,30.605119268782953,81,81,stage51/stage50,"Stage50 storage prototype: q<=8 uint8, q>8 uint16."
n3dv,uniform,1,8,legacy_dtype_zlib,actual Stage50 dtype zlib container including metadata,0.30172501081301845,30.605119268782953,30.605119268782953,30.605119268782953,81,81,stage51/stage50,Generic zlib over the Stage50 dtype payload.
n3dv,uniform,1,8,compact_bitpack_raw_payload_estimate,"theoretical bitpacked payload only, no metadata/header",0.45703125,30.605119268782953,30.605119268782953,30.605119268782953,81,81,stage51/stage50,Payload-only estimate used before Stage57 actual compact containers.
n3dv,uniform,1,10,legacy_dtype_raw,actual Stage50 dtype raw container including metadata,0.9146562505651403,33.82014481890842,33.82014481890842,33.82014481890842,81,81,stage51/stage50,"Stage50 storage prototype: q<=8 uint8, q>8 uint16."
n3dv,uniform,1,10,legacy_dtype_zlib,actual Stage50 dtype zlib container including metadata,0.4652730918224947,33.82014481890842,33.82014481890842,33.82014481890842,81,81,stage51/stage50,Generic zlib over the Stage50 dtype payload.
n3dv,uniform,1,10,compact_bitpack_raw_payload_estimate,"theoretical bitpacked payload only, no metadata/header",0.5712890625,33.82014481890842,33.82014481890842,33.82014481890842,81,81,stage51/stage50,Payload-only estimate used before Stage57 actual compact containers.
n3dv,uniform,1,12,legacy_dtype_raw,actual Stage50 dtype raw container including metadata,0.9146603242850598,34.40694139540215,34.40694139540215,34.40694139540215,81,81,stage51/stage50,"Stage50 storage prototype: q<=8 uint8, q>8 uint16."
n3dv,uniform,1,12,legacy_dtype_zlib,actual Stage50 dtype zlib container including metadata,0.5261429092030466,34.40694139540215,34.40694139540215,34.40694139540215,81,81,stage51/stage50,Generic zlib over the Stage50 dtype payload.
n3dv,uniform,1,12,compact_bitpack_raw_payload_estimate,"theoretical bitpacked payload only, no metadata/header",0.685546875,34.40694139540215,34.40694139540215,34.40694139540215,81,81,stage51/stage50,Payload-only estimate used before Stage57 actual compact containers.
n3dv,uniform,1,16,legacy_dtype_raw,actual Stage50 dtype raw container including metadata,0.9146653163580247,34.44643135630639,34.44643135630639,34.44643135630639,81,81,stage51/stage50,"Stage50 storage prototype: q<=8 uint8, q>8 uint16."
n3dv,uniform,1,16,legacy_dtype_zlib,actual Stage50 dtype zlib container including metadata,0.6181666174052675,34.44643135630639,34.44643135630639,34.44643135630639,81,81,stage51/stage50,Generic zlib over the Stage50 dtype payload.
n3dv,uniform,1,16,compact_bitpack_raw_payload_estimate,"theoretical bitpacked payload only, no metadata/header",0.9140625,34.44643135630639,34.44643135630639,34.44643135630639,81,81,stage51/stage50,Payload-only estimate used before Stage57 actual compact containers.
n3dv,rendered_prior_0p1,1,8,legacy_dtype_raw,actual Stage50 dtype raw container including metadata,0.4576145925639588,30.605119268782953,30.605119268782953,30.605119268782953,81,81,stage51/stage50,"Stage50 storage prototype: q<=8 uint8, q>8 uint16."
n3dv,rendered_prior_0p1,1,8,legacy_dtype_zlib,actual Stage50 dtype zlib container including metadata,0.30172501081301845,30.605119268782953,30.605119268782953,30.605119268782953,81,81,stage51/stage50,Generic zlib over the Stage50 dtype payload.
n3dv,rendered_prior_0p1,1,8,compact_bitpack_raw_payload_estimate,"theoretical bitpacked payload only, no metadata/header",0.45703125,30.605119268782953,30.605119268782953,30.605119268782953,81,81,stage51/stage50,Payload-only estimate used before Stage57 actual compact containers.
n3dv,rendered_prior_0p1,1,10,legacy_dtype_raw,actual Stage50 dtype raw container including metadata,0.9146562505651403,33.82014481890842,33.82014481890842,33.82014481890842,81,81,stage51/stage50,"Stage50 storage prototype: q<=8 uint8, q>8 uint16."
